US_Chart - Mainstream Rock Airplay,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,week_of
Rank,Song,Artist,TP Spins,+/- Chg. Spins,LP Spins,Stations,Adds,TP Audience,+/- Chg. Audience,LP Audience,TP Stream,2023.06.22
1,72 Seasons,Metallica,1999,71,1928,69,0,4030300,226700,3803600,441807,2023.06.22
2,rescued,Foo Fighters,1962,-89,2051,68,0,4653200,101600,4551600,696565,2023.06.22
3,Need A Favor,Jelly Roll,1783,113,1670,68,0,3312200,337400,2974800,11042808,2023.06.22
4,Lowest In Me,Staind,1627,124,1503,68,0,2739800,300900,2438900,355436,2023.06.22
5,Nobody,Avenged Sevenfold,1544,88,1456,66,0,2640500,214100,2426400,740988,2023.06.22
6,Deep End,I Prevail,1475,38,1437,62,0,2126500,210900,1915600,649275,2023.06.22
7,Another Celebration At The End Of The World,Mammoth WVH,1281,-1,1282,68,0,2357000,196900,2160100,125476,2023.06.22
8,Hate Me Too,From Ashes To New,1242,93,1149,61,0,1445000,126900,1318100,303138,2023.06.22
9,Unstoppable,Disturbed,1163,52,1111,66,0,1645400,187400,1458000,208156,2023.06.22
10,Blood In The Water,Ayron Jones,1013,42,971,63,0,1643400,358600,1284800,141588,2023.06.22
11,The Dirt I'M Buried In,Avatar,994,62,932,64,0,1268500,106000,1162500,126260,2023.06.22
12,Lost,Linkin Park,977,-110,1087,62,0,3094000,39500,3054500,1401743,2023.06.22
13,Meeting The Master,Greta Van Fleet,939,31,908,66,0,1635000,-28000,1663000,389932,2023.06.22
14,Jesus He Knows Me,Ghost,892,27,865,60,0,1157800,56900,1100900,290886,2023.06.22
15,The Death Of Peace Of Mind,Bad Omens,782,64,718,55,0,794900,135000,659900,1302946,2023.06.22
16,Beyond,Corey Taylor,746,60,686,59,0,861300,102300,759000,134585,2023.06.22
17,All Things Must Change,Bush,640,37,603,59,0,836600,124400,712200,86961,2023.06.22
18,Watch Me Burn,Atreyu,623,14,609,49,0,459100,17800,441300,189386,2023.06.22
19,Soul On Fire,Godsmack,544,-149,693,46,0,1203700,-270100,1473800,133152,2023.06.22
20,Psycho In My Head,Skillet,521,5,516,41,0,440000,34900,405100,246867,2023.06.22
21,Everything,Sevendust,458,55,403,45,0,396400,4900,391500,102283,2023.06.22
22,Skeletons,Pop Evil,442,37,405,45,0,409800,49300,360500,214724,2023.06.22
23,Black Thunder,Hu,389,84,305,34,0,289200,68000,221200,173937,2023.06.22
24,Empires,Smashing Pumpkins,387,39,348,46,0,385900,71000,314900,16458,2023.06.22
25,Full Disclosure,Otherwise,376,-21,397,40,0,313000,20900,292100,24645,2023.06.22
26,Sold Out,Hardy,344,59,285,43,0,289900,-10800,300700,1625968,2023.06.22
27,Lost,Bring Me The Horizon,341,23,318,34,0,309900,37100,272800,668344,2023.06.22
28,Those Days,Nickelback,333,-32,365,36,0,591000,-43700,634700,174403,2023.06.22
29,Punching Bag,Set It Off,243,19,224,26,0,100700,10000,90700,216423,2023.06.22
30,Devastate,Saint Asonia,240,-136,376,30,0,156800,-75500,232300,53785,2023.06.22
31,Victorious (Feat. Dorothy),Nita Strauss,238,137,101,40,0,207700,134400,73300,89852,2023.06.22
32,Safe And Sound,Point North & The Ghost Inside,227,35,192,26,0,86100,15000,71100,225794,2023.06.22
33,Never Ending Moment,Des Rocs,197,17,180,31,0,158000,8100,149900,60540,2023.06.22
34,Contraband,Gxtp,194,4,190,11,0,73000,-5000,78000,38437,2023.06.22
35,Two Of Us (Stuck),Theory Of A Deadman,180,9,171,22,0,160600,25500,135100,45093,2023.06.22
36,Psycho,Asking Alexandria,169,,,41,0,127200,,,462163,2023.06.22
37,Churn,Cairo Knife Fight,162,-20,182,25,0,100400,-12300,112700,257,2023.06.22
38,Stuck,Thirty Seconds To Mars,155,-2,157,14,0,503800,-8000,511800,575505,2023.06.22
39,Together Right,Finger Eleven,153,-14,167,28,0,170300,9300,161000,47153,2023.06.22
40,New Reality,Word Alive,151,31,120,16,0,63600,22600,41000,53604,2023.06.22
41,Numb,Sleep Theory,147,21,126,21,0,48100,25300,22800,271018,2023.06.22
42,Fog Machine,White Reaper,141,-44,185,21,0,104800,-82000,186800,17286,2023.06.22
43,One More Round,Christopher Shayne,139,1,138,8,0,54600,-4400,59000,14488,2023.06.22
44,Left Behind,Plush (Za),138,10,128,13,0,116300,10600,105700,9601,2023.06.22
45,Nervous,Black Stone Cherry,128,26,102,20,0,59800,-9000,68800,69444,2023.06.22
46,Gimme That Boom,Skindred,125,21,104,17,0,68700,9900,58800,47782,2023.06.22
47,More,Warning,118,-11,129,15,0,120300,-57800,178100,68466,2023.06.22
48,The War You Wanted,Tommy Vext,115,6,109,11,0,49000,10600,38400,0,2023.06.22
49,A Million Miles,Saul,104,-20,124,15,0,40100,-9400,49500,10547,2023.06.22
50,You'Re The Reason,Shallow Side,100,0,100,8,0,27900,-1700,29600,112828,2023.06.22
51,Fighting Myself,Linkin Park,95,25,70,6,0,115100,20800,94300,1159882,2023.06.22
52,Terrible Things,Halestorm,90,12,78,15,0,99600,13600,86000,111266,2023.06.22
53,Human Xstacy,Black Heart Saints,70,-3,73,11,0,29800,6900,22900,301,2023.06.22
54,The Summoning,Sleep Token,66,-13,79,8,0,160000,-26300,186300,1506158,2023.06.22
55,Calm Before The Storm,Any Given Sin,62,12,50,10,0,19300,9700,9600,32088,2023.06.22
56,Under You,Foo Fighters,61,6,55,10,0,295200,-30300,325500,371622,2023.06.22
57,Swing,Fever 333,59,-6,65,9,0,12300,-15300,27600,0,2023.06.22
58,Left Behind,The Plot In You,57,-13,70,7,0,16200,-9300,25500,204926,2023.06.22
59,"Easy Come, Easy Go",Jared James Nichols,55,12,43,7,0,87900,24600,63300,2149,2023.06.22
60,Sunshine,Beartooth,55,-40,95,5,0,9400,-32500,41900,336095,2023.06.22
61,Emotion Sickness,Queens Of The Stone Age,53,-15,68,7,0,60000,-34700,94700,622669,2023.06.22
62,Prizefighter,Blame My Youth,45,31,14,2,0,1000,-400,1400,27891,2023.06.22
63,Anomaly,I See Stars,43,,,1,0,0,,,87794,2023.06.22
64,Paper Machete,Queens Of The Stone Age,42,37,5,10,0,108500,85300,23200,971109,2023.06.22
65,Nothing Ever After,Illenium & Motionless In White,41,5,36,1,0,0,0,0,0,2023.06.22
66,Through Hell,"Citizen Soldier, Royal Bliss",40,-44,84,7,0,14400,-13400,27800,110548,2023.06.22
67,Enemy,"Imagine Dragons, JID & League Of Legends",31,1,30,1,0,103600,10900,92700,4850257,2023.06.22
68,Ghost Of Me,Make Them Suffer,28,13,15,16,0,12500,10900,1600,157296,2023.06.22
69,Blood Runs Cold,Rain City Drive,28,8,20,1,0,0,0,0,210745,2023.06.22
70,Granite,Sleep Token,27,-22,49,1,0,0,0,0,868749,2023.06.22
71,Dead & Gone,Kemikalfire,25,0,25,1,0,0,0,0,0,2023.06.22
72,Bite Your Tongue,Attila,24,2,22,1,0,0,0,0,79826,2023.06.22
73,The Hanged Man,Nathan James,23,21,2,1,0,0,0,0,67636,2023.06.22
74,Chew,Zillion,23,1,22,1,0,0,0,0,7553,2023.06.22
75,Savages,Catch Your Breath,23,0,23,1,0,0,0,0,111733,2023.06.22
76,Dance Of The Dead,Ottto,23,-1,24,2,0,57500,-6200,63700,327,2023.06.22
77,Puppets,Mike's Dead,22,20,2,1,0,0,0,0,18496,2023.06.22
78,Fight This War,Uncured,22,12,10,5,0,2800,100,2700,3886,2023.06.22
79,Emergency Contact,Pierce The Veil,22,8,14,3,0,65000,50600,14400,479091,2023.06.22
80,Someone Else,Crown The Empire,22,2,20,1,0,0,0,0,25706,2023.06.22
81,The Fear,Zero 9:36,22,,,1,0,0,,,59778,2023.06.22
82,Welcome2paradise,Conquer Divide,21,9,12,2,0,2100,2100,0,56262,2023.06.22
83,All My Favorite Songs,Weezer,21,4,17,2,0,28700,17700,11000,362643,2023.06.22
84,Cold Bones,Any Given Sin,21,,,1,0,0,,,26196,2023.06.22
85,Inhumane,Polaris,20,18,2,17,0,15600,15000,600,103119,2023.06.22
86,Typecast,Cinnamon Babe,20,12,8,1,0,0,0,0,4232,2023.06.22
87,Baptize Me,Saving Abel,20,3,17,6,0,42100,-2400,44500,28280,2023.06.22
88,Relic,Awaken I Am,20,1,19,3,0,7300,400,6900,25252,2023.06.22
89,Kid,Revivalists,20,0,20,2,0,251300,0,251300,377862,2023.06.22
90,Superstar,Crown The Empire,19,6,13,3,0,6600,1400,5200,38427,2023.06.22
91,Make It Shake,Ghost Hounds,19,-2,21,3,0,7800,-1600,9400,2250,2023.06.22
92,Why Won'T You Call Me Back,Hooters,18,2,16,1,0,268800,82000,186800,1206,2023.06.22
93,The Surgeon,Overkill,18,,,17,0,14400,,,6503,2023.06.22
94,Gila Monster,King Gizzard & The Lizard Wizard,17,,,16,0,18900,,,381861,2023.06.22
95,Blackout,Austin Meade,16,6,10,6,0,7800,-3500,11300,65681,2023.06.22
96,The Void,Spiritbox,16,2,14,4,0,5000,2900,2100,199350,2023.06.22
97,Records,Weezer,16,2,14,2,0,211800,-8000,219800,90714,2023.06.22
98,Dark Void,Asking Alexandria,16,-54,70,5,0,2000,-1800,3800,399111,2023.06.22
99,Broken Arrow,Unearth,16,,,15,0,12100,,,2806,2023.06.22
100,Pain Remains I: Dancing Like Flames,Lorna Shore,16,,,15,0,11000,,,163262,2023.06.22
101,Temple Of Love,Black Veil Brides,15,6,9,4,0,5000,400,4600,130915,2023.06.22
102,We Love You,Avenged Sevenfold,15,4,11,2,0,10500,10500,0,318720,2023.06.22
103,Strike Gold,Larkin Poe,15,-5,20,1,0,184700,-125600,310300,4818,2023.06.22
104,Monochrome,Babymetal,15,,,15,0,11900,,,59539,2023.06.22
104,Hanged By My Hand,Enforced,15,,,15,0,11900,,,5961,2023.06.22
104,Do Or Die,Elegant Weapons,15,,,15,0,11900,,,17407,2023.06.22
107,Gossip,Maneskin,14,1,13,1,0,64300,10500,53800,886061,2023.06.22
108,Seventy Thorns,Kim Dracula & Jonathan Davis,14,-1,15,1,0,28100,-12200,40300,75260,2023.06.22
109,Fearless,Sleep Signals,14,-10,24,3,0,4600,-8600,13200,8176,2023.06.22
110,Manic,Wage War,13,-1,14,1,0,0,0,0,219535,2023.06.22
111,As The Sun Sets,Taipei Houston,13,-4,17,1,0,34300,-7500,41800,2594,2023.06.22
112,It's Hell Down Here,Amity Affliction,12,2,10,5,0,5300,3200,2100,88716,2023.06.22
113,Spellbinding,Smashing Pumpkins,12,2,10,2,0,22800,6400,16400,33870,2023.06.22
114,Walk With Me Forever,Dieth,12,-11,23,11,0,7500,-22200,29700,1068,2023.06.22
115,It Hurts,Enter Shikari,11,7,4,4,0,3400,-4700,8100,9610,2023.06.22
116,Positive Charge,Gaslight Anthem,10,3,7,1,0,20300,10600,9700,61877,2023.06.22
117,Bogus Operandi,Hives,10,3,7,1,0,0,-2400,2400,94882,2023.06.22
118,Bygones,Dolly Parton,10,,,6,0,36300,,,345762,2023.06.22
119,Lights Out,Dropout Kings,9,1,8,9,0,15100,800,14300,11383,2023.06.22
120,Fence,Sevendust,9,-1,10,4,0,28200,4700,23500,130568,2023.06.22
121,Halo,"Pendulum, Bullet For My Valentine",9,,,4,0,5100,,,115111,2023.06.22
122,If You'Re Blue,Joan Jett & The Blackhearts,8,3,5,3,0,45000,32300,12700,19623,2023.06.22
123,Black Smoke Rising,Greta Van Fleet,8,1,7,5,0,17600,2700,14900,433056,2023.06.22
124,Cannibals,Of Virtue,8,1,7,1,0,0,0,0,28281,2023.06.22
125,Body Bag,I Prevail,8,-2,10,1,0,0,0,0,214958,2023.06.22
126,Swine,Demi Lovato,8,,,1,0,0,,,67548,2023.06.22
127,A Little Bit Of Love,Weezer,7,3,4,1,0,11800,11000,800,174832,2023.06.22
128,Mary On A Cross,Ghost,7,-3,10,4,0,0,0,0,3522325,2023.06.22
129,Pass The Nirvana,Pierce The Veil,7,-4,11,3,0,0,-3300,3300,508355,2023.06.22
130,Poison Pill,Silverstein,6,1,5,1,0,3000,500,2500,23440,2023.06.22
131,Cold Blooded,Of Virtue,6,0,6,1,0,5800,700,5100,34821,2023.06.22
132,Red Fur,Veil Of Maya,6,0,6,1,0,0,0,0,50730,2023.06.22
133,30 Under 13,Better Lovers,6,-13,19,4,0,4300,-6400,10700,25559,2023.06.22
134,Another Way,Sleep Theory,6,-13,19,1,0,0,0,0,225925,2023.06.22
135,Amen!,Bring Me The Horizon,6,-18,24,2,0,0,0,0,671090,2023.06.22
136,To The Wolves,Stitched Up Heart,6,,,4,0,5000,,,19641,2023.06.22
137,First,Cold War Kids,5,3,2,1,0,27300,26500,800,668998,2023.06.22
138,Let's Get The Party Started,Tom Morello Feat. Bring Me The Horizon,5,1,4,1,0,19200,7200,12000,49431,2023.06.22
139,The Glass,Foo Fighters,5,1,4,1,0,0,-74300,74300,558567,2023.06.22
140,Circle With Me,Spiritbox,5,0,5,2,0,0,0,0,354856,2023.06.22
141,STRANDED,Gojira,5,-1,6,4,0,1800,-7000,8800,197997,2023.06.22
142,Spirits High,Exies,5,-5,10,5,0,13200,-16300,29500,6593,2023.06.22
143,Anything,Kingdom Collapse,5,,,1,0,11000,,,45152,2023.06.22
144,Vore,Sleep Token,4,3,1,2,0,400,200,200,411536,2023.06.22
145,Blessed Be,Spiritbox,4,1,3,2,0,1600,1600,0,116028,2023.06.22
146,Scars,I Prevail,4,1,3,2,0,0,0,0,398863,2023.06.22
147,What's Love Got To Do With It,Black Stone Cherry,4,1,3,1,0,0,0,0,57927,2023.06.22
148,Misery,Written By Wolves,4,0,4,4,0,2000,-1700,3700,9623,2023.06.22
149,Let Go,Underoath,4,0,4,1,0,800,0,800,46651,2023.06.22
150,Kashmir,Starset,4,0,4,1,0,0,0,0,4230,2023.06.22
151,Chokehold,Sleep Token,4,-2,6,1,0,0,0,0,782673,2023.06.22
152,The Teacher,Foo Fighters,4,-3,7,3,0,9500,-31200,40700,183038,2023.06.22
153,Hip To Be Scared,ICE NINE KILLS Feat. Jacoby Shaddix,4,-11,15,2,0,0,-6200,6200,223491,2023.06.22
154,Bringer Of Vengeance,Kataklysm,4,-14,18,3,0,700,-11200,11900,7008,2023.06.22
155,Holding On,Kings County,4,,,4,0,7100,,,573,2023.06.22
156,"Damned, Jaded And Doomed",Squidhammer,4,,,4,0,4700,,,0,2023.06.22
157,Magic Man,Dolly Parton,4,,,2,0,86100,,,251110,2023.06.22
158,Other Side Of The Rainbow,Extreme,3,2,1,3,0,10300,8400,1900,51924,2023.06.22
159,Feed The Machine,Nickelback,3,2,1,3,0,4000,1700,2300,58064,2023.06.22
160,I'M Alice,Alice Cooper,3,2,1,3,0,2500,1900,600,66633,2023.06.22
161,Sleaze Me On,Low Cut Connie,3,2,1,3,0,2000,1200,800,3993,2023.06.22
162,Dancing In The Street,Struts,3,2,1,1,0,16200,15600,600,4062,2023.06.22
163,Sing To The Grave,Chelsea Grin,3,2,1,1,0,0,0,0,32955,2023.06.22
163,Echo,Starset,3,2,1,1,0,0,0,0,115489,2023.06.22
163,Thank God It's Friday,Ice Nine Kills,3,2,1,1,0,0,0,0,90395,2023.06.22
163,I Am Above,In Flames,3,2,1,1,0,0,0,0,62192,2023.06.22
163,What I Am,Crown The Empire,3,2,1,1,0,0,0,0,50455,2023.06.22
168,Darkness Before The Dawn,Caleb Hyles,3,1,2,3,0,1400,-1300,2700,54049,2023.06.22
169,The Dying Song (Time To Sing),Slipknot,3,1,2,2,0,1600,1600,0,291173,2023.06.22
170,Momentary Actuality,Pupil Slicer,3,1,2,2,0,400,0,400,3558,2023.06.22
171,Deutschland,Rammstein,3,1,2,2,0,0,0,0,355781,2023.06.22
172,Just Tell Me,Puddle Of Mudd,3,1,2,1,0,1400,-2400,3800,4075,2023.06.22
173,Insidious,Any Given Sin,3,1,2,1,0,0,0,0,19616,2023.06.22
174,We Got The Moves,Electric Callboy,3,1,2,1,0,0,-1500,1500,295400,2023.06.22
175,Self-Destruction,I Prevail,3,1,2,1,0,0,-2400,2400,344610,2023.06.22
176,Chrononautilus,Scar Symmetry,3,0,3,2,0,400,-2400,2800,12766,2023.06.22
177,Neon Grave,Dayseeker,3,0,3,2,0,0,0,0,244386,2023.06.22
178,Animal In Me,Solence,3,0,3,1,0,0,0,0,53464,2023.06.22
178,Welcome To Horrorwood,Ice Nine Kills,3,0,3,1,0,0,0,0,138239,2023.06.22
180,Doomsday,Architects (UK),3,0,3,1,0,0,-1600,1600,91515,2023.06.22
181,Withered & Decayed,Repentance,3,-1,4,2,0,700,-300,1000,0,2023.06.22
182,Drowning In The Sound,Trivium,3,-1,4,1,0,10400,-4900,15300,11222,2023.06.22
183,Screaming Suicide,Metallica,3,-2,5,2,0,0,-3800,3800,191306,2023.06.22
184,Phantom Of The Opera,Ghost,3,,,3,0,8100,,,184819,2023.06.22
185,Goodbye Angels,Red Hot Chili Peppers,3,,,3,0,4000,,,72814,2023.06.22
185,God Break Down The Door,Nine Inch Nails,3,,,3,0,4000,,,3559,2023.06.22
187,Almost Criminal,Jesse Malin,3,,,3,0,3500,,,230,2023.06.22
187,Father And Son,Yusuf Islam & Eddie Vedder,3,,,3,0,3500,,,0,2023.06.22
187,King Of Oklahoma,Jason Isbell And The 400 Unit,3,,,3,0,3500,,,277827,2023.06.22
190,Moth Into Flame (S&M2),Metallica & The San Francisco Symphony Orchestra,3,,,3,0,3300,,,12887,2023.06.22
191,Read Your Diary,Maneskin,3,,,3,0,2000,,,79671,2023.06.22
191,Wherever I May Roam (S&M2),Metallica & The San Francisco Symphony Orchestra,3,,,3,0,2000,,,6897,2023.06.22
193,Teenage Kicks,Dollyrots,3,,,3,0,1400,,,481,2023.06.22
193,Teenage Heart,Wyldlife,3,,,3,0,1400,,,136,2023.06.22
195,Broken,Black Satellite,3,,,1,0,13200,,,413,2023.06.22
196,Wide Open,Ov Sulfur,2,1,1,2,0,2400,2400,0,3536,2023.06.22
197,She's Kerosene,Interrupters,2,1,1,1,0,3800,3600,200,159337,2023.06.22
198,Shots And Cookies,Anchored,2,1,1,1,0,3700,700,3000,0,2023.06.22
199,Dance Devil Dance,Avatar,2,1,1,1,0,2500,-700,3200,31016,2023.06.22
200,Disruptor,Fear Factory,2,1,1,1,0,700,400,300,4742,2023.06.22
201,Bloom,Of Mice & Men,2,1,1,1,0,600,300,300,18814,2023.06.22
201,The Path Of Fierce Resistance,Halo Effect,2,1,1,1,0,600,300,300,0,2023.06.22
203,Harvest,Empire State Bastard,2,1,1,1,0,400,200,200,1693,2023.06.22
204,Who We Are,Nothing More,2,1,1,1,0,0,0,0,22615,2023.06.22
204,Blurry (Out Of Place),Crown The Empire,2,1,1,1,0,0,0,0,80652,2023.06.22
204,Tunnels,Nothing More,2,1,1,1,0,0,0,0,7591,2023.06.22
204,Afterall,Beartooth,2,1,1,1,0,0,0,0,86121,2023.06.22
204,Don'T Stop,Nothing More,2,1,1,1,0,0,0,0,58494,2023.06.22
204,My Name,From Ashes To New,2,1,1,1,0,0,0,0,93456,2023.06.22
210,The Devil Went Down To Georgia,Nickelback Feat. Dave Martone,2,0,2,2,0,4400,600,3800,133532,2023.06.22
211,It Is The End,Ice Nine Kills,2,0,2,2,0,2300,2300,0,82556,2023.06.22
212,Adderall,Slipknot,2,0,2,2,0,1900,-1100,3000,239755,2023.06.22
213,Sin,Vandenberg,2,0,2,2,0,1300,0,1300,735,2023.06.22
213,Horns For A Halo,Elegant Weapons,2,0,2,2,0,1300,0,1300,2176,2023.06.22
215,That Ain'T Livin',Ugly Kid Joe,2,0,2,2,0,1300,-1900,3200,2120,2023.06.22
216,Bow Down,I Prevail,2,0,2,2,0,0,0,0,381929,2023.06.22
217,ALWAYS NEVER FADES,Stone Senate,2,0,2,1,0,2300,-400,2700,108,2023.06.22
218,Lost,Stitched Up Heart Feat. Sully Erna,2,0,2,1,0,2000,1600,400,11335,2023.06.22
219,Ghosts,Arrival Of Autumn,2,0,2,1,0,400,0,400,532,2023.06.22
219,The Age Of The Offended,Cadaver,2,0,2,1,0,400,0,400,2051,2023.06.22
221,Darkbloom,We Came As Romans,2,0,2,1,0,0,0,0,160841,2023.06.22
221,Ex-Mørtis,Ice Nine Kills,2,0,2,1,0,0,0,0,110822,2023.06.22
221,Lifeline,Thousand Foot Krutch,2,0,2,1,0,0,0,0,86631,2023.06.22
221,Fade In / Fade Out,Nothing More,2,0,2,1,0,0,0,0,113811,2023.06.22
221,Nightmare,From Ashes To New,2,0,2,1,0,0,0,0,243927,2023.06.22
221,Obsolete,Of Mice & Men,2,0,2,1,0,0,0,0,152064,2023.06.22
227,Through The Depths,DevilDriver,2,-1,3,2,0,3500,3100,400,8052,2023.06.22
228,Holy Roller,Spiritbox,2,-1,3,2,0,2400,2400,0,187886,2023.06.22
229,Cyberhex,Motionless In White,2,-1,3,2,0,0,0,0,233797,2023.06.22
230,Lexicontagion,Zenith Passage,2,-1,3,1,0,400,-200,600,8169,2023.06.22
231,All Heads Are Gonna Roll,Vomitory,2,-1,3,1,0,400,-2400,2800,1239,2023.06.22
232,Mountains At Midnight,Royal Blood,2,-1,3,1,0,400,-2700,3100,139077,2023.06.22
233,Hypa Hypa,Eskimo Callboy,2,-1,3,1,0,0,0,0,152083,2023.06.22
233,The American Nightmare,Ice Nine Kills,2,-1,3,1,0,0,0,0,178289,2023.06.22
233,Waiting On You,Rain City Drive,2,-1,3,1,0,0,0,0,59779,2023.06.22
233,Cutting It Close,Rain City Drive,2,-1,3,1,0,0,0,0,121289,2023.06.22
233,Blood & Water,Memphis May Fire,2,-1,3,1,0,0,0,0,102352,2023.06.22
238,I See Dead People,Amity Affliction,2,-2,4,2,0,800,-2600,3400,64362,2023.06.22
239,Nothing Gold,After The Burial,2,-3,5,1,0,400,-2400,2800,24633,2023.06.22
240,Glacial Domination,Frozen Soul,2,-15,17,2,0,3600,-8900,12500,5495,2023.06.22
241,The Human Radio,Shinedown,2,,,2,0,7200,,,42975,2023.06.22
242,Hell Hounds,Texas Hippie Coalition,2,,,2,0,5400,,,20624,2023.06.22
243,One More Day,Arrival Of Autumn,2,,,2,0,2300,,,384,2023.06.22
244,Sacred,Omnium Gatherum,2,,,2,0,1600,,,2446,2023.06.22
245,Nothing Else Matters (S&M2),Metallica & The San Francisco Symphony Orchestra,2,,,2,0,1500,,,8965,2023.06.22
246,The Unforgiven III (S&M2),Metallica & The San Francisco Symphony Orchestra,2,,,2,0,1400,,,7792,2023.06.22
247,On My Teeth,Underoath,2,,,2,0,700,,,12615,2023.06.22
248,"Congratulations, You're In A Cult",Sin Shake Sin,2,,,2,0,600,,,0,2023.06.22
249,Barn Burner,Spirit Adrift,2,,,2,0,500,,,9934,2023.06.22
250,Obey,Bring Me The Horizon W/ Yungblud,2,,,2,0,0,,,183083,2023.06.22
250,Bad Listener,Beartooth,2,,,2,0,0,,,35363,2023.06.22
252,Choke,Widow7,2,,,1,0,2500,,,744,2023.06.22
252,Enter Sandman (S&M2),Metallica & The San Francisco Symphony Orchestra,2,,,1,0,2500,,,5105,2023.06.22
254,Talk To A Friend,Slaves,2,,,1,0,0,,,194712,2023.06.22
254,Cut Me Open,Of Virtue,2,,,1,0,0,,,10908,2023.06.22
254,Glass Houses,Bad Omens,2,,,1,0,0,,,161341,2023.06.22
254,Griftwood,Ghost,2,,,1,0,0,,,106785,2023.06.22
Copyright (c) 2023 MRC Data LLC. Confidential and Proprietary.,,,,,,,,,,,,2023.06.22
Rank,Song,Artist,TP Spins,+/- Chg. Spins,LP Spins,Stations,Adds,TP Audience,+/- Chg. Audience,LP Audience,TP Stream,2023.06.29
1,72 Seasons,Metallica,1935,-64,1999,69,0,4176200,145900,4030300,333974,2023.06.29
2,rescued,Foo Fighters,1787,-175,1962,69,0,4274500,-378700,4653200,660408,2023.06.29
3,Need A Favor,Jelly Roll,1783,0,1783,68,0,3529000,216800,3312200,11567413,2023.06.29
4,Lowest In Me,Staind,1645,18,1627,68,0,2874900,135100,2739800,368338,2023.06.29
5,Nobody,Avenged Sevenfold,1542,-2,1544,66,0,2602900,-37600,2640500,740107,2023.06.29
6,Deep End,I Prevail,1500,25,1475,61,0,2158600,32100,2126500,582027,2023.06.29
7,Another Celebration At The End Of The World,Mammoth WVH,1302,21,1281,68,0,2203700,-153300,2357000,128209,2023.06.29
8,Unstoppable,Disturbed,1229,66,1163,66,0,1718500,73100,1645400,206039,2023.06.29
9,Hate Me Too,From Ashes To New,1228,-14,1242,62,0,1416600,-28400,1445000,301160,2023.06.29
10,The Dirt I'M Buried In,Avatar,1052,58,994,65,0,1377700,109200,1268500,128857,2023.06.29
11,Blood In The Water,Ayron Jones,996,-17,1013,63,0,1544000,-99400,1643400,212619,2023.06.29
12,Lost,Linkin Park,955,-22,977,62,0,3050600,-43400,3094000,1414809,2023.06.29
13,Jesus He Knows Me,Ghost,900,8,892,60,0,1160600,2800,1157800,275741,2023.06.29
14,Meeting The Master,Greta Van Fleet,897,-42,939,66,0,1448400,-186600,1635000,430719,2023.06.29
15,The Death Of Peace Of Mind,Bad Omens,831,49,782,55,0,836200,41300,794900,1401528,2023.06.29
16,Beyond,Corey Taylor,795,49,746,60,0,908500,47200,861300,144229,2023.06.29
17,All Things Must Change,Bush,681,41,640,60,0,912400,75800,836600,83620,2023.06.29
18,Watch Me Burn,Atreyu,650,27,623,49,0,561800,102700,459100,189100,2023.06.29
19,Psycho In My Head,Skillet,555,34,521,43,0,447300,7300,440000,250368,2023.06.29
20,Skeletons,Pop Evil,477,35,442,47,0,489400,79600,409800,174724,2023.06.29
21,Everything,Sevendust,457,-1,458,43,0,409300,12900,396400,115008,2023.06.29
22,Black Thunder,Hu,449,60,389,34,0,379500,90300,289200,235628,2023.06.29
23,Soul On Fire,Godsmack,445,-99,544,45,0,1093000,-110700,1203700,118526,2023.06.29
24,Sold Out,Hardy,435,91,344,43,0,494400,204500,289900,1635591,2023.06.29
25,Lost,Bring Me The Horizon,409,68,341,48,0,460000,150100,309900,648824,2023.06.29
26,Empires,Smashing Pumpkins,378,-9,387,41,0,375900,-10000,385900,15602,2023.06.29
27,Psycho,Asking Alexandria,356,187,169,47,0,267500,140300,127200,333640,2023.06.29
28,Full Disclosure,Otherwise,347,-29,376,35,0,293900,-19100,313000,22736,2023.06.29
29,Those Days,Nickelback,335,2,333,39,0,725300,134300,591000,166042,2023.06.29
30,Victorious (Feat. Dorothy),Nita Strauss,332,94,238,46,0,270200,62500,207700,74677,2023.06.29
31,Punching Bag,Set It Off,282,39,243,26,0,114500,13800,100700,221708,2023.06.29
32,Safe And Sound,Point North Feat. The Ghost Inside,255,28,227,31,0,109100,23000,86100,224019,2023.06.29
33,Never Ending Moment,Des Rocs,207,10,197,30,0,162100,4100,158000,63130,2023.06.29
34,Numb,Sleep Theory,197,50,147,34,0,78800,30700,48100,276705,2023.06.29
35,Two Of Us (Stuck),Theory Of A Deadman,194,14,180,22,0,167800,7200,160600,43805,2023.06.29
36,Contraband,Gxtp,190,-4,194,12,0,80500,7500,73000,45673,2023.06.29
37,Nervous,Black Stone Cherry,163,35,128,23,0,99000,39200,59800,71874,2023.06.29
38,Churn,Cairo Knife Fight,149,-13,162,26,0,106500,6100,100400,292,2023.06.29
39,Together Right,Finger Eleven,148,-5,153,29,0,165900,-4400,170300,56078,2023.06.29
40,Gimme That Boom,Skindred,147,22,125,18,0,113200,44500,68700,53704,2023.06.29
41,Stuck,Thirty Seconds To Mars,146,-9,155,14,0,500100,-3700,503800,703476,2023.06.29
42,Left Behind,Plush (Za),144,6,138,15,0,119000,2700,116300,9953,2023.06.29
