US_Chart - Mainstream R&B/Hip-Hop Airplay,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,week_of
Rank,Song,Artist,TP Spins,+/- Chg. Spins,LP Spins,Stations,Adds,TP Audience,+/- Chg. Audience,LP Audience,TP Stream,2023.06.22
1,Snooze,Sza,4018,515,3503,73,0,17850000,2627900,15222100,10289788,2023.06.22
2,Favorite Song,Toosii,3645,-163,3808,72,0,12983100,-320100,13303200,22407592,2023.06.22
3,All My Life,Lil Durk Feat. J. Cole,3610,440,3170,71,0,15566500,1587100,13979400,20462241,2023.06.22
4,Glu,Usher,2882,12,2870,70,0,8570500,-352600,8923100,740680,2023.06.22
5,Search & Rescue,Drake,2777,-170,2947,72,0,10078300,-597700,10676000,10996874,2023.06.22
6,ICU,Coco Jones,2552,-787,3339,68,0,9468400,-2741800,12210200,4222838,2023.06.22
7,Ain't Gonna Answer,Nle Choppa,2535,231,2304,71,0,8173000,873700,7299300,1388107,2023.06.22
8,Under The Influence,Chris Brown,2417,-343,2760,71,0,10996100,-1845600,12841700,9133860,2023.06.22
9,What It Is (Block Boy),Doechii & Kodak Black,2404,162,2242,71,0,7653500,438100,7215400,6653874,2023.06.22
10,Creepin',"Metro Boomin, The Weeknd & 21 Savage",2278,-490,2768,69,0,10692600,-1411100,12103700,8997228,2023.06.22
11,Fight The Feeling,Rod Wave,2209,24,2185,65,0,7805500,133500,7672000,5100686,2023.06.22
12,Dogtooth,"Tyler, The Creator",2099,34,2065,70,0,5936600,306500,5630100,2404792,2023.06.22
13,Spin Bout U,Drake & 21 Savage,2060,-413,2473,66,0,9640900,-1717900,11358800,6376114,2023.06.22
14,Put It On Da Floor,Latto,1986,147,1839,72,0,7792200,745000,7047200,14318681,2023.06.22
15,Calm Down,Rema & Selena Gomez,1879,60,1819,69,0,6975700,-37500,7013200,20003930,2023.06.22
16,Rodeo,Lah Pat Feat. Big Jade,1841,-84,1925,69,0,6136000,-256200,6392200,2751636,2023.06.22
17,In Ha Mood,Ice Spice,1746,-871,2617,69,0,7842800,-2336400,10179200,2454768,2023.06.22
18,Private Landing,Don Toliver,1707,-225,1932,70,0,5442300,-896800,6339100,2704388,2023.06.22
19,Shake Sumn,DaBaby,1582,70,1512,68,0,6111600,798200,5313400,8068774,2023.06.22
20,Peaches & Eggplants,Young Nudy Feat. 21 Savage,1549,109,1440,69,0,4957700,332800,4624900,8202425,2023.06.22
21,Princess Diana,Ice Spice,1537,57,1480,71,0,7194300,682300,6512000,7477903,2023.06.22
22,Pound Town,Sexyy Red,1291,126,1165,66,0,4053800,181500,3872300,5113283,2023.06.22
23,Act Bad,Diddy,1245,438,807,71,0,4225900,1043900,3182000,1182158,2023.06.22
24,People,Libianca,1215,37,1178,61,0,4249300,141500,4107800,5524463,2023.06.22
25,Sittin' On Top Of The World,Burna Boy,1137,191,946,70,0,4152100,649200,3502900,1242600,2023.06.22
26,Mine,Wanmor,1118,-124,1242,65,0,3053000,-145900,3198900,125707,2023.06.22
27,Already Know,Yung Pooda Feat. Angelica Vila & A Boogie Wit Da Hoodie,1070,-94,1164,59,0,2814200,-101700,2915900,276199,2023.06.22
28,Area Codes,Kali,1058,76,982,61,0,3156000,131500,3024500,18868271,2023.06.22
29,Curious,Eric Bellinger,908,53,855,60,0,2982100,271100,2711000,535646,2023.06.22
30,Stop Playing With Me,Pretty Porcelain,858,12,846,40,0,1703800,137300,1566500,6800,2023.06.22
31,Always,Daniel Caesar,837,92,745,36,0,1516200,129100,1387100,1280162,2023.06.22
32,Bops,Coi Leray,802,39,763,51,0,2108400,91600,2016800,701821,2023.06.22
33,Lick Or Sum,Glorilla,774,238,536,61,0,2158700,396800,1761900,3166882,2023.06.22
34,I'm Geekin,Ddg,769,63,706,54,0,1869100,412900,1456200,6889235,2023.06.22
35,Fake Love,Tink,720,-20,740,43,0,1643900,-89800,1733700,3,2023.06.22
36,Passionate,Blxst Feat. Roddy Ricch,580,-413,993,40,0,1557800,-1171700,2729500,442617,2023.06.22
37,Give It To Me,Miguel,510,31,479,35,0,1597100,87600,1509500,381677,2023.06.22
38,Chromosomes,Key Glock,502,4,498,38,0,766600,-45000,811600,586282,2023.06.22
39,Double Back,Coco Jones,496,330,166,38,0,1132100,667500,464600,714406,2023.06.22
40,Reflections,Dustystaytrue,416,92,324,32,0,641700,206800,434900,93642,2023.06.22
41,Selfish,J. Lock Feat. RL,382,-85,467,19,0,527100,-72400,599500,0,2023.06.22
42,Get What You Give,Kendrick P.,350,-62,412,25,0,692100,-84100,776200,7585,2023.06.22
43,Keep Dat,iCandy,328,-53,381,36,0,1168500,-170700,1339200,4923560,2023.06.22
44,The Hillbillies,Baby Keem & Kendrick Lamar,271,218,53,44,0,784900,528900,256000,3709978,2023.06.22
45,Jealous,Kiana Lede,250,4,246,25,0,609500,96600,512900,0,2023.06.22
46,Don'T Stop,GoGo Morrow,244,-10,254,17,0,335300,13400,321900,76176,2023.06.22
47,Talibans,Byron Messia,232,46,186,45,0,1724100,475900,1248200,1820653,2023.06.22
48,Strike (Holster),Lil Yachty,222,44,178,35,0,1272200,322100,950100,3031535,2023.06.22
49,Low Down,Lil Baby,194,-87,281,26,0,481500,-241300,722800,5855340,2023.06.22
50,Bluffin',Gucci Mane Feat. Lil Baby,192,160,32,38,0,452000,259100,192900,5974701,2023.06.22
51,Casamigos (Pour It In My Cup),Sukihana x Afro B,188,-18,206,32,0,485300,-147100,632400,0,2023.06.22
52,Bad Mama Jama,CuhDeeJah Feat. Snoop Dogg,187,-36,223,16,0,181800,-34300,216100,1687,2023.06.22
53,Tell Me It's Over,"Jacquees, Summer Walker, 6lack",183,-15,198,22,0,300400,-56700,357100,672045,2023.06.22
54,We Don'T Know That,Ham,182,-38,220,20,0,257500,-30000,287500,1244,2023.06.22
55,To The Floor,Yella Beezy,162,13,149,34,0,664100,77200,586900,47118,2023.06.22
56,Lipstick Lover,Janelle Monae,157,-30,187,21,0,631500,-179600,811100,804331,2023.06.22
57,Unavailable,DaVido,156,7,149,43,0,718000,27700,690300,1290329,2023.06.22
58,Who Told You,J Hus Feat. Drake,149,95,54,31,0,838000,456400,381600,2651774,2023.06.22
59,Telepatia,Kali Uchis,145,7,138,2,0,1818900,109300,1709600,3278157,2023.06.22
60,DUMB,Rican Da Menace,143,-1,144,30,0,431200,126300,304900,0,2023.06.22
61,Bad B*tches,BreezyLyn,143,-17,160,47,0,626700,48600,578100,0,2023.06.22
62,America Has A Problem,Beyonce,135,12,123,23,0,526700,71700,455000,5197407,2023.06.22
63,Popular,"Madonna, Playboi Carti, The Weeknd",126,78,48,22,0,292800,99200,193600,5178010,2023.06.22
64,Hot Boy,Nardo Wick Feat. Lil Baby,126,-4,130,33,0,449900,17900,432000,1889678,2023.06.22
65,Come For Me,Alicia Keys Feat. Khalid & Lucky Daye,120,36,84,10,0,736200,278600,457600,190168,2023.06.22
66,GEEKALEEK,Ohgeesy,105,18,87,24,0,980800,447500,533300,2339453,2023.06.22
67,Don't Give Up On Me,Fridayy,97,17,80,28,0,440600,113300,327300,253231,2023.06.22
68,Motion God,Moneybagg Yo,94,8,86,27,0,297300,68000,229300,2628460,2023.06.22
69,Party No Dey Stop,Adekunle Gold,93,-33,126,29,0,402700,19000,383700,529496,2023.06.22
70,Bread & Butter,Gunna,91,51,40,25,0,445300,301700,143600,9481692,2023.06.22
71,WHO DAT,Backwoods Fam,91,-3,94,9,0,103000,5500,97500,416,2023.06.22
72,Love's Train,"Bruno Mars, Anderson .Paak, Silk Sonic",90,-29,119,12,0,460400,-82800,543200,642818,2023.06.22
73,Attention,Doja Cat,89,,,13,0,515000,,,12358808,2023.06.22
74,Throw It!,Spiffy The Goat,87,-18,105,25,0,224100,-58000,282100,251673,2023.06.22
75,If Pretty Was A Person,Hylan Starr,87,-64,151,2,0,88400,-39500,127900,0,2023.06.22
76,Body Like Sza,Jxhines,86,-7,93,8,0,144000,-22500,166500,3336,2023.06.22
77,The Suspect,Fivio Foreign,85,9,76,15,0,185900,-1500,187400,0,2023.06.22
78,I Need A Thug,City Girls,83,16,67,25,0,397700,38400,359300,1053041,2023.06.22
79,The Journey,H.E.R.,79,-7,86,2,0,38400,-200,38600,448981,2023.06.22
80,Dusties,Maiya The Don,75,16,59,21,0,326400,44000,282400,205881,2023.06.22
81,Put It On Me,Tucka,75,-29,104,2,0,33600,-2700,36300,0,2023.06.22
82,I Need To Know,Ledisi,73,-21,94,9,0,479100,-98900,578000,148240,2023.06.22
83,Fallin',Coco Jones,68,6,62,1,0,0,0,0,0,2023.06.22
84,The Party Ain't Ova,Ronnie Bell,67,4,63,3,0,32100,10300,21800,0,2023.06.22
85,Don't Think You Ever Loved Me,Tyrese Feat. Lenny Kravitz,67,-15,82,10,0,373600,-82600,456200,0,2023.06.22
86,Get Your Lick Back,Honey Bxby,64,60,4,1,0,0,0,0,158818,2023.06.22
87,Aquafina,Young Jonn,64,22,42,22,0,327100,51600,275500,397095,2023.06.22
88,See Through Love,Tank Feat. Chris Brown,64,-20,84,5,0,290500,-110500,401000,238840,2023.06.22
89,Fuk You Mean,Gunna,64,,,18,0,344900,,,0,2023.06.22
90,Mourning,Post Malone,63,3,60,4,0,184100,12300,171800,5001916,2023.06.22
91,Go Hard,Lil Baby,63,-15,78,25,0,220700,-69700,290400,3607708,2023.06.22
92,Back To The Moon,Gunna,63,,,15,0,365400,,,13123418,2023.06.22
93,Moonlight,Kali Uchis,61,2,59,11,0,74000,-5800,79800,6472332,2023.06.22
94,Nah Fr,Big Homie Sho,58,-4,62,5,0,230300,55700,174600,9694,2023.06.22
95,Essence Fest,Curren$y & Jermaine Dupri,54,-21,75,15,0,183300,-6300,189600,34236,2023.06.22
96,Standards,Keke Palmer,54,-31,85,8,0,75300,-8300,83600,54466,2023.06.22
97,How Does It Feel,Chloe & Chris Brown,53,-9,62,4,0,96100,-16100,112200,950289,2023.06.22
98,Titi Me Pregunto,Bad Bunny,51,8,43,4,0,640100,97900,542200,6150997,2023.06.22
99,Changed,Tamar Braxton,51,3,48,3,0,106900,-3100,110000,71440,2023.06.22
100,Flip A Switch.,Raye,51,3,48,2,0,54000,14700,39300,541268,2023.06.22
101,Remember That,Rjae,50,36,14,8,0,83300,45800,37500,0,2023.06.22
102,48 Laws Of Power,Hunxho,50,-14,64,6,0,91000,-14500,105500,337024,2023.06.22
103,Overdose,Finesse2tymes,49,3,46,19,0,181000,4400,176600,840111,2023.06.22
104,Alright,Gunna,49,,,12,0,277100,,,3995248,2023.06.22
105,Look My Way,Kevin Ross,47,-2,49,4,0,157100,23200,133900,97336,2023.06.22
106,Where Ya Bih @,Moneybagg Yo,46,29,17,27,0,136400,78800,57600,1751418,2023.06.22
107,Who Do U Luv,Rodney Block,46,1,45,1,0,194800,4700,190100,0,2023.06.22
108,Florida Water,"Danny Towers, Dj Scheme, Ski Mask The Slump God",46,-1,47,13,0,148400,9100,139300,0,2023.06.22
109,Keep It Low,Moneybagg Yo Feat. Future,45,-23,68,15,0,144000,-110300,254300,0,2023.06.22
110,Back To Your Place,October London,43,6,37,4,0,219800,16900,202900,326477,2023.06.22
111,Off The Court,Sleazyworld Go,43,-16,59,14,0,109000,-26500,135500,1336086,2023.06.22
112,Spin,Kodak Black,42,22,20,18,0,139000,82800,56200,353402,2023.06.22
113,Calling (Spider-Man: Across The Spider-Verse),"Metro Boomin, Swae Lee & Nav Feat. A Boogie Wit Da Hoodie",42,8,34,7,0,307000,63500,243500,8632008,2023.06.22
114,Right On,Lil Baby,42,0,42,19,0,134300,-20100,154400,2169531,2023.06.22
115,Summer,Kenya Vaun,41,22,19,17,0,201800,92400,109400,108653,2023.06.22
116,West Coast Weekend,"Tyga, YG & Blxst",41,16,25,13,0,190600,-9100,199700,944047,2023.06.22
117,What We On,"Lil Jon, E-40 & P-LO",41,7,34,7,0,323200,61400,261800,0,2023.06.22
118,Cinderella Girl (Where You Dey,Blaqbonez,40,1,39,9,0,178600,-39500,218100,35212,2023.06.22
119,Motion,Ty Dolla $ign,39,9,30,4,0,347600,154500,193100,349117,2023.06.22
120,Wtf,YoungBoy Never Broke Again Feat. Nicki Minaj,39,-10,49,16,0,121100,10400,110700,886832,2023.06.22
121,They Don'T Love It,Jack Harlow,38,0,38,7,0,79900,8600,71300,1795794,2023.06.22
122,California Breeze,Lil Baby,37,6,31,22,0,120400,17100,103300,3800231,2023.06.22
123,Sneaky Link,A.R. The Mermaid,37,-4,41,2,0,75500,-12400,87900,7814,2023.06.22
124,Been Thinking,Tyla,37,-39,76,8,0,67200,-35900,103100,29270,2023.06.22
125,Bounce When She Walk (Feat. Mykfresh & Gwallagangspec),Ohboyprince,36,23,13,18,0,146500,72100,74400,1312403,2023.06.22
126,Where She Goes,Bad Bunny,36,15,21,6,0,456500,173100,283400,12564392,2023.06.22
127,Piss Set Off,Sett,36,5,31,1,0,71400,18600,52800,596021,2023.06.22
128,Walk It Back,Hollywood 40 fCee Lo Green,36,4,32,1,0,55200,4200,51000,0,2023.06.22
129,Aogg,Kenny Muney,35,31,4,1,0,70300,64000,6300,125290,2023.06.22
130,"Nothing Else Matters (Instead Of Complaining, Praise Him)",Brent Jones,35,2,33,19,0,145300,3300,142000,0,2023.06.22
131,Just Relax,Lola Brooke,35,-12,47,15,0,191800,-100700,292500,256967,2023.06.22
132,Calm & Patient,Jhene Aiko,33,0,33,1,0,0,0,0,640765,2023.06.22
133,See Bout It,"Quavo, Takeoff & Mustard",32,8,24,19,0,113000,41000,72000,183223,2023.06.22
134,Calling All Ladies,Eddie F X Miss Jones,32,-12,44,12,0,107500,-29500,137000,0,2023.06.22
135,Break The Rules,Aye Five,32,-18,50,15,0,90500,-16300,106800,84,2023.06.22
136,As A Matter Of Fact,Babyface,31,-10,41,5,0,70800,-21100,91900,57994,2023.06.22
137,OH BOY,"Kash Doll & Dj Drama Feat. Skilla Baby, Baby Money, Cash Kidd, Risktaker D-Boy &",31,-19,50,1,0,211500,-151800,363300,211101,2023.06.22
138,My Image,Real Boston Richey,30,-4,34,9,0,120600,-26900,147500,580270,2023.06.22
139,I Know,Kanii,30,-7,37,4,0,18200,-18100,36300,3661874,2023.06.22
140,Gangsta Boo,Ice Spice & Lil Tjay,29,5,24,13,0,139300,69000,70300,1007658,2023.06.22
141,Verbalize,Stokley Feat. Snoop Dogg,29,-12,41,2,0,77600,-29700,107300,0,2023.06.22
142,Quickie,Moneybagg Yo,28,-1,29,14,0,110800,23000,87800,2910549,2023.06.22
143,Slut Me Out,Nle Choppa,28,-18,46,5,0,87300,-42900,130200,7093210,2023.06.22
144,Shiesty,Finesse2tymes,28,,,20,0,116100,,,0,2023.06.22
145,Texas,Bigxthaplug,27,3,24,3,0,77500,-28000,105500,2394387,2023.06.22
146,MOUSKATOOL,"Mello Buckzz Feat. Amari Blaze, Moni Da G, Kashh Mirr",27,-11,38,4,0,126700,-50900,177600,0,2023.06.22
147,Feel Alright (Blessed),Erica Campbell,26,1,25,16,0,115100,-8300,123400,65609,2023.06.22
148,F.B,Pretty Brayah,25,17,8,13,0,101800,26900,74900,0,2023.06.22
149,Tent Revival,Travis Greene & Forward City Feat. D'Nar,25,6,19,15,0,94000,23600,70400,190804,2023.06.22
150,This Song,Danny Boy,25,-5,30,3,0,54700,-29400,84100,45304,2023.06.22
151,(s)ex,Maeta,24,9,15,1,0,42600,1500,41100,0,2023.06.22
152,Just Like You,Slum Village,24,6,18,1,0,56500,1900,54600,48945,2023.06.22
153,This Is New York,Scar Lip,24,-12,36,8,0,97900,-16600,114500,167804,2023.06.22
154,Spicy,Shonte Renee,23,12,11,11,0,75100,37400,37700,142,2023.06.22
155,Piñata,City Girls,23,3,20,12,0,102000,-67400,169400,638417,2023.06.22
156,Daily Bread,Otis Kemp,23,-2,25,15,0,81100,-18900,100000,14723,2023.06.22
157,I Still Have You,Smokie Norful,23,-3,26,15,0,102500,5200,97300,105890,2023.06.22
158,4EVA,Kaytramine Feat. Amine & Kaytranda,22,8,14,4,0,32100,-100,32200,672220,2023.06.22
159,Blessed,Glorilla,22,4,18,12,0,55800,10000,45800,601688,2023.06.22
160,Oochie,Big Baby Cheef Feat. Supa Chuli,22,-5,27,8,0,22100,-16200,38300,0,2023.06.22
161,Don't Need It,K.A.L.F.O x Joe Money,22,-6,28,2,0,17200,-400,17600,0,2023.06.22
162,Scientists & Engineers,"André 3000, Killer Mike",22,,,21,0,118400,,,2870103,2023.06.22
163,Jumpin,Pitbull Feat. Lil Jon,21,4,17,8,0,39800,-6600,46400,921108,2023.06.22
164,Round The Corner,CEO Fully Loaded Feat. Fatt Macc,21,-1,22,2,0,21000,-2000,23000,0,2023.06.22
165,BestFrenn,Gloss Up,21,-26,47,11,0,58700,-72500,131200,0,2023.06.22
166,Miracles,Kierra Sheard Feat. Pastor Mike Jr.,20,0,20,12,0,68800,-1500,70300,220031,2023.06.22
167,Throw A Bag,Homebwoi,20,-1,21,1,0,33900,-5600,39500,0,2023.06.22
168,Bitch Let's Do It,Youngboy Never Broke Again,20,-3,23,4,0,59500,-3100,62600,5879585,2023.06.22
169,WOW (Walk On Water),Lena Byrd Miles,20,-8,28,14,0,77300,-32800,110100,24093,2023.06.22
170,I Will Rejoice,Isabel Davis,19,7,12,14,0,71900,10700,61200,5950,2023.06.22
171,Baby,Bertell,19,7,12,1,0,23600,8500,15100,82,2023.06.22
172,Stingy,Tink Feat. Yung Bleu,19,2,17,4,0,18500,1500,17000,0,2023.06.22
173,Motherless,Killer Mike,18,17,1,18,0,100900,87600,13300,811379,2023.06.22
174,Great God,Demetrius West & Jesus Promoters Feat. Karen Hoskins,18,10,8,15,0,81600,42800,38800,4432,2023.06.22
175,Eastsidebaby,Eastside Baby,18,6,12,1,0,0,0,0,0,2023.06.22
176,Ambition For Cash,Key Glock,18,4,14,8,0,40000,-14800,54800,1797668,2023.06.22
177,The Day,After 7,18,-2,20,1,0,33000,-10200,43200,6818,2023.06.22
178,Back Flippin,Luh Tyler,17,12,5,13,0,85600,73000,12600,798201,2023.06.22
179,Deuce,41,17,10,7,3,0,197100,108600,88500,409796,2023.06.22
180,Anti,Sob X Rbe,17,7,10,1,0,138900,51900,87000,339749,2023.06.22
181,Slime U Out,Shy Glizzy,17,5,12,10,0,58100,29400,28700,0,2023.06.22
182,Kush & P***y,Glc,17,4,13,5,0,77700,5000,72700,0,2023.06.22
183,Savage Birthday,Mbz Live,17,4,13,1,0,59600,17300,42300,916,2023.06.22
184,Best Friend,Zaire Rouege,17,1,16,3,0,30100,-6400,36500,0,2023.06.22
185,White Crocs (With Ryan Trey),"Jordan Ward, Ryan Trey",17,-3,20,12,0,64700,11100,53600,307719,2023.06.22
186,Slide,Black Militia,17,-6,23,4,0,26300,-7400,33700,98,2023.06.22
187,Jesus,Tim Bowman Jr. And Faith City Music Feat. Le'Andria Johnson,17,-9,26,11,0,78800,-21000,99800,71520,2023.06.22
188,Ocean Spray,Moneybagg Yo,17,-12,29,10,0,81200,30000,51200,4775823,2023.06.22
189,Hurt Me So Good,Jazmine Sullivan,17,-21,38,5,0,31900,-58300,90200,687394,2023.06.22
190,She Ready,Myles Brando,16,12,4,4,0,189100,140500,48600,0,2023.06.22
191,Never Knew Love,Charles Jenkins + Fellowship Chicago + Stephanie Mills,16,11,5,16,0,73600,52000,21600,15351,2023.06.22
192,Freestyle,Lil Baby,16,11,5,11,0,87800,60600,27200,6940583,2023.06.22
193,Right Foot Creep,Youngboy Never Broke Again,16,8,8,9,0,37700,19700,18000,1191446,2023.06.22
194,Hanging With Wolves,Only The Family & Lil Durk,16,5,11,8,0,46500,17200,29300,0,2023.06.22
195,Kapitol Dream,Lucki & Future,16,4,12,2,0,9000,-9000,18000,0,2023.06.22
196,Backoutsideboyz,Drake,16,2,14,8,0,56100,6600,49500,1271278,2023.06.22
197,The Moment,Tasha Cobbs Leonard,16,1,15,12,0,76300,2700,73600,66412,2023.06.22
198,Slow Dance (2022),Cupid Feat. Mr Talkbox,16,0,16,2,0,38400,-9600,48000,14831,2023.06.22
199,Aura,Adena Ajayi,16,-2,18,4,0,25800,-6700,32500,286,2023.06.22
200,Goodness Of God (Believe For It Live),Cece Winans,16,-2,18,10,0,62800,-4500,67300,1534708,2023.06.22
Copyright (c) 2023 MRC Data LLC. Confidential and Proprietary.,,,,,,,,,,,,2023.06.22
Rank,Song,Artist,TP Spins,+/- Chg. Spins,LP Spins,Stations,Adds,TP Audience,+/- Chg. Audience,LP Audience,TP Stream,2023.06.29
1,Snooze,Sza,4793,775,4018,73,0,20185300,2335300,17850000,11102473,2023.06.29
2,All My Life,Lil Durk Feat. J. Cole,4528,918,3610,71,0,19027300,3460800,15566500,19602103,2023.06.29
3,Favorite Song,Toosii,3476,-169,3645,72,0,13041700,58600,12983100,21512225,2023.06.29
4,Glu,Usher,3099,217,2882,69,0,9227400,656900,8570500,714323,2023.06.29
5,Ain't Gonna Answer,Nle Choppa,2857,322,2535,71,0,9375000,1202000,8173000,1365888,2023.06.29
6,Search & Rescue,Drake,2835,58,2777,73,0,10044300,-34000,10078300,10363245,2023.06.29
7,Fight The Feeling,Rod Wave,2673,464,2209,65,0,9276300,1470800,7805500,4818204,2023.06.29
8,Put It On Da Floor,Latto,2480,494,1986,70,0,9756600,1964400,7792200,12786926,2023.06.29
9,What It Is (Block Boy),Doechii & Kodak Black,2444,40,2404,70,0,7668300,14800,7653500,6457636,2023.06.29
10,Under The Influence,Chris Brown,2328,-89,2417,69,0,10350400,-645700,10996100,8253687,2023.06.29
11,Calm Down,Rema & Selena Gomez,2183,304,1879,69,0,8463400,1487700,6975700,19183197,2023.06.29
12,Creepin',"Metro Boomin, The Weeknd & 21 Savage",2125,-153,2278,69,0,9803900,-888700,10692600,9032464,2023.06.29
13,Dogtooth,"Tyler, The Creator",2119,20,2099,70,0,6129000,192400,5936600,2260331,2023.06.29
14,Shake Sumn,DaBaby,1791,209,1582,70,0,6597300,485700,6111600,11189087,2023.06.29
15,Princess Diana,Ice Spice,1786,249,1537,70,0,7551500,357200,7194300,7819520,2023.06.29
16,Peaches & Eggplants,Young Nudy Feat. 21 Savage,1734,185,1549,69,0,5474400,516700,4957700,10653315,2023.06.29
17,Pound Town,Sexyy Red,1654,363,1291,67,0,5274900,1221100,4053800,5732086,2023.06.29
18,Sittin' On Top Of The World,Burna Boy,1455,318,1137,70,0,5394000,1241900,4152100,2340976,2023.06.29
19,Act Bad,Diddy,1442,197,1245,73,0,5041200,815300,4225900,974575,2023.06.29
20,Area Codes,Kali,1389,331,1058,70,0,4299300,1143300,3156000,16343327,2023.06.29
21,People,Libianca,1181,-34,1215,61,0,4218800,-30500,4249300,5067428,2023.06.29
22,Private Landing,Don Toliver,1142,-565,1707,65,0,3650200,-1792100,5442300,2585769,2023.06.29
23,Curious,Eric Bellinger,1097,189,908,59,0,3359300,377200,2982100,564318,2023.06.29
24,Lick Or Sum,Glorilla,1010,236,774,66,0,2827900,669200,2158700,3144161,2023.06.29
25,Mine,Wanmor,1004,-114,1118,59,0,2639300,-413700,3053000,106227,2023.06.29
26,Stop Playing With Me,Pretty Porcelain,936,78,858,41,0,1824600,120800,1703800,7848,2023.06.29
27,Always,Daniel Caesar,898,61,837,35,0,1654900,138700,1516200,1230498,2023.06.29
28,I'm Geekin,Ddg,859,90,769,53,0,1883400,14300,1869100,6744552,2023.06.29
29,Bops,Coi Leray,859,57,802,55,0,2329200,220800,2108400,908872,2023.06.29
30,Already Know,Yung Pooda Feat. Angelica Vila & A Boogie Wit Da Hoodie,859,-211,1070,49,0,1943300,-870900,2814200,258958,2023.06.29
31,Fake Love,Tink,769,49,720,44,0,1689100,45200,1643900,0,2023.06.29
32,Double Back,Coco Jones,706,210,496,45,0,1859000,726900,1132100,794013,2023.06.29
33,Chromosomes,Key Glock,630,128,502,44,0,1131400,364800,766600,957008,2023.06.29
34,Give It To Me,Miguel,561,51,510,33,0,1742200,145100,1597100,338585,2023.06.29
35,Reflections,Dustystaytrue,526,110,416,35,0,858900,217200,641700,92910,2023.06.29
36,The Hillbillies,Baby Keem & Kendrick Lamar,524,253,271,47,0,1150600,365700,784900,2910880,2023.06.29
37,Get What You Give,Kendrick P.,393,43,350,22,0,769500,77400,692100,7940,2023.06.29
38,Summer Too Hot,Chris Brown,351,350,1,33,0,1366100,1363200,2900,3704200,2023.06.29
39,Bluffin',Gucci Mane Feat. Lil Baby,346,154,192,42,0,801400,349400,452000,3507114,2023.06.29
40,Selfish,J. Lock Feat. RL,331,-51,382,18,0,396200,-130900,527100,0,2023.06.29
41,Talibans,Byron Messia,320,88,232,49,0,2150500,426400,1724100,1746547,2023.06.29
42,Keep Dat,iCandy,301,-27,328,40,0,1031100,-137400,1168500,5338754,2023.06.29
43,Jealous,Kiana Lede,298,48,250,26,0,701600,92100,609500,0,2023.06.29
44,Don'T Stop,GoGo Morrow,296,52,244,17,0,495800,160500,335300,75050,2023.06.29
45,Popular,"Madonna, Playboi Carti, The Weeknd",284,158,126,31,0,567000,274200,292800,5438483,2023.06.29
46,Who Told You,J Hus Feat. Drake,274,125,149,36,0,1089900,251900,838000,2313806,2023.06.29
47,We Don'T Know That,Ham,225,43,182,20,0,290900,33400,257500,204,2023.06.29
48,Tell Me It's Over,"Jacquees, Summer Walker, 6lack",216,33,183,23,0,332100,31700,300400,720597,2023.06.29
49,Attention,Doja Cat,213,124,89,41,0,647900,132900,515000,7767289,2023.06.29
50,Strike (Holster),Lil Yachty,199,-23,222,35,0,1066800,-205400,1272200,2848899,2023.06.29
51,Bad Mama Jama,CuhDeeJah Feat. Snoop Dogg,179,-8,187,16,0,190600,8800,181800,814,2023.06.29
52,To The Floor,Yella Beezy,172,10,162,37,0,597200,-66900,664100,35456,2023.06.29
53,Calling (Spider-Man: Across The Spider-Verse),"Metro Boomin, Swae Lee & Nav Feat. A Boogie Wit Da Hoodie",160,118,42,25,0,589700,282700,307000,7844950,2023.06.29
54,Telepatia,Kali Uchis,148,3,145,6,0,1854500,35600,1818900,3292764,2023.06.29
55,Low Down,Lil Baby,143,-51,194,16,0,335700,-145800,481500,5553487,2023.06.29
56,Lipstick Lover,Janelle Monae,135,-22,157,22,0,633500,2000,631500,609886,2023.06.29
57,Bad B*tches,BreezyLyn,132,-11,143,43,0,502600,-124100,626700,0,2023.06.29
58,Unavailable,DaVido,132,-24,156,44,0,484700,-233300,718000,1387137,2023.06.29
59,Oh U Went,Young Thug,128,,,27,0,725100,,,15074704,2023.06.29
60,Casamigos (Pour It In My Cup),Sukihana x Afro B,122,-66,188,23,0,307000,-178300,485300,0,2023.06.29
61,Come For Me,Alicia Keys Feat. Khalid & Lucky Daye,119,-1,120,10,0,678000,-58200,736200,184309,2023.06.29
62,Hot Boy,Nardo Wick Feat. Lil Baby,117,-9,126,32,0,406900,-43000,449900,1741397,2023.06.29
63,I Need A Thug,City Girls,109,26,83,30,0,451600,53900,397700,673885,2023.06.29
64,DUMB,Rican Da Menace,108,-35,143,20,0,392800,-38400,431200,0,2023.06.29
65,Cars Bring Me Out,Young Thug Feat. Future,103,,,19,0,594800,,,8873430,2023.06.29
66,Go Hard,Lil Baby,102,39,63,27,0,348300,127600,220700,3254176,2023.06.29
67,Love's Train,"Bruno Mars, Anderson .Paak, Silk Sonic",96,6,90,15,0,401100,-59300,460400,642424,2023.06.29
68,GEEKALEEK,Ohgeesy,88,-17,105,24,0,775300,-205500,980800,2243944,2023.06.29
69,Body Like Sza,Jxhines,87,1,86,7,0,132700,-11300,144000,2304,2023.06.29
70,West Coast Weekend,"Tyga, YG & Blxst",84,43,41,23,0,316200,125600,190600,832670,2023.06.29
