US_Chart - Current R&B/Hip-Hop Albums,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,week_of
Rank,Album,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TW Sales,% CHG,LW Sales,RTD Sales,2023.06.29
89,So Many Other Realities Exist Simultaneously,Atmosphere,Rhymesayers,RHMS,2,69,62,8,69,-31.0,100,4473,2023.06.29
90,Love Language,Angie Stone,"INDEPENDENT LABEL SERVICES, INC",ILS ,40,141,102,6,68,106.1,33,535,2023.06.29
90,Bigger In Texas,Le$,,,90,,,1,68,,0,68,2023.06.29
92,Curtain 2,Eminem,INTERSCOPE/GEFFEN/A&M,INT ,4,84,101,34,64,-16.9,77,18622,2023.06.29
92,The Drive In Theater Part 2,Curren$y,,,63,110,80,3,64,-1.5,65,804,2023.06.29
94,Disco Heat--The Fantasy Years 1977-1981,Sylvester,REDSTARDIGITALMUSIC,REIC,48,114,73,4,62,34.8,46,357,2023.06.29
95,Made You Look: God's Son Live 2002,Nas,Columbia Records,COL,3,82,83,10,61,-26.5,83,3420,2023.06.29
96,I Know Nigo  (Ex),Nigo,REPUBLIC RECORDS,R-RR,1,106,77,56,60,7.1,56,25413,2023.06.29
97,Rtj Cu4tro,Run The Jewels, BMG DISTRIBUTION,BMG ,9,55,87,26,58,-55.7,131,5519,2023.06.29
98,It's Almost Dry,Pusha T,DEF JAM RECORDINGS,DEF ,1,85,91,62,57,-23.0,74,38508,2023.06.29
99,Sremm 4 Life,Rae Sremmurd,INTERSCOPE/GEFFEN/A&M,INT ,3,71,131,11,56,-42.3,97,8803,2023.06.29
99,Live At Glastonb(2lp,Amy Winehouse,REPUBLIC RECORDS,R-RR,6,119,156,56,56,33.3,42,14456,2023.06.29
101,Enigmatic Society,Dinner Party,Empire,EMPR,48,119,191,4,54,28.6,42,525,2023.06.29
101,Special Occasion,Emily King,"ATO RECORDS, L.L.C.",ATO ,15,129,72,9,54,38.5,39,2258,2023.06.29
