country,instrumentalness,liveness,danceability,energy,valence,tempo
NZ,0.012681066779227172,0.1639782574452375,0.6424198867831652,0.6178693133152843,0.5243549101649028,126.59218026089097
PA,0.005866397088453287,0.15779647454651843,0.7269121172225472,0.6804856651453092,0.5709990930368637,119.28746889018919
PE,0.007765955211702441,0.1636398363226502,0.7618154464373224,0.7019629148877782,0.6189155248456336,116.00934494756444
PH,0.009434924262582911,0.14380325790089737,0.6407209325009754,0.56170780823254,0.5178964641045649,119.33493674404994
PK,0.010425794289336389,0.14927298259300795,0.6799296894046516,0.5666231410600224,0.5195085620946901,106.54958793700325
PL,0.007496088032075656,0.1941569854733353,0.6778772058106659,0.6890764843521497,0.5127278638978259,125.4566677878522
PT,0.01778469308644985,0.167956648300746,0.7013220537325077,0.5961878541128286,0.5483058559656736,120.86994646252865
PY,0.0036656469472491748,0.1821835689306999,0.7209745850366941,0.6912834162931586,0.6180199477909668,121.7410041373196
RO,0.015660879545009304,0.16704924086590264,0.742614163972965,0.7168226564795769,0.5891461700460378,130.58624062102066
SA,0.09632117569818378,0.17388585421075947,0.6205367918491903,0.6538747600531574,0.5068550081212777,120.42920263818476
SE,0.023618008344627777,0.17725294146533097,0.6325748870555883,0.6080383863681006,0.5322288008249852,125.98338391278726
SG,0.008417167947803138,0.14719293778407702,0.6437067592004301,0.6287472410928108,0.510305512927032,123.3216169786423
SK,0.024413717259451014,0.1703394158444857,0.6934032919800722,0.6717146136563447,0.4769416967861678,127.75518262186188
SV,0.007439677465873635,0.1721806942277691,0.7604094188767551,0.6997198566692668,0.6140726404056163,119.89881669266771
TH,0.007103948260445615,0.18173849641655698,0.6280640631856077,0.6382647847496465,0.5225618302374335,123.83061679099019
TR,0.0055867862482893455,0.1891958797653959,0.6510206256109482,0.6462989736070381,0.5363642424242424,119.3195193548387
TW,0.0010456913513777128,0.15794573030968057,0.640325286515484,0.62499566447208,0.5027047159229456,124.2328510607169
UA,0.05329813626810157,0.16613405574290815,0.7105869371156517,0.6481063777028367,0.5355472326919262,118.0568400119024
US,0.011996049890916302,0.1634586820706069,0.6364123859579532,0.6039431475604918,0.4874634073780246,126.00185982744942
UY,0.003522081319799524,0.1797560522452286,0.7220772034627652,0.6912667038424543,0.6836694173037008,114.49589500329063
VE,0.007433506140315097,0.16687942691072247,0.7590954825880794,0.6868548412124611,0.5683116300412991,116.32002595217456
VN,0.011578299202267666,0.16654272626037658,0.6833986130795707,0.546461601538773,0.4920178021866775,123.39276402105689
ZA,0.07608505213954635,0.1327041124260355,0.7320025641025641,0.6033816420118343,0.5035552958579882,119.94333145956608
