country,instrumentalness,liveness,danceability,energy,valence,tempo
AE,0.017481057189354967,0.15782174515235456,0.6483915710328453,0.6315231796596755,0.5015173130193906,122.36315393747527
AR,0.004055579776152158,0.1887344501341136,0.7200125335284077,0.6966071827066569,0.6578826139965862,115.97735171909291
AT,0.027452702688852894,0.166159505227507,0.668569415402739,0.6560537554606588,0.5287187650321504,126.92894458351739
AU,0.014495889152842728,0.15917274427762737,0.6317774058577407,0.6209618311592419,0.5084250209205021,127.09977258183608
BE,0.032091931171219515,0.16057850731707315,0.6589762926829268,0.6581785463414634,0.5249051365853659,125.74353619512196
BG,0.013585160696377456,0.1695203928536176,0.7054686111933669,0.7663371730332643,0.6162551771789557,134.7511106998322
BO,0.004969494079492807,0.18685954157522555,0.7188304657400635,0.7135856201609364,0.6420442233601561,122.57552782248231
BR,0.005266204510654899,0.3519478812112937,0.6743875749743989,0.70751016725996,0.6387509338274736,126.12578407373091
BY,0.053034428758981386,0.20241186763771446,0.7004204995356567,0.6490974632191212,0.5431854684979716,122.4570158854294
CA,0.010447917365174914,0.16457372576108945,0.6313054226081808,0.6064109340306902,0.49761702768046573,126.27674875413234
CH,0.02711787603780086,0.1626310971107939,0.6602924152187823,0.6554686272579613,0.5057664517399222,124.70849899099277
CL,0.008527523233439256,0.16174884869225128,0.7589219261794182,0.6924910418626253,0.6361047030065998,110.2899744805671
CO,0.0016336271298855111,0.17495355803395182,0.7672956968022108,0.6932674694038689,0.6177630132254245,119.95168318199762
CR,0.004092889103407928,0.17560352493783823,0.7323902296328799,0.6775093501730779,0.5933713470820535,121.69570011213494
CZ,0.02725054817366291,0.17375602847252694,0.6831043830139926,0.6741758129784018,0.4820156403880844,129.62972639071717
DE,0.025700638586577642,0.16069164907457412,0.6957077421571997,0.6619978545829447,0.5337948009229712,126.2900753596151
DK,0.006803474849335303,0.17932347119645495,0.694137863121615,0.6630107927129493,0.564642373215165,124.67586203840472
DO,0.01319453974226553,0.1762916102314251,0.7490253057247259,0.6974206294762485,0.6068469330085261,124.42574021924482
EC,0.006755861953796031,0.1598590384045809,0.7683100503504788,0.6965159532480995,0.6149949205252246,119.11460430447231
EE,0.04555389857051691,0.18801336213244318,0.6623270826174463,0.6790838692258603,0.5048822247312356,128.0147342300329
EG,0.0067722221169128766,0.18423265564818878,0.7076937253181219,0.6967779727950856,0.6375288235580908,116.98344600458292
ES,0.0058804725521984765,0.17243900761483666,0.7325835421272414,0.7018181832768361,0.5752838663718988,118.89818398427906
FI,0.02472110929985373,0.16831094100438812,0.6857519746465138,0.6975595855680156,0.5963019405168211,126.94071038517797
FR,0.005772669052077239,0.1506425687536571,0.7060139457772576,0.6533013945777258,0.5768890237955919,122.46747888628828
GB,0.016900335652041285,0.173091519650211,0.625548228176318,0.6423520361990951,0.518849290762113,125.57601520158626
GR,0.013723735812817505,0.17525811352090662,0.7168909241891365,0.6835918767096522,0.5419974062133646,120.2896307639703
GT,0.0034909513267992976,0.16335308660035108,0.7419075970353033,0.7000048273844354,0.6537030622196216,123.61182192315194
HK,0.003010802077020819,0.14114382269572867,0.6166134297722607,0.6223285016127457,0.49079628091095695,132.11426141139674
HN,0.006669883490639626,0.17153806064742588,0.7488911222698907,0.698663068447738,0.6143954611934477,120.2642426872075
HU,0.021477574462535953,0.16299998050017062,0.7200400721493687,0.6746792278067567,0.5384190123336421,117.34757831618973
ID,0.029078322695796355,0.15027967911830684,0.5236945771969179,0.4999898078611138,0.3739777626060665,122.14620793913977
IE,0.015002708371372356,0.1662090900147565,0.607003448106247,0.6121904131824889,0.5005721298573537,125.1038819970487
IL,0.011150576077396659,0.1882212645363041,0.6084709273917718,0.5318561907553992,0.4613223248314277,123.88812650249193
IN,0.005178750326323065,0.14855470971563983,0.6349561611374408,0.5856152744865719,0.5267532089257504,107.57056383293839
IS,0.020922349160911603,0.1495894189029203,0.6813709056827151,0.4980728092936069,0.5204964882596685,120.61074496842936
IT,0.002324947330442409,0.17327639836289221,0.6857978951471448,0.6986567433248879,0.5203148752679789,118.92506246345741
JP,0.0021034133484538094,0.18384998536728123,0.6066718368939616,0.7772584625890157,0.6368974246414985,128.95264437615845
KR,0.021187163626056785,0.16383061134730978,0.6554142598836925,0.6851540536578214,0.5397336558666862,119.10132742022186
KZ,0.06610856298683569,0.16425274987810823,0.717747879083374,0.6079101560214529,0.5196192979034617,116.86338668941978
LT,0.041591152188868656,0.16111715466758528,0.7016738841592441,0.6439499532503322,0.5527764184833424,122.65712100782443
LU,0.028445152570635724,0.15712095862764885,0.6687060746720485,0.6533450161453078,0.5308861654894047,124.90211074672048
LV,0.036913831905442715,0.18805855353973575,0.6589240780911063,0.6444707799250641,0.4949877243147308,123.84919167817
MA,0.006062200496149289,0.1469830420616114,0.6840584024486572,0.6286764909162716,0.5592138872432859,120.94852818917852
MX,0.004815813923054361,0.16037459425107548,0.7391145385217051,0.7002638345717638,0.6894006061791161,125.09769065310911
MY,0.013694811276761764,0.15107936600829067,0.5978293099244086,0.5727305437698123,0.45102227749329427,122.62687817605463
NG,0.020405537240078393,0.16235636452719257,0.73453331700147,0.685744443900049,0.6241378343949044,115.79623816756491
NI,0.0053587902816764135,0.16597467348927875,0.7424792251461988,0.6813104220272904,0.6225277777777778,120.35644571150097
NL,0.017114882530964718,0.15877045645201085,0.676919911176906,0.6761783863804589,0.5576631680236861,125.97293185294843
NO,0.017856874962831684,0.1937945847486831,0.6389899079407276,0.6274971102249791,0.5254752572244376,122.6792065179934
