Rank,Album,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TW Sales,% CHG,LW Sales,RTD Sales,week_of
1,College Park,Logic, BMG DISTRIBUTION,BMG ,1,13,23,18,6577,999.0,510,14789,2023.06.22
2,MICHAEL,Killer Mike,LOMA VISTA,LVR,2,,,1,3718,,0,3718,2023.06.22
3,D-Day,Agust D (Suga Of Bts),INTERSCOPE/GEFFEN/A&M,INT,1,2,1,10,3387,-4.7,3555,197317,2023.06.22
4,Bohunk,Ghostluvme, INDEPENDENT LABEL SUBMISSION,INDI,4,,,1,1979,,0,1979,2023.06.22
5,No Thank You,Little Simz, AWAL,AWAL,5,,,1,1672,999.0,3,2416,2023.06.22
6,Heroes & Villains,Metro Boomin,REPUBLIC RECORDS,R-RR,1,3,5,29,1523,5.1,1449,45222,2023.06.22
7,Mr. Morale & The Big Steppers,Kendrick Lamar,INTERSCOPE/GEFFEN/A&M,INT,1,5,6,58,953,-2.6,978,251387,2023.06.22
8,Goodbye & Good Riddance,Juice WRLD,INTERSCOPE/GEFFEN/A&M,INT ,2,6,4,266,918,-0.8,925,197287,2023.06.22
9,A Gift & A Curse,Gunna,300 ENTERTAINME,300E,9,,,1,855,,0,855,2023.06.22
10,Metro Boomin Presents Spider-Man: Across The Spider-Verse (Soundtrack From And Inspired By The Motion Picture),Metro Boomin,REPUBLIC RECORDS,R-RR,2,4,2,3,745,-31.7,1091,5043,2023.06.22
11,Hope,NF,NF REAL MUSIC,NFRM,1,7,7,11,678,-17.0,817,99296,2023.06.22
12,Melt My Eyez See Your Future,Denzel Curry,LOMA VISTA,LVR,1,10,13,39,618,15.5,535,59932,2023.06.22
13,Hollywood's Bleeding,Post Malone,REPUBLIC RECORDS,R-RR,2,11,10,196,559,6.1,527,566409,2023.06.22
14,Aftërlyfe,Yeat,INTERSCOPE/GEFFEN/A&M,INT ,14,,,1,539,999.0,7,924,2023.06.22
15,Music By ShowTime,Showtime From Gmg, INDEPENDENT LABEL SUBMISSION,INDI,15,,,1,523,,0,523,2023.06.22
16,Luv 4 Rent,Smino,CAPITOL MUSIC GROUP,CAP ,2,12,11,20,515,0.6,512,8578,2023.06.22
17,"Sing Me A Lullaby, My Sweet Temptation",$uicideBoy$,G59 Records,G59,2,9,9,46,511,-19.9,638,25434,2023.06.22
18,Her Loss,"Drake, 21 Savage",OVO / REPUBLIC RECORDS,R-RR,1,14,17,33,428,6.5,402,31560,2023.06.22
19,$oul $old $eparately,Freddie Gibbs,WARNER RECORDS,WAR,1,1,90,35,360,-91.5,4252,16555,2023.06.22
20,Maps,Billy Woods,THE ORCHARD,ORCH,2,8,14,7,357,-46.2,663,7360,2023.06.22
21,The Forever Story,J.I.D,INTERSCOPE/GEFFEN/A&M,INT ,2,15,16,27,319,-16.7,383,30731,2023.06.22
22,NOW Hip-Hop Party,Various Artists,NOW,NOW,2,18,20,20,296,-3.6,307,12970,2023.06.22
23,Black Elvis 2,Kool Keith,MMGZ,MMGZ,23,,,1,284,,0,284,2023.06.22
24,Cheat Codes,Danger Mouse & Black Thought, BMG DISTRIBUTION,BMG,1,25,27,45,225,23.0,183,43640,2023.06.22
25,2000,Joey Bada$$,Columbia Records,COL ,4,17,19,11,217,-35.0,334,9810,2023.06.22
26,Panico,Vico C,THE ORCHARD,ORCH,26,,,1,205,,0,205,2023.06.22
27,I Never Liked You,Future,EPIC,EPIC,1,21,29,60,177,-16.1,211,31736,2023.06.22
28,Come Home The Kids Miss You,Jack Harlow,ATLANTIC GROUP,ATLG,1,27,28,59,156,-1.9,159,37534,2023.06.22
29,Cocodrillo Turbo,Action Bronson,LOMA VISTA,LVR,6,30,24,38,153,10.9,138,11843,2023.06.22
30,Snoop Cube 40 $hort,Mount Westmore,MNRK,MNRK,3,34,44,28,145,14.2,127,12248,2023.06.22
31,Hard To Love,Moneybagg Yo,INTERSCOPE/GEFFEN/A&M,INT ,3,20,3,3,135,-41.3,230,2669,2023.06.22
32,Glorious Game,"El Michels Affair, Black Thought",333 Company,INDI,3,28,29,10,134,-15.2,158,8331,2023.06.22
33,Rtj Cu4tro,Run The Jewels, BMG DISTRIBUTION,BMG ,3,53,49,25,131,52.3,86,5461,2023.06.22
34,Continuance,Curren$y, INDEPENDENT LABEL SUBMISSION,INDI,6,45,55,35,112,23.1,91,8412,2023.06.22
35,Beloved! Paradise! Jazz!?,McKinley Dixon,CITYSLANG,CING,35,70,53,3,111,136.2,47,236,2023.06.22
36,FAST X (Original Motion Picture Soundtrack),Fast & Furious: The Fast Saga,"ARTIST PARTNER GROUP, INC",ATP,8,23,25,5,110,-41.5,188,1643,2023.06.22
37,Lyfë,Yeat,INTERSCOPE/GEFFEN/A&M,INT ,4,32,37,16,108,-16.9,130,3751,2023.06.22
38,Check The Volume,Eldorodo Regg, INDEPENDENT LABEL SUBMISSION,INDI,5,,,1,104,,0,4506,2023.06.22
39,Almost Healed,Lil Durk,Alamo Records,ALAM,2,33,22,4,102,-20.9,129,2631,2023.06.22
40,So Many Other Realities Exist Simultaneously,Atmosphere,Rhymesayers,RHMS,3,35,31,7,100,-16.7,120,4404,2023.06.22
40,My Turn,Lil Baby,"QUALITY CONTROL MUSIC, LLC",QCM,8,47,40,171,100,13.6,88,70374,2023.06.22
42,Sremm 4 Life,Rae Sremmurd,INTERSCOPE/GEFFEN/A&M,INT ,2,84,,7,97,185.3,34,8747,2023.06.22
43,2 Alive,Yeat,INTERSCOPE/GEFFEN/A&M,INT ,7,37,59,37,95,-20.2,119,8006,2023.06.22
44,Surf Or Drown 2,"Hit-Boy, Big Hit", INDEPENDENT LABEL SUBMISSION,INDI,44,,,1,94,,0,94,2023.06.22
45,It's Only Me,Lil Baby,MOTOWN/QUALITY CONTROL,QCM,1,50,49,36,93,6.9,87,13639,2023.06.22
46,Tana Talk 4,Benny The Butcher,Griselda Records,GSLD,1,26,26,19,91,-45.2,166,13398,2023.06.22
47,Vinyl Days,Logic,DEF JAM,DEFJ,1,35,60,53,90,-25.0,120,24836,2023.06.22
48,What It Means To Be King,King Von, INDEPENDENT LABEL SUBMISSION,INDI,2,88,42,13,89,187.1,31,6015,2023.06.22
49,Spaceships On The Blade,Larry June,Empire,EMPR,3,22,46,19,87,-54.7,192,7565,2023.06.22
50,See Ya,Wiz Khalifa,,,42,42,,2,84,-10.6,94,178,2023.06.22
51,Made You Look: God's Son Live 2002,Nas,Columbia Records,COL,3,50,51,9,83,-4.6,87,3359,2023.06.22
52,X,Ken Carson,INTERSCOPE/GEFFEN/A&M,INT ,6,74,62,36,81,80.0,45,5609,2023.06.22
53,Curtain 2,Eminem,INTERSCOPE/GEFFEN/A&M,INT ,3,60,44,33,77,24.2,62,18558,2023.06.22
54,Ben,Macklemore,BENDO LLC,BN3 ,1,39,61,16,75,-33.0,112,19962,2023.06.22
55,It's Almost Dry,Pusha T,DEF JAM RECORDINGS,DEF ,1,55,55,61,74,-3.9,77,38451,2023.06.22
55,No Stylist,Destroy Lonely,INTERSCOPE/GEFFEN/A&M,INT,2,59,66,24,74,15.6,64,6518,2023.06.22
57,Super Bigot,Bryson Gray,,,57,,,1,73,,0,73,2023.06.22
58,"Sav It Out Mobb, Vol. 6",Big Tone,,,58,,,1,72,,0,72,2023.06.22
59,Gothic Luxury,Meechy Darko,LOMA VISTA,LVR ,9,65,73,4,70,27.3,55,7609,2023.06.22
59,Ramona Park Broke My Heart,Vince Staples,MOTOWN,MOT ,2,62,76,58,70,18.6,59,16453,2023.06.22
61,Marvelous,Yung Gravy,REPUBLIC RECORDS,R-RR,10,,,1,69,527.3,11,4000,2023.06.22
61,Naujour,TOOSII,CAPITOL RECORDS,CAP,12,42,12,3,69,-26.6,94,686,2023.06.22
61,Curtain Call 2,Eminem,INTERSCOPE/GEFFEN/A&M,INT ,1,50,35,46,69,-20.7,87,48940,2023.06.22
64,Jackman.,Jack Harlow,ATLANTIC GROUP,ATLG,3,29,47,8,67,-55.3,150,2724,2023.06.22
65,Ds4ever,Gunna,300 ENTERTAINME,300E,1,65,72,70,66,20.0,55,14920,2023.06.22
65,The Diamond Collection,Post Malone,REPUBLIC RECORDS,R-RR,24,63,43,9,66,13.8,58,1025,2023.06.22
67,Gospel In The Ghetto,Price,,,67,,,1,64,,0,64,2023.06.22
67,Flawless Like Me,Lucki,Empire,EMPR,16,79,84,10,64,60.0,40,1736,2023.06.22
69,Horse,Prof, INDEPENDENT LABEL SUBMISSION,INDI,1,38,40,10,57,-50.4,115,10102,2023.06.22
70,I Know Nigo  (Ex),Nigo,REPUBLIC RECORDS,R-RR,1,45,55,29,56,-38.5,91,25353,2023.06.22
71,The Great Escape,Larry June & The Alchemist,Empire,EMPR,2,56,32,12,53,-30.3,76,4242,2023.06.22
72,AMAR,BigXthaPlug, INDEPENDENT LABEL SUBMISSION,INDI,12,70,73,10,52,10.6,47,1345,2023.06.22
73,Jack In The Box,J-hope,BIG HIT,INT,1,79,,2,50,25.0,40,23545,2023.06.22
73,The Drive In Theater Part 2,Curren$y,,,37,47,,2,50,-43.2,88,673,2023.06.22
75,Ghost,Hb The Engineer,,,75,,,1,49,,0,49,2023.06.22
76,Magic,Nas,MASS APPEAL RECORDS,MSAP,2,61,80,49,47,-21.7,60,25639,2023.06.22
77,More About Nothing,Wale, INDEPENDENT LABEL SUBMISSION,INDI,27,,,21,42,133.3,18,2139,2023.06.22
77,Resurrection,DKG Kie,,,77,,,1,42,,0,42,2023.06.22
79,Ghetto Gods,EarthGang,INTERSCOPE/GEFFEN/A&M,INT,14,,,2,41,192.9,14,3658,2023.06.22
79,"Chicago (A Side, B Side)",Legendary Traxster,,,79,,,1,41,,0,41,2023.06.22
81,The End.,Trip Lee,REACH RECORDS,RCAH,12,,,1,40,263.6,11,1426,2023.06.22
81,Round Trip,Statik Selektah,MASS APPEAL RECORDS,MSAP,24,24,,2,40,-78.4,185,225,2023.06.22
83,Nothing’s Ever Good (EP)/I’m Gone,Iann Dior,"TENTHOUSAND PROJECTS, LLC",10K,27,,,1,39,290.0,10,659,2023.06.22
83,God Did,DJ Khaled,EPIC,EPIC,2,,,1,39,69.6,23,15850,2023.06.22
85,Leap,Rav, INDEPENDENT LABEL SUBMISSION,INDI,7,92,,5,38,40.7,27,1263,2023.06.22
86,Geezyworld 2,Ohgeesy,ATLANTIC GROUP,ATLG,10,,,1,35,105.9,17,1063,2023.06.22
86,Spin The Globe,Connor Price, INDEPENDENT LABEL SUBMISSION,INDI,41,88,84,5,35,12.9,31,898,2023.06.22
88,The Last Slimeto,YoungBoy Never Broke Again,ATLANTIC GROUP,ATLG,3,78,70,5,33,-21.4,42,5724,2023.06.22
88,Pioneer,Upchurch, INDEPENDENT LABEL SUBMISSION,INDI,2,82,80,15,33,-13.2,38,3784,2023.06.22
90,Good Movie,Pi'erre Bourne,INTERSCOPE/GEFFEN/A&M,INT ,24,,,4,32,700.0,4,516,2023.06.22
90,Queen Radio: Volume 1,Nicki Minaj,REPUBLIC RECORDS,R-RR,5,70,92,29,32,-31.9,47,11442,2023.06.22
92,Las Ruinas,Rico Nasty,ARTIST PARTNER GROUP,APG1,15,67,62,4,31,-42.6,54,916,2023.06.22
93,Thy Kingdom Come,King Tee,GGRN,GGRN,93,,,1,29,70.6,17,119,2023.06.22
93,Only Built For Infinity Links,Quavo & Takeoff,"QUALITY CONTROL MUSIC, LLC",QCM,5,76,,16,29,-32.6,43,6232,2023.06.22
93,Czarmageddon,Czarface,TRAFFIC ENTERTAINMENT GRP,TCEG,2,,64,57,29,314.3,7,18025,2023.06.22
93,Hood Hottest Princess,Sexyy Red, INDEPENDENT LABEL SUBMISSION,INDI,16,16,,2,29,-92.4,380,409,2023.06.22
93,The Brave,Tom Macdonald & Adam Calhoun, INDEPENDENT LABEL SUBMISSION,INDI,1,,84,66,29,31.8,22,26485,2023.06.22
98,King's Disease Iii,Nas,MASS APPEAL RECORDS,MSAP,1,,,1,28,55.6,18,13815,2023.06.22
98,"Yo! Boombox - Early Independent Hip Hop, Electro And Disco Rap 1979-83",Soul Jazz Records Presents,SOCIALDISEASERECORDS,SODS,38,41,38,3,28,-71.4,98,234,2023.06.22
100,Blood On Da X,Onyx,CITY LIGHTS PIC,CLP ,52,,,3,27,,0,188,2023.06.22
1,Business Is Business,Young Thug,300 ENTERTAINME,300E,1,,,1,8527,,0,8527,2023.06.29
2,D-Day,Agust D (Suga Of Bts),INTERSCOPE/GEFFEN/A&M,INT,1,3,2,11,2683,-20.8,3387,200000,2023.06.29
3,Like..?,Ice Spice,"TENTHOUSAND PROJECTS, LLC",10K,3,100,92,20,1496,999.0,25,3170,2023.06.29
4,Coi,Coi Leray,UPTOWN / REPUBLIC RECORDS,R-RR,4,,,1,1350,,0,1350,2023.06.29
5,Heroes & Villains,Metro Boomin,REPUBLIC RECORDS,R-RR,1,6,3,30,1339,-12.1,1524,46561,2023.06.29
6,College Park,Logic, BMG DISTRIBUTION,BMG ,1,1,13,19,1209,-81.6,6577,15998,2023.06.29
7,MICHAEL,Killer Mike,LOMA VISTA,LVR,2,2,,2,973,-73.8,3718,4691,2023.06.29
8,Goodbye & Good Riddance,Juice WRLD,INTERSCOPE/GEFFEN/A&M,INT ,2,8,6,267,931,1.4,918,198218,2023.06.29
9,Mr. Morale & The Big Steppers,Kendrick Lamar,INTERSCOPE/GEFFEN/A&M,INT,1,7,5,59,897,-5.9,953,252284,2023.06.29
10,No Thank You,Little Simz, AWAL,AWAL,5,5,,2,678,-59.4,1672,3094,2023.06.29
11,Bohunk,Ghostluvme, INDEPENDENT LABEL SUBMISSION,INDI,4,4,,2,630,-68.2,1982,2612,2023.06.29
12,Hope,NF,NF REAL MUSIC,NFRM,1,11,7,12,590,-13.0,678,99886,2023.06.29
13,No Fear Of Time,Black Star, INDEPENDENT LABEL SUBMISSION,INDI,13,,,1,539,,0,539,2023.06.29
14,Hollywood's Bleeding,Post Malone,REPUBLIC RECORDS,R-RR,2,13,11,197,537,-3.9,559,566946,2023.06.29
15,Metro Boomin Presents Spider-Man: Across The Spider-Verse (Soundtrack From And Inspired By The Motion Picture),Metro Boomin,REPUBLIC RECORDS,R-RR,2,10,4,4,515,-30.9,745,5558,2023.06.29
16,Melt My Eyez See Your Future,Denzel Curry,LOMA VISTA,LVR,1,12,10,40,512,-17.2,618,60444,2023.06.29
17,"Sing Me A Lullaby, My Sweet Temptation",$uicideBoy$,G59 Records,G59,2,17,9,47,490,-4.1,511,25924,2023.06.29
18,2000,Joey Bada$$,Columbia Records,COL ,4,25,17,12,362,66.8,217,10172,2023.06.29
19,Her Loss,"Drake, 21 Savage",OVO / REPUBLIC RECORDS,R-RR,1,18,14,34,348,-18.7,428,31908,2023.06.29
20,A Gift & A Curse,Gunna,300 ENTERTAINME,300E,9,9,,2,317,-62.9,855,1172,2023.06.29
21,Luv 4 Rent,Smino,CAPITOL MUSIC GROUP,CAP ,2,16,12,21,286,-44.5,515,8864,2023.06.29
22,The Forever Story,J.I.D,INTERSCOPE/GEFFEN/A&M,INT ,2,21,15,28,280,-12.2,319,31011,2023.06.29
23,Bin Reaper 3: New Testament,BabyTron,Empire,EMPR,7,,,1,259,999.0,2,1353,2023.06.29
24,$oul $old $eparately,Freddie Gibbs,WARNER RECORDS,WAR,1,19,1,36,237,-34.2,360,16792,2023.06.29
25,NOW Hip-Hop Party,Various Artists,NOW,NOW,2,22,18,21,235,-20.6,296,13205,2023.06.29
26,Freddie's Inferno,Freddie Dredd, RCA,RCA ,26,,,1,218,999.0,1,545,2023.06.29
27,Glockoma 2,Key Glock,PAPER ROUTE EMPIRE,PPRE,3,,,7,188,999.0,13,2199,2023.06.29
28,Glorious Game,"El Michels Affair, Black Thought",333 Company,INDI,3,32,28,11,180,34.3,134,8511,2023.06.29
29,Aftërlyfe,Yeat,INTERSCOPE/GEFFEN/A&M,INT ,14,14,,2,153,-71.6,539,1077,2023.06.29
30,Come Home The Kids Miss You,Jack Harlow,ATLANTIC GROUP,ATLG,1,28,27,60,151,-3.2,156,37685,2023.06.29
31,Cheat Codes,Danger Mouse & Black Thought, BMG DISTRIBUTION,BMG,1,24,25,46,145,-35.6,225,43785,2023.06.29
32,I Never Liked You,Future,EPIC,EPIC,1,27,21,61,139,-21.5,177,31875,2023.06.29
33,Maps,Billy Woods,THE ORCHARD,ORCH,2,20,8,8,138,-61.3,357,7498,2023.06.29
34,Central City,Big Freedia,,,34,,,1,120,,0,120,2023.06.29
35,Cocodrillo Turbo,Action Bronson,LOMA VISTA,LVR,6,29,30,39,116,-24.2,153,11959,2023.06.29
35,Curtain Call 2,Eminem,INTERSCOPE/GEFFEN/A&M,INT ,1,61,50,47,116,68.1,69,49056,2023.06.29
37,X,Ken Carson,INTERSCOPE/GEFFEN/A&M,INT ,6,52,74,37,115,42.0,81,5724,2023.06.29
38,Till Next Time,Nic D & Connor Price,,,38,,,1,112,,0,112,2023.06.29
39,Beloved! Paradise! Jazz!?,McKinley Dixon,CITYSLANG,CING,35,35,70,4,111,0.0,111,347,2023.06.29
39,Snoop Cube 40 $hort,Mount Westmore,MNRK,MNRK,3,30,34,29,111,-23.4,145,12359,2023.06.29
41,What It Means To Be King,King Von, INDEPENDENT LABEL SUBMISSION,INDI,2,48,88,14,102,14.6,89,6117,2023.06.29
42,The Great Escape,Larry June & The Alchemist,Empire,EMPR,2,71,56,13,98,84.9,53,4340,2023.06.29
42,My Turn,Lil Baby,"QUALITY CONTROL MUSIC, LLC",QCM,8,40,47,172,98,-2.0,100,70472,2023.06.29
44,Ds4ever,Gunna,300 ENTERTAINME,300E,1,65,65,71,96,45.5,66,15016,2023.06.29
45,Spaceships On The Blade,Larry June,Empire,EMPR,3,49,22,20,95,9.2,87,7660,2023.06.29
45,Black Elvis 2,Kool Keith,MMGZ,MMGZ,23,23,,2,95,-66.5,284,379,2023.06.29
47,Continuance,Curren$y, INDEPENDENT LABEL SUBMISSION,INDI,6,34,45,36,94,-16.1,112,8506,2023.06.29
47,Vinyl Days,Logic,DEF JAM,DEFJ,1,47,35,54,94,4.4,90,24930,2023.06.29
49,"Top 2, Not 2",Kenzo B,,,49,,,1,92,,0,92,2023.06.29
50,Ramona Park Broke My Heart,Vince Staples,MOTOWN,MOT ,2,59,62,59,90,28.6,70,16543,2023.06.29
51,Ben,Macklemore,BENDO LLC,BN3 ,1,54,39,17,85,13.3,75,20047,2023.06.29
51,Tana Talk 4,Benny The Butcher,Griselda Records,GSLD,1,46,26,20,85,-6.6,91,13483,2023.06.29
51,Almost Healed,Lil Durk,Alamo Records,ALAM,2,39,33,5,85,-16.7,102,2716,2023.06.29
51,I Love Stocker,"Teeflii, Dom Kennedy",,,51,,,1,85,,0,85,2023.06.29
55,It's Only Me,Lil Baby,MOTOWN/QUALITY CONTROL,QCM,1,45,50,37,81,-12.9,93,13720,2023.06.29
56,Hard To Love,Moneybagg Yo,INTERSCOPE/GEFFEN/A&M,INT ,3,31,20,4,76,-43.7,135,2745,2023.06.29
57,The Last Slimeto,YoungBoy Never Broke Again,ATLANTIC GROUP,ATLG,3,87,78,6,75,127.3,33,5799,2023.06.29
58,Lyfë,Yeat,INTERSCOPE/GEFFEN/A&M,INT ,4,37,32,17,73,-32.4,108,3824,2023.06.29
59,FAST X (Original Motion Picture Soundtrack),Fast & Furious: The Fast Saga,"ARTIST PARTNER GROUP, INC",ATP,8,36,23,6,72,-34.5,110,1715,2023.06.29
60,So Many Other Realities Exist Simultaneously,Atmosphere,Rhymesayers,RHMS,3,40,35,8,69,-31.0,100,4473,2023.06.29
61,Bigger In Texas,Le$,,,61,,,1,68,,0,68,2023.06.29
62,The Drive In Theater Part 2,Curren$y,,,37,73,47,3,64,-1.5,65,804,2023.06.29
62,Curtain 2,Eminem,INTERSCOPE/GEFFEN/A&M,INT ,3,53,60,34,64,-16.9,77,18622,2023.06.29
64,Made You Look: God's Son Live 2002,Nas,Columbia Records,COL,3,51,50,10,61,-26.5,83,3420,2023.06.29
65,I Know Nigo  (Ex),Nigo,REPUBLIC RECORDS,R-RR,1,70,45,30,60,7.1,56,25413,2023.06.29
66,Rtj Cu4tro,Run The Jewels, BMG DISTRIBUTION,BMG ,3,33,53,26,58,-55.7,131,5519,2023.06.29
67,It's Almost Dry,Pusha T,DEF JAM RECORDINGS,DEF ,1,55,55,62,57,-23.0,74,38508,2023.06.29
67,Jack In The Box,J-hope,BIG HIT,INT,1,73,79,3,57,14.0,50,23602,2023.06.29
69,Sremm 4 Life,Rae Sremmurd,INTERSCOPE/GEFFEN/A&M,INT ,2,42,84,8,56,-42.3,97,8803,2023.06.29
70,Target Practice,Demun Jones,,,46,,,10,51,999.0,1,1017,2023.06.29
70,Naujour,TOOSII,CAPITOL RECORDS,CAP,12,61,42,4,51,-26.1,69,737,2023.06.29
72,Horse,Prof, INDEPENDENT LABEL SUBMISSION,INDI,1,69,38,11,50,-12.3,57,10152,2023.06.29
72,2 Alive,Yeat,INTERSCOPE/GEFFEN/A&M,INT ,7,43,37,38,50,-47.4,95,8056,2023.06.29
72,Component System With The Auto Reverse,Open Mike Eagle,THE ORCHARD,ORCH,22,,,1,50,163.2,19,1645,2023.06.29
72,Queen Radio: Volume 1,Nicki Minaj,REPUBLIC RECORDS,R-RR,5,89,70,30,50,56.2,32,11492,2023.06.29
72,Terraform: The Possibility,Propaganda,,,72,,,1,50,,0,50,2023.06.29
77,Drill Music In Zion,Lupe Fiasco,RED INK,RDIK,5,,,1,48,585.7,7,9617,2023.06.29
77,No Stylist,Destroy Lonely,INTERSCOPE/GEFFEN/A&M,INT,2,55,59,25,48,-35.1,74,6566,2023.06.29
79,Family First,Demun Jones,,,42,,,4,47,999.0,1,1214,2023.06.29
80,Jackman.,Jack Harlow,ATLANTIC GROUP,ATLG,3,64,29,9,44,-34.3,67,2768,2023.06.29
81,Super Bigot,Bryson Gray,,,57,57,,2,43,-41.1,73,116,2023.06.29
82,From The Cradle To The Game,Heem B$f & Black Soprano Family,,,41,,,1,42,950.0,4,169,2023.06.29
83,Leap,Rav, INDEPENDENT LABEL SUBMISSION,INDI,7,84,92,6,41,7.9,38,1304,2023.06.29
83,Ganger,Veeze, INDEPENDENT LABEL SUBMISSION,INDI,83,,,1,41,,0,41,2023.06.29
85,From A Birds Eye View,Cordae,ATLANTIC GROUP,ATLG,2,,92,14,40,81.8,22,4415,2023.06.29
85,Flawless Like Me,Lucki,Empire,EMPR,16,67,79,11,40,-37.5,64,1776,2023.06.29
85,Trendsetter,Coi Leray,REPUBLIC RECORDS,R-RR,27,,,1,40,166.7,15,1576,2023.06.29
88,First Day Back,Boosie Badazz,,,88,,,1,39,,0,39,2023.06.29
89,Las Ruinas,Rico Nasty,ARTIST PARTNER GROUP,APG1,15,91,67,5,37,19.4,31,953,2023.06.29
90,If Looks Could Kill,Destroy Lonely,INTERSCOPE/GEFFEN/A&M,INT ,4,,,6,36,260.0,10,2496,2023.06.29
91,King's Disease Iii,Nas,MASS APPEAL RECORDS,MSAP,1,97,,2,35,25.0,28,13850,2023.06.29
92,"Farewell, My Friend.",Thes One,PIECELOCK 70,PI70,64,,,1,33,999.0,3,287,2023.06.29
92,AMAR,BigXthaPlug, INDEPENDENT LABEL SUBMISSION,INDI,12,72,70,11,33,-36.5,52,1378,2023.06.29
94,Deathfame,Quelle Chris,MELLOMUSICGROUP,MEUP,63,,,1,32,100.0,16,427,2023.06.29
95,Only Built For Infinity Links,Quavo & Takeoff,"QUALITY CONTROL MUSIC, LLC",QCM,5,92,76,17,31,6.9,29,6263,2023.06.29
96,Pioneer,Upchurch, INDEPENDENT LABEL SUBMISSION,INDI,2,87,82,16,30,-9.1,33,3814,2023.06.29
96,This Must Be The Place,Apollo Brown,MMGZ,MMGZ,37,,,1,30,25.0,24,771,2023.06.29
98,Marvelous,Yung Gravy,REPUBLIC RECORDS,R-RR,10,61,,2,28,-59.4,69,4028,2023.06.29
99,Spin The Globe,Connor Price, INDEPENDENT LABEL SUBMISSION,INDI,41,85,88,6,27,-22.9,35,925,2023.06.29
99,Timing Means Everything - Ep,"Too Many Egos, Mike Bell Tme, Lj, Chas3 Morgan",,,99,,,1,27,,0,27,2023.06.29
1,Pink Tape,Lil Uzi Vert,ATLANTIC GROUP,ATLG,1,,,1,11447,,0,11447,2023.07.06
2,D-Day,Agust D (Suga Of Bts),INTERSCOPE/GEFFEN/A&M,INT,1,2,3,12,2505,-6.6,2683,202505,2023.07.06
3,King's Disease Iii,Nas,MASS APPEAL RECORDS,MSAP,1,91,97,3,1461,999.0,35,15311,2023.07.06
4,Heroes & Villains,Metro Boomin,REPUBLIC RECORDS,R-RR,1,5,6,31,1142,-14.7,1339,47703,2023.07.06
5,Mr. Morale & The Big Steppers,Kendrick Lamar,INTERSCOPE/GEFFEN/A&M,INT,1,9,7,60,1045,16.5,897,253329,2023.07.06
6,Business Is Business,Young Thug,300 ENTERTAINME,300E,1,1,,2,1017,-88.1,8527,9544,2023.07.06
7,Goodbye & Good Riddance,Juice WRLD,INTERSCOPE/GEFFEN/A&M,INT ,2,8,8,268,819,-12.0,931,199037,2023.07.06
8,No Thank You,Little Simz, AWAL,AWAL,5,10,5,3,599,-11.7,678,3693,2023.07.06
9,Melt My Eyez See Your Future,Denzel Curry,LOMA VISTA,LVR,1,16,12,41,586,14.5,512,61030,2023.07.06
10,Hope,NF,NF REAL MUSIC,NFRM,1,12,11,13,579,-1.9,590,100465,2023.07.06
11,MICHAEL,Killer Mike,LOMA VISTA,LVR,2,7,2,3,566,-41.8,973,5257,2023.07.06
12,Hollywood's Bleeding,Post Malone,REPUBLIC RECORDS,R-RR,2,14,13,198,553,3.0,537,567499,2023.07.06
13,No Fear Of Time,Black Star, INDEPENDENT LABEL SUBMISSION,INDI,13,13,,2,519,-3.7,539,1058,2023.07.06
14,"Sing Me A Lullaby, My Sweet Temptation",$uicideBoy$,G59 Records,G59,2,17,17,48,436,-11.0,490,26360,2023.07.06
15,Her Loss,"Drake, 21 Savage",OVO / REPUBLIC RECORDS,R-RR,1,19,18,35,431,23.9,348,32339,2023.07.06
16,The Forever Story,J.I.D,INTERSCOPE/GEFFEN/A&M,INT ,2,22,21,29,423,51.1,280,31434,2023.07.06
17,Metro Boomin Presents Spider-Man: Across The Spider-Verse (Soundtrack From And Inspired By The Motion Picture),Metro Boomin,REPUBLIC RECORDS,R-RR,2,15,10,5,396,-23.1,515,5954,2023.07.06
18,Boy Anonymous ( D2c Exclusive),Paris Texas,Orchard,ORCH,18,,,1,392,,0,394,2023.07.06
19,Luv 4 Rent,Smino,CAPITOL MUSIC GROUP,CAP ,2,21,16,22,391,36.7,286,9255,2023.07.06
20,2000,Joey Bada$$,Columbia Records,COL ,4,18,25,13,371,2.5,362,10543,2023.07.06
21,Like..?,Ice Spice,"TENTHOUSAND PROJECTS, LLC",10K,3,3,100,21,348,-76.7,1496,3518,2023.07.06
22,Vices,Curren$y & Harry Fraud,THE ORCHARD,ORCH,22,,,1,329,,0,329,2023.07.06
23,Flying High,Alchemist, EMPIRE DISTRIBUTION,EMPI,23,,,1,240,,0,240,2023.07.06
24,Cocodrillo Turbo,Action Bronson,LOMA VISTA,LVR,6,35,29,40,235,102.6,116,12194,2023.07.06
25,College Park,Logic, BMG DISTRIBUTION,BMG ,1,6,1,20,234,-80.6,1209,16232,2023.07.06
26,Come Home The Kids Miss You,Jack Harlow,ATLANTIC GROUP,ATLG,1,30,28,61,230,52.3,151,37915,2023.07.06
27,NOW Hip-Hop Party,Various Artists,NOW,NOW,2,25,22,22,226,-3.8,235,13431,2023.07.06
28,Coi,Coi Leray,UPTOWN / REPUBLIC RECORDS,R-RR,4,4,,2,220,-83.7,1350,1570,2023.07.06
