US_Chart - R&B/Hip-Hop On-Demand Overall Streaming (weekly),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,week_of
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2024.10.31
174,Needed Me,Rihanna,ROC NATION,R0CN,2,154,167,160,3213595,-3.7,3335384,3040193,173402,146803044,1629063874,2024.10.31
175,Wants And Needs,Drake Feat. Lil Baby,REPUBLIC RECORDS,R-RR,2,176,190,166,3206219,-0.2,3214124,3176702,29517,129941813,1082808502,2024.10.31
176,Let Me Love You,Mario, RCA,RCA,136,174,182,57,3205710,-0.3,3215630,2794287,411423,131868861,1161544233,2024.10.31
177,Martin & Gina,Polo G,SONY/COLUMBIA,COL,23,191,0,203,3194955,2.6,3113403,3046775,148180,128420484,1052095732,2024.10.31
178,No Flockin,Kodak Black,ATLANTIC GROUP,ATLG,45,185,0,207,3194227,1.7,3140191,2876135,318092,169001998,1262033729,2024.10.31
179,Never Mind,Rod Wave,ALAMO,ALAM,17,65,17,3,3174153,-26.9,4343720,2912290,261863,15831461,15831461,2024.10.31
180,Wet Dreamz,J. Cole,INTERSCOPE/GEFFEN/A&M,INT ,48,175,161,225,3173569,-1.3,3215540,3075952,97617,151996227,1365850958,2024.10.31
181,CARNIVAL,Kanye West Feat. Ty Dolla $ign,Vydia,VYD,1,153,151,37,3166402,-5.3,3344179,2959883,206519,409250892,409251175,2024.10.31
182,Lucid Dreams (Forget Me),Juice WRLD,INTERSCOPE/GEFFEN/A&M,INT ,1,180,171,332,3161309,-1.4,3207036,2710073,451236,153016870,3017299405,2024.10.31
183,All My Life,Lil Durk Feat. J. Cole,Alamo Records,ALAM,1,0,0,73,3151443,15.0,2741177,2637303,514140,168084322,587306379,2024.10.31
184,Xo Tour Llif3,Lil Uzi Vert,ATLANTIC GROUP,ATLG,1,195,200,361,3139724,2.1,3075889,2938665,201059,141806967,2498783805,2024.10.31
185,family ties,Baby Keem & Kendrick Lamar,SONY/COLUMBIA,COL,6,169,164,158,3138152,-2.9,3232345,2965254,172898,153045932,798970479,2024.10.31
186,Roc Steady (Feat. Flo Milli),Megan Thee Stallion,INDEPENDENT LABEL SUBMISSION,INDI,186,,,1,3136627,873612.3,359,2979904,156723,3136986,3136986,2024.10.31
187,Lost The Love,Bigxthaplug,,,93,96,93,3,3128030,-20.5,3932719,2926670,201360,11128610,11128610,2024.10.31
188,Right My Wrongs,Bryson Tiller, RCA,RCA,70,182,177,55,3113728,-2.3,3187316,2697306,416422,117732113,758142627,2024.10.31
189,Runaway,Kanye West Feat. Pusha T,DEF JAM RECORDINGS,DEF ,5,163,170,48,3109582,-5.5,3290697,2785712,323870,181749899,782163368,2024.10.31
190,Pride.,Kendrick Lamar,INTERSCOPE/GEFFEN/A&M,INT ,14,177,174,49,3106166,-3.3,3211580,2855322,250844,149239874,632693551,2024.10.31
191,Best Time,Brent Faiyaz,,,102,183,0,5,3099557,-1.5,3146174,3084830,14727,113761523,130760323,2024.10.31
192,Love,Keyshia Cole,A&M RECORDS,AAM ,43,165,173,62,3082370,-5.3,3255772,2646382,435988,174406332,683267404,2024.10.31
193,GOLD DIGGER,Kanye West,DEF JAM RECORDINGS,DEF ,112,168,166,84,3076240,-5.4,3251629,2902681,173559,146018647,1072290067,2024.10.31
194,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",REPUBLIC RECORDS,R-RR,2,187,175,100,3058097,-2.4,3132369,2848913,209184,206567119,963311351,2024.10.31
195,Can't Tell Me Nothing,Kanye West,DEF JAM RECORDINGS,DEF ,56,193,0,6,3046569,-1.2,3082954,2824544,222025,120130542,670603224,2024.10.31
196,I Know ?,Travis Scott,Cactus Jack/EPIC,EPIC,5,189,186,66,3044182,-2.5,3121373,2897836,146346,220657753,435819456,2024.10.31
197,No Hands,Waka Flocka Flame Feat. Roscoe,ATLANTIC GROUP,ATLG,58,0,0,146,3037642,3.0,2949356,2882934,154708,139315427,1218493378,2024.10.31
198,Ain'T No Mountain High Enough,Marvin Gaye & Tammi Terrell,MOTOWN,MOT ,80,179,176,69,3022703,-5.8,3209993,2919690,103013,143283237,1026050851,2024.10.31
199,Low Life,Future Feat. The Weeknd,EPIC,EPIC,3,0,0,177,3020372,6.3,2841494,2605538,414834,150527133,1615618119,2024.10.31
200,Infrunami,Steve Lacy,,,130,196,0,29,3017302,-0.9,3043330,2932301,85001,111047214,350153970,2024.10.31
Copyright (c) 2024 Luminate Data LLC. Confidential and Proprietary.,,,,,,,,,,,,,,,,2024.10.31
