US_Chart - R&B/Hip-Hop On-Demand Overall Streaming (weekly),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,week_of
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2024.10.31
60,Thinking About You,Frank Ocean,DEF JAM RECORDINGS,DEF ,32,52,67,58,4823739,-0.1,4829841,4539603,284136,215643620,981463443,2024.10.31
61,No Role Modelz,J. Cole,INTERSCOPE/GEFFEN/A&M,INT ,13,45,59,402,4811900,-3.8,5003127,4596820,215080,252584399,2329797846,2024.10.31
62,Last Lap,Rod Wave,ALAMO,ALAM,6,25,6,3,4802239,-21.8,6143251,4151977,650262,22437687,22437687,2024.10.31
63,Freestyle,Lil Baby,QUALITY CONTROL MUSIC (CAROLINE),QLC ,14,53,69,244,4785308,1.0,4739006,4297834,487474,236958709,1686305593,2024.10.31
64,Fall Fast In Love,Rod Wave,ALAMO,ALAM,11,26,11,5,4776261,-21.3,6067548,3479370,1296891,32216866,32216866,2024.10.31
65,Thick of It,KSI,10K Projects,10KP,4,7,4,3,4768718,-50.8,9695773,4685766,82952,36190613,36190613,2024.10.31
66,Tore Up,Don Toliver,ATLANTIC GROUP,ATLG,28,56,76,11,4750788,2.5,4634727,4429921,320867,65944919,65944919,2024.10.31
67,Lil Demon,Future,EPIC,EPIC,3,42,44,6,4730786,-10.5,5283221,4531549,199237,44333691,44333691,2024.10.31
68,Shut Up My Moms Calling,Hotel Ugly, INDEPENDENT LABEL SUBMISSION,INDI,27,46,66,108,4703828,-5.7,4988924,4555545,148283,221127388,619579976,2024.10.31
69,Federal Nightmares,Rod Wave,ALAMO,ALAM,9,32,9,3,4679114,-19.4,5807127,4098994,580120,19995566,19995566,2024.10.31
70,Billie Jean,Michael Jackson,EPIC,EPIC,27,76,86,418,4596011,9.5,4198511,3684404,911607,178598839,1684588907,2024.10.31
71,WHITE FERRARI,Frank Ocean, INDEPENDENT LABEL SUBMISSION,INDI,59,59,88,21,4572334,1.3,4512973,4403882,168452,134842839,479207680,2024.10.31
72,Yeah!,Usher, RCA,RCA,8,57,73,252,4566139,1.1,4516326,4050453,515686,231580547,1532438788,2024.10.31
73,Shake Dat Ass (Twerk Song),Bossman Dlow,Alamo Records,ALAM,34,55,63,18,4540601,-2.8,4671726,3208689,1331912,87353118,87601533,2024.10.31
74,New Magic Wand,"Tyler, The Creator",Columbia Records,COL ,23,119,0,57,4498468,24.7,3608435,4274045,224423,102319058,549323325,2024.10.31
75,The Largest,Bigxthaplug,,,51,51,68,3,4473574,-7.5,4838167,4050875,422699,33968339,33968339,2024.10.31
76,Best Interest,"Tyler, The Creator",SONY/COLUMBIA,COL,76,124,0,3,4444922,24.2,3578185,4380507,64415,111208344,370620898,2024.10.31
77,She,"Tyler, The Creator",XLR,XLR,77,103,0,15,4346781,12.4,3867844,4133937,212844,128457266,521969143,2024.10.31
78,Broadway Girls,Lil Durk Feat. Morgan Wallen,Alamo Records,ALAM,3,60,92,146,4301977,-3.3,4450910,3752612,549365,193294750,784225356,2024.10.31
79,Love Me,Lil Wayne Feat. Drake & Future,CASH MONEY,R-CM,28,77,83,151,4296378,2.6,4188805,3833691,462687,210270584,1145666612,2024.10.31
