US_Chart - Pop On-Demand Overall Streaming (weekly),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,week_of
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2023.06.22
159,ballad of a homeschooled girl,Olivia Rodrigo,INTERSCOPE/GEFFEN/A&M,INT ,15,150,89,7,2766882,-5.6,2930389,2474718,292164,41803564,41803564,2023.10.26
159,Rock Your Body,Justin Timberlake,THRIVE RECORDS,THRI,115,191,176,9,2766882,10.5,2502913,2128133,638749,74935528,415223727,2023.10.26
161,Talking To The Moon,Bruno Mars,NEW ELEKTRA,NELK,15,172,161,162,2763413,2.8,2688943,2340657,422756,135893863,884067588,2023.10.26
162,Paper Rings,Taylor Swift,REPUBLIC RECORDS,R-RR,10,166,189,34,2756144,0.1,2752319,2631002,125142,100794160,307307101,2023.10.26
163,Speed Drive,Charli Xcx,ATLANTIC GROUP,ATLG,18,152,97,14,2753775,-5.3,2908847,2176029,577746,86941409,86941409,2023.10.26
164,Oh Klahoma,Jack Stauber,,,70,124,70,4,2749714,-15.6,3256451,831858,1917856,32940561,140944169,2023.10.26
165,making the bed,Olivia Rodrigo,INTERSCOPE/GEFFEN/A&M,INT ,12,142,81,7,2743565,-10.3,3057366,2673502,70063,43586724,43586724,2023.10.26
166,Rolling In The Deep,Adele,Columbia Records,COL ,30,182,168,327,2726065,4.4,2610168,2284847,441218,113675297,942869493,2023.10.26
167,Epic Emotional,Ashamaluevmusic,,,47,66,47,4,2721870,-36.8,4308998,5430,2716440,46888237,50365204,2023.10.26
168,logical,Olivia Rodrigo,INTERSCOPE/GEFFEN/A&M,INT ,13,143,82,7,2716973,-11.0,3052823,2650281,66692,42864000,42864000,2023.10.26
169,E.T.,Katy Perry Feat. Kanye West,CAPITOL MUSIC GROUP,CAP ,48,171,170,88,2715895,1.0,2689633,1329214,1386681,124284034,617637628,2023.10.26
170,Bad Romance,Lady Gaga,INTERSCOPE/GEFFEN/A&M,INT ,31,173,171,397,2691178,0.3,2684048,1897696,793482,113806916,996816543,2023.10.26
171,California Gurls,Katy Perry Feat. Snoop Dogg,CAPITOL MUSIC GROUP,CAP ,42,177,160,118,2675169,0.5,2662911,1983074,692095,118347950,636255740,2023.10.26
172,Royals,Lorde,REPUBLIC RECORDS,R-RR,98,194,175,49,2671094,7.1,2493481,2520568,150526,112927207,841302613,2023.10.26
173,HABITS (STAY HIGH),Tove Lo,ISLAND,ISL ,68,181,172,291,2668320,2.2,2610684,2332271,336049,98457491,917866221,2023.10.26
174,Mercy,Shawn Mendes,ISLAND,ISL ,10,0,0,158,2660553,34.5,1977399,1241092,1419461,95796649,812170184,2023.10.26
175,Last Friday Night,Katy Perry,CAPITOL MUSIC GROUP,CAP ,71,164,158,194,2655139,-3.8,2760048,2205831,449308,126063353,755032285,2023.10.26
176,Rich Girl,Daryl Hall & John Oates, RCA,RCA,24,198,191,55,2647750,7.8,2457226,2462466,185284,97170480,581862140,2023.10.26
177,Disturbia,Rihanna,DEF JAM RECORDINGS,DEF ,47,199,0,17,2634335,8.2,2435757,2294672,339663,81644813,487032768,2023.10.26
178,Shootout,Izzamuzzic,,,20,134,0,28,2632914,-16.6,3155683,521652,2111262,156149018,194887067,2023.10.26
179,Blue Hair,TV Girl,,,61,180,156,33,2618727,-0.1,2622057,2435706,183021,111060183,115907229,2023.10.26
180,Kings & Queens,Ava Max,ARTIST PARTNERS,APG1,20,116,111,143,2613014,-22.1,3353996,1387493,1225521,108191201,528525969,2023.10.26
181,Surrender,Natalie Taylor,Columbia Records,COL ,22,0,0,145,2608805,10.9,2351709,357698,2251107,114442271,523407892,2023.10.26
182,Grenade,Bruno Mars,CAPITOL MUSIC GROUP,CAP ,77,187,163,350,2599087,2.5,2535801,2386600,212487,109197251,927097367,2023.10.26
183,Out Of The Woods,Taylor Swift,BIG MACHINE,BGMA,11,0,0,15,2585532,28.3,2015195,2502229,83303,69997337,263603852,2023.10.26
184,Watermelon Sugar,Harry Styles,Columbia Records,COL ,2,188,154,206,2583549,2.0,2532690,2214754,368795,141992899,1095479071,2023.10.26
185,Stereo Hearts,Gym Class Heroes,Universal Music Enterprises,UME ,28,189,198,151,2559446,1.2,2529544,1465741,1093705,126957798,777417024,2023.10.26
186,Show Me How,Men I Trust,,,175,192,182,8,2559132,2.3,2502677,2519687,39445,85179481,227753707,2023.10.26
187,tolerate it,Taylor Swift,REPUBLIC RECORDS,R-RR,7,179,0,9,2558609,-2.7,2629642,2491815,66794,54355119,154640008,2023.10.26
188,Invisible String,Taylor Swift,UNIVERSAL MUSIC ENTERPRISES,UME ,11,184,0,20,2556493,-1.6,2598170,2512466,44027,73474667,231917762,2023.10.26
189,STARSHIPS,Nicki Minaj,CASH MONEY,R-CM,71,141,162,49,2556181,-16.7,3067268,2164768,391413,114809342,633110051,2023.10.26
190,Elastic Heart,Sia, RCA,RCA,32,197,0,131,2555964,3.7,2464547,1335921,1220043,78152297,762988989,2023.10.26
191,love is embarrassing,Olivia Rodrigo,INTERSCOPE/GEFFEN/A&M,INT ,16,160,96,7,2555876,-8.7,2799392,2487298,68578,40463762,40463762,2023.10.26
192,Wannabe,Spice Girls,VIRGIN,VRGN,44,175,178,96,2555321,-4.6,2678154,1342367,1212954,67587517,717032310,2023.10.26
193,Illicit Affairs,Taylor Swift,UNIVERSAL MUSIC ENTERPRISES,UME ,13,186,0,12,2549895,-1.1,2578975,2491748,58147,70667131,200431217,2023.10.26
194,Just Dance,Lady Gaga Feat. Colby O'Donis,INTERSCOPE/GEFFEN/A&M,INT ,40,0,199,59,2519800,4.2,2417923,2078745,441055,118891811,608241410,2023.10.26
195,Wrecking Ball,Miley Cyrus, RCA,RCA,59,0,0,117,2517951,6.4,2367216,1753366,764585,92242896,688984932,2023.10.26
196,I'm Still Standing,Elton John,ISLAND,ISL ,110,0,0,57,2508690,5.4,2380921,1995653,513037,113763757,398349056,2023.10.26
197,Death Bed,Powfu Feat. Beabadoobee,Columbia Records,COL ,4,174,153,189,2505768,-6.5,2679568,1502542,1003226,143513629,1056927117,2023.10.26
198,Hurts Me,Tory Lanez & Trippie Redd,TEN THOUSAND PROJECTS,CAP,50,0,0,14,2499374,7.9,2316499,2412181,87193,47126402,47126402,2023.10.26
199,Baby,Justin Bieber Feat. Ludacris,DEF JAM RECORDINGS,DEF ,39,0,181,303,2492104,2.7,2427060,1910701,581403,111847485,895842095,2023.10.26
200,this is what heartbreak feels like (pretty little liar),Jvke,,,28,0,0,22,2449009,3.9,2357061,997866,1451143,105023372,169292890,2023.10.26
Copyright (c) 2023 MRC Data LLC. Confidential and Proprietary.,,,,,,,,,,,,,,,,2023.10.26
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2023.11.02
1,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,,,1,,,1,31726170,95524.1,33178,30859453,866717,31759348,31759348,2023.11.02
2,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,,,2,,,1,28080659,80091.5,35017,27413491,667168,28115676,28115676,2023.11.02
3,Slut! (Taylor's Version) (From The Vault),Taylor Swift,REPUBLIC RECORDS,R-RR,3,,,1,26711110,46172.2,57726,26087800,623310,26768836,26768836,2023.11.02
4,Say Don't Go (Taylor's Version)  (From The Vault),Taylor Swift,REPUBLIC RECORDS,R-RR,4,,,1,25623697,58780.7,43518,25043184,580513,25667215,25667215,2023.11.02
5,Cruel Summer,Taylor Swift,REPUBLIC RECORDS,R-RR,1,1,2,66,22237926,-22.4,28674987,13770470,8467456,539012780,816592300,2023.11.02
6,Style (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,6,,,1,22193243,15260.3,144484,20842492,1350751,22337727,22337727,2023.11.02
7,Bad Blood (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,7,,,1,21893071,34440.9,63383,21235490,657581,22293756,22293756,2023.11.02
8,Suburban Legends (Taylor's Version) (From The Vault),Taylor Swift,,,8,,,1,20114879,60869.0,32992,19723752,391127,20147871,20147871,2023.11.02
9,Blank Space (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,9,,,1,19697577,8206.5,237135,18336319,1361258,19934713,19934713,2023.11.02
10,Funny Song,Cavendish Music,ole media management L.P.,OLE,1,2,1,46,18388327,-3.7,19101492,14938,18373389,534903422,570244622,2023.11.02
11,Welcome To New York (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,11,,,1,18233217,43958.6,41384,17781231,451986,18274623,18274623,2023.11.02
12,Out Of The Woods (Taylor's Version),Taylor Swift,,,12,,,1,17774902,39795.2,44554,17359900,415002,17819457,17819457,2023.11.02
13,Greedy,Tate Mcrae, RCA,RCA,3,3,4,7,16254752,-0.3,16306058,11061278,5193474,104214894,104214894,2023.11.02
14,Wildest Dreams (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,13,85,75,59,15752239,302.3,3915232,14956293,795946,122667951,277438432,2023.11.02
15,All You Had To Do Was Stay (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,15,,,1,15406341,64042.3,24019,15156698,249643,15430361,15430361,2023.11.02
16,Shake It Off (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,16,,,1,15008364,7339.5,201738,13687378,1320986,15210102,15210102,2023.11.02
17,New Romantics (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,17,,,1,13790283,40250.8,34176,13453896,336387,13824459,13824459,2023.11.02
18,Clean (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,18,,,1,13719141,63990.2,21406,13403023,316118,13740547,13740547,2023.11.02
19,I Wish You Would (Taylor's Version),Taylor Swift,,,19,,,1,13423765,61260.2,21877,13212518,211247,13445643,13445643,2023.11.02
20,I Know Places (Taylor's Version),Taylor Swift,,,20,,,1,12482470,62746.0,19862,12253983,228487,12502332,12502332,2023.11.02
21,Unstoppable,Sia, RCA,RCA,5,10,15,101,12376357,17.6,10522431,2154546,10221811,430312872,939460927,2023.11.02
22,How You Get The Girl (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,22,,,1,12307733,61038.2,20131,12089819,217914,12327864,12327864,2023.11.02
23,Wonderland (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,23,,,1,12305291,52801.0,23261,12054984,250307,12328552,12328552,2023.11.02
24,Another Love,Tom Odell, RCA,RCA,3,4,8,57,11901457,-13.7,13790927,2769584,9131873,516453186,1066784807,2023.11.02
25,This Love (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,6,0,0,3,11830375,785.5,1336039,11675980,154395,46607459,89677165,2023.11.02
26,You Are In Love (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,26,,,1,11825486,52178.9,22620,11588366,237120,11848106,11848106,2023.11.02
27,Vampire,Olivia Rodrigo,INTERSCOPE/GEFFEN/A&M,INT ,1,7,9,18,11313685,3.6,10921061,9791376,1522309,379799394,379799394,2023.11.02
28,Ghostbusters,Ray Parker Jr., RCA,RCA,13,65,101,86,11237600,144.6,4594415,10028517,1209083,51736150,558905636,2023.11.02
29,Dance The Night,Dua Lipa,ATLANTIC GROUP,ATLG,1,5,5,18,11237090,-3.8,11686086,6602895,4634195,368800836,368800836,2023.11.02
30,Daylight,David Kushner,DAVID KUSHNER,DVK,2,16,13,29,10701023,12.5,9513842,5658911,5042112,288755246,288755246,2023.11.02
31,Bloody Mary,Lady Gaga,INTERSCOPE/GEFFEN/A&M,INT ,1,13,11,56,10662286,5.1,10144221,3266186,7396100,718190873,941251352,2023.11.02
32,Makeba,Jain, RCA,RCA,1,6,6,22,9678703,-15.8,11500246,973268,8705435,392046977,437480997,2023.11.02
33,What Was I Made For? [From The Motion Picture 'Barbie'],Billie Eilish,INTERSCOPE/GEFFEN/A&M,INT ,3,8,10,16,9605309,-11.1,10809312,6020605,3584704,257359326,257359326,2023.11.02
34,Take On Me,A-Ha,HIP-O RECORDS,HIPD,12,12,16,414,9157307,-9.8,10148546,3037927,6119380,187908582,1274968113,2023.11.02
35,get him back!,Olivia Rodrigo,INTERSCOPE/GEFFEN/A&M,INT ,5,15,7,8,8920524,-9.9,9899121,4725292,4195232,102827047,102827047,2023.11.02
36,Anti-Hero,Taylor Swift,REPUBLIC RECORDS,R-RR,1,14,14,54,8383288,-17.0,10105208,6829339,1553949,510559104,775933020,2023.11.02
37,Past Lives (Sapientdreams Remix),Farizki,CMG,LABE,2,11,3,20,7948944,-22.0,10186735,735193,7213751,273048840,273066334,2023.11.02
38,If It's Lovin' That You Want,Rihanna,DEF JAM RECORDINGS,DEF ,19,21,19,6,7927423,1.6,7802412,643191,7284232,55651347,88629558,2023.11.02
39,Golden Hour,Jvke,AWAL,AWAL,4,9,12,63,7783732,-26.3,10558666,4352660,3431072,480886134,696185791,2023.11.02
40,Flowers,Miley Cyrus,COLUMBIA,COL,1,23,21,42,7450064,-0.5,7487493,5114780,2335284,926168094,926168094,2023.11.02
41,Lovely,Billie Eilish w/ Khalid,INTERSCOPE/GEFFEN/A&M,INT ,7,17,18,289,6885979,-25.2,9207563,3095767,3790212,278052231,1916015500,2023.11.02
42,As It Was,Harry Styles,Columbia Records,COL ,1,25,23,84,6754264,-5.9,7178933,4939426,1814838,431057952,1194503398,2023.11.02
43,Lose Control,Teddy Swims,Warner Records,WAR,27,28,32,16,6687533,1.1,6613928,6082687,604846,84767069,84767069,2023.11.02
44,Bad Idea Right?,Olivia Rodrigo,INTERSCOPE/GEFFEN/A&M,INT ,1,20,17,12,6650522,-16.0,7920209,5861046,789476,170883439,170883439,2023.11.02
45,Let Me Down Slowly,Alec Benjamin,ARTIST PARTNERS,APG1,17,32,34,236,6503997,5.0,6195710,1473607,5030390,203351747,966461507,2023.11.02
46,Unholy,Sam Smith & Kim Petras,CAPITOL RECORDS,CAP,1,47,54,59,6344443,24.4,5100866,4609103,1735340,460578485,838742175,2023.11.02
47,Perfect,Ed Sheeran,ATLANTIC GROUP,ATLG,1,35,41,348,6149016,2.1,6021326,3955602,2193414,246768157,2673670628,2023.11.02
48,Diamonds,Rihanna,DEF JAM RECORDINGS,DEF ,13,39,28,244,6139323,12.7,5448625,2327246,3812077,170173866,858516585,2023.11.02
49,Lover,Taylor Swift Feat. Shawn Mendes,REPUBLIC RECORDS,R-RR,3,26,29,216,5950764,-14.1,6927015,5478632,472132,199409174,841938402,2023.11.02
50,Lil Boo Thang,Paul Russell,Arista,ARIS,34,34,48,11,5787368,-4.0,6025420,4452059,1335309,45855447,45855447,2023.11.02
51,3D,Jung Kook,INTERSCOPE/GEFFEN/A&M,INT ,5,30,22,5,5771810,-11.4,6511067,4184912,1586898,43049202,43049202,2023.11.02
52,Karma,Taylor Swift,REPUBLIC RECORDS,R-RR,1,24,24,54,5751180,-22.3,7403205,5115465,635715,301239372,414411103,2023.11.02
53,You Make My Dreams,Hall & Oates, RCA,RCA,21,36,70,226,5705874,-4.8,5993210,2290214,3415660,126474820,920007579,2023.11.02
54,American Horror Show,Snow Wife,,,19,19,27,8,5658963,-29.6,8042343,1416680,4242283,59487280,59487280,2023.11.02
55,Someone You Loved,Lewis Capaldi,CAPITOL MUSIC GROUP,CAP,2,37,40,247,5541404,-2.3,5673959,4124210,1417194,234953842,1861948384,2023.11.02
56,Sweet Dreams (Are Made Of This),Eurythmics, RCA,RCA,9,87,87,293,5327160,37.0,3889370,3583072,1744088,196810348,1025027159,2023.11.02
57,Cardigan,Taylor Swift,UNIVERSAL MUSIC ENTERPRISES,UME ,1,31,31,107,5306807,-15.3,6263688,4503357,803450,229295163,572926470,2023.11.02
58,Blank Space,Taylor Swift,BIG MACHINE,BGMA,18,18,20,350,5255641,-38.3,8519797,4683461,572180,276527764,1340104377,2023.11.02
59,Gangsta's Paradise,"Lofi Fruits Music, Orange Stic",,,17,49,59,8,5169609,2.4,5048487,55057,5114552,60557995,96955970,2023.11.02
60,Sunroof,Nicky Youre & Dazy,SONY/COLUMBIA,COL,7,41,37,85,5149715,-1.4,5223182,2489099,2660616,312478508,619688864,2023.11.02
61,Boy's A Liar,Pinkpantheress,300 ENTERTAINME,300E,1,40,38,48,5098739,-5.1,5371855,3707743,1390996,719832162,740258503,2023.11.02
62,Save Your Tears,Weeknd,REPUBLIC RECORDS,R-RR,2,46,51,166,4957518,-3.2,5123844,4118508,839010,267242140,1425670785,2023.11.02
63,Style,Taylor Swift,BIG MACHINE,BGMA,22,22,25,94,4885483,-34.8,7488248,4673382,212101,216244183,689651943,2023.11.02
64,Counting Stars,Onerepublic,INTERSCOPE/GEFFEN/A&M,INT ,4,48,55,414,4874037,-3.5,5053101,3115100,1758937,340582899,1736985196,2023.11.02
65,Dark Horse,Katy Perry Feat. Juicy J,CAPITOL MUSIC GROUP,CAP ,4,52,45,405,4859278,-2.1,4962374,3053129,1806149,164962216,1439743380,2023.11.02
66,One Of Your Girls,Troye Sivan,,,33,33,33,3,4832648,-21.1,6127770,4356359,476289,17255750,17255750,2023.11.02
67,Circles,Post Malone,REPUBLIC RECORDS,R-RR,1,43,50,218,4792982,-6.7,5135262,3908055,884927,205969851,1678214798,2023.11.02
68,Don't Blame Me,Taylor Swift,BIG MACHINE,BGMA,34,38,36,82,4736130,-14.3,5524987,4656165,79965,193785079,426605838,2023.11.02
69,Levitating,Dua Lipa Feat. Dababy,WARNER RECORDS,WAR ,1,61,47,169,4607547,-2.5,4724869,3696583,910964,268354012,1644468174,2023.11.02
70,Stay,The Kid LAROI & Justin Bieber,Columbia Records,COL ,1,59,60,121,4606604,-3.7,4783613,2893681,1712922,305433161,1607798822,2023.11.02
71,Disturbia,Rihanna,DEF JAM RECORDINGS,DEF ,47,177,199,18,4595322,74.4,2634336,4193207,402115,86240136,491628091,2023.11.02
72,My Ordinary Life,Living Tombstone,,,25,51,57,49,4584213,-8.4,5003078,1103951,3480262,147577923,324227297,2023.11.02
73,traitor,Olivia Rodrigo,INTERSCOPE/GEFFEN/A&M,INT ,3,50,83,128,4550793,-9.4,5021203,2928595,1622198,154250451,816737823,2023.11.02
74,Bad Boys,Hit Crew,DFPM,DFPM,74,0,0,3,4549202,194.2,1546268,246939,4302263,43819829,261845097,2023.11.02
75,Stayin' Alive,Bee Gees,CAPITOL MUSIC GROUP,CAP ,16,72,73,393,4534362,5.1,4312359,2637947,1896415,173228318,1124127506,2023.11.02
76,Party In The U.S.A.,Miley Cyrus,HOLLYWOOD RECORDS,HOL ,18,67,64,393,4521733,0.9,4481705,3898405,623328,208149094,1084339845,2023.11.02
77,Super Shy,Newjeans,HYBE,INT,13,60,43,15,4521492,-4.7,4745034,2553842,1967650,130087708,130087708,2023.11.02
78,Perfect Night,Le Sserafim,,,78,,,1,4475808,25806.2,17277,3135904,1339904,4493085,4493085,2023.11.02
79,All-American Bitch,Olivia Rodrigo,INTERSCOPE/GEFFEN/A&M,INT ,7,64,44,8,4468574,-3.6,4637277,3248798,1219776,66248161,66248161,2023.11.02
80,I Ain't Worried,Onerepublic,INTERSCOPE/GEFFEN/A&M,INT ,3,53,49,75,4434474,-10.1,4931058,3949995,484479,298606557,573130381,2023.11.02
81,Used To Be Young,Miley Cyrus,SONY/COLUMBIA,COL,6,56,53,10,4399992,-9.9,4881485,3888029,511963,73873092,73873092,2023.11.02
82,Get You The Moon,Kina Feat. Snow,Columbia Records,COL ,9,57,26,240,4390266,-10.0,4879396,896162,3494104,230246910,934008686,2023.11.02
83,August,Taylor Swift,UNIVERSAL MUSIC ENTERPRISES,UME ,7,44,42,61,4369884,-14.9,5132654,3782691,587193,166584988,399822083,2023.11.02
84,Dandelions,Ruth B.,Columbia Records,COL ,7,70,52,99,4307485,-1.5,4373151,2252510,2054975,264186734,693447966,2023.11.02
85,Too Much,"Kid Laroi, Jung Kook & Central Cee",Columbia Records,COL ,27,27,0,2,4294894,-35.6,6673072,3946635,348259,11314446,11314446,2023.11.02
86,Sweet But Psycho,Ava Max,SME/LEGACY RECORDINGS,LEGC,6,105,80,159,4275913,22.0,3503672,2761891,1514022,98469932,1007253780,2023.11.02
87,That's What I Like,Bruno Mars,NOW,NOW ,1,120,118,363,4253075,28.2,3318729,3102189,1150886,158075752,1980134280,2023.11.02
88,Scars To Your Beautiful,Alessia Cara,DEF JAM RECORDINGS,DEF ,7,68,63,316,4142471,-7.5,4478537,1462947,2679524,119887116,1061736834,2023.11.02
89,Poker Face,Lady Gaga,INTERSCOPE/GEFFEN/A&M,INT ,20,42,39,387,4142312,-20.2,5191210,2431929,1710383,212452841,1036728389,2023.11.02
90,Made You Look,Meghan Trainor,EPIC,EPIC,3,62,46,54,4089398,-13.1,4705323,1725895,2363503,330423708,481764469,2023.11.02
91,Look What You Made Me Do,Taylor Swift,BIG MACHINE,BGMA,1,66,58,176,4083733,-10.8,4579141,4050911,32822,133820613,1178732775,2023.11.02
92,Toxic,Britney Spears, RCA,RCA,52,155,195,264,3995795,40.5,2844574,3396853,598942,109976871,842562605,2023.11.02
93,Set Fire To The Rain,Adele,Columbia Records,COL ,15,73,68,177,3981047,-7.1,4284573,2523220,1457827,181997404,829088196,2023.11.02
94,Careless Whisper,Wham!,EPIC,EPIC,4,54,146,335,3979932,-19.0,4915527,1893799,2086133,145412923,1061800906,2023.11.02
95,Deja Vu,Olivia Rodrigo,INTERSCOPE/GEFFEN/A&M,INT ,2,76,98,136,3948170,-4.4,4131450,2747723,1200447,163899158,833654556,2023.11.02
96,everything i wanted,Billie Eilish,INTERSCOPE/GEFFEN/A&M,INT ,1,82,79,208,3942862,-0.1,3947553,2032545,1910317,142242409,981418766,2023.11.02
97,Shameless,Camila Cabello,EPIC,EPIC,22,133,157,25,3939376,24.3,3168089,1083505,2855871,80551135,213153511,2023.11.02
98,Beauty and a Beat,Justin Bieber,DEF JAM RECORDINGS,DEF ,53,101,111,55,3875936,8.1,3585590,2122144,1753792,119761463,497953631,2023.11.02
99,Shake It Off,Taylor Swift,BIG MACHINE,BGMA,13,29,30,414,3874173,-41.2,6584011,3495183,378990,241578884,1670367973,2023.11.02
100,7 YEARS,Lukas Graham,WARNER RECORDS,WAR ,1,106,112,412,3858320,10.6,3488636,2376172,1482148,140311700,1611714566,2023.11.02
101,Just The Way You Are,Bruno Mars,CAPITOL MUSIC GROUP,CAP ,50,88,69,400,3806960,-2.0,3885074,3068234,738726,148190164,1201034329,2023.11.02
102,Give It To Me,Timbaland,INTERSCOPE/GEFFEN/A&M,INT ,1,63,35,43,3804969,-18.4,4660153,643452,3161517,335281812,408663634,2023.11.02
103,Bad Habits,Ed Sheeran,ATLANTIC GROUP,ATLG,4,100,109,123,3765870,4.8,3594973,3235261,530609,172473572,805617007,2023.11.02
104,When I Was Your Man,Bruno Mars,ATLANTIC GROUP,ATLG,24,84,82,414,3758504,-4.8,3946604,3442316,316188,182703627,1257280134,2023.11.02
105,Lavender Haze,Taylor Swift,REPUBLIC RECORDS,R-RR,2,55,56,54,3746963,-23.6,4903318,3552323,194640,274854497,413440809,2023.11.02
106,Shivers,Ed Sheeran,ATLANTIC GROUP,ATLG,3,89,89,112,3729162,-3.6,3870009,3445230,283932,211126407,736237194,2023.11.02
107,It's Been So Long,Living Tombstone,GHOST PIXEL REC,GHPX,106,0,0,8,3727945,91.8,1943164,2122345,1605600,46116691,218721391,2023.11.02
108,Without Me,Halsey,ASTRALWERKS,ASTW,1,95,86,265,3721383,-1.2,3767887,2920918,800465,180205734,2086448701,2023.11.02
109,Chemical,Post Malone,MERCURY / REPUBLIC RECORDS,R-MR,3,80,76,29,3720698,-7.0,3999728,3445366,275332,190548748,190548748,2023.11.02
110,Promiscuous,Nelly Furtado,INTERSCOPE/GEFFEN/A&M,INT ,13,90,94,170,3701953,-4.3,3867703,3249084,452869,153826084,813170199,2023.11.02
111,Darkside,Neoni,,,87,96,90,9,3627634,-2.7,3728463,595123,3032511,77412395,129412022,2023.11.02
112,Escapism,Raye,THE ORCHARD,ORCH,3,79,104,49,3618021,-9.7,4007397,2709174,908847,338037383,380708400,2023.11.02
113,Arcade,Duncan Laurence,CAPITOL MUSIC GROUP,CAP ,4,86,96,153,3617878,-7.3,3901060,1101791,2516087,213173589,1040012109,2023.11.02
114,Happier Than Ever,Billie Eilish,INTERSCOPE/GEFFEN/A&M,INT ,2,91,93,118,3604698,-6.7,3862025,2892147,712551,199162090,820641896,2023.11.02
115,Nonsense,Sabrina Carpenter,ISLAND,ISL,17,104,106,51,3571642,1.8,3510038,3263457,308185,187199546,223440370,2023.11.02
116,Delicate,Taylor Swift,BIG MACHINE,BGMA,13,69,65,125,3546312,-19.5,4403325,3524894,21418,133778155,809190812,2023.11.02
117,Feather,Sabrina Carpenter,ISLAND,ISL,117,0,0,4,3475676,63.6,2123884,2034389,1441287,43842823,43842823,2023.11.02
118,Easy On Me,Adele,SONY/COLUMBIA,COL,1,102,99,108,3467619,-3.2,3582881,2751134,716485,185005394,828580652,2023.11.02
119,A Thousand Years,Christina Perri,ATLANTIC GROUP,ATLG,28,94,61,413,3456002,-8.4,3772171,1883916,1572086,155157528,1370208074,2023.11.02
120,bad guy,Billie Eilish,INTERSCOPE/GEFFEN/A&M,INT ,1,144,145,240,3453597,14.7,3010550,2994067,459530,164912671,2226224273,2023.11.02
121,...Ready For It?,Taylor Swift,BIG MACHINE,BGMA,2,77,85,94,3449762,-15.9,4101994,3422966,26796,106918918,570559569,2023.11.02
122,Ocean Eyes,Billie Eilish,INTERSCOPE/GEFFEN/A&M,INT ,14,103,108,319,3437810,-3.5,3561288,2992812,444998,137329457,1381610572,2023.11.02
123,Ghost,Justin Bieber,DEF JAM RECORDINGS,DEF ,8,130,139,117,3403090,6.7,3189607,3101421,301669,156851444,584823434,2023.11.02
124,Locked Out Of Heaven,Bruno Mars,CAPITOL MUSIC GROUP,CAP ,52,127,127,274,3385356,5.7,3202410,2815803,569553,157677081,875775396,2023.11.02
125,AFTER DARK,Mr.Kitty,THE ORCHARD,ORCH,31,99,105,59,3366902,-6.5,3599223,1754621,1612281,190811747,398056197,2023.11.02
126,Shape Of You,Ed Sheeran,ATLANTIC GROUP,ATLG,1,110,110,356,3350897,-3.5,3473713,2473078,877819,151722592,2441206392,2023.11.02
127,Bad Blood,Taylor Swift,BIG MACHINE,BGMA,39,58,62,144,3332429,-30.9,4823863,2971657,360772,157009780,862175128,2023.11.02
128,Insane,Black Gryph0n & Baasik,,,72,75,72,7,3330684,-21.5,4240969,724820,2605864,70837465,123267949,2023.11.02
129,Good Life,Onerepublic,INTERSCOPE/GEFFEN/A&M,INT ,129,,,1,3282099,169.5,1217679,784905,2497194,42610708,310945053,2023.11.02
130,Uptown Funk!,Mark Ronson Feat. Bruno Mars, RCA,RCA,7,113,113,414,3269573,-4.0,3405726,1992692,1276881,160311974,2475331905,2023.11.02
131,Bejeweled,Taylor Swift,REPUBLIC RECORDS,R-RR,5,74,71,54,3262186,-23.3,4254816,2584787,677399,180079833,309456045,2023.11.02
132,To Build a Home,Cinematic Orchestra,INTERSCOPE/GEFFEN/A&M,INT ,18,128,0,23,3224476,0.7,3202122,593828,2630648,73538757,397352185,2023.11.02
133,WHAT JUST HAPPENED,The Kid LAROI,SONY/COLUMBIA,COL,133,,,1,3216223,14045.9,22736,2992909,223314,4547818,4547818,2023.11.02
