US_Chart - Heatseekers Albums,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,week_of
Rank,Album,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TW Total Activity,% CHG,LW Total Activity,TW Album Sales,TW Song Sales,TW Streaming Activity,ATD,2023.06.22
1,Petals To Thorns,D4vd,INTERSCOPE/GEFFEN/A&M,INT,1,1,1,4,7518,-5.3,7936,14,218,11426231,,2023.06.22
2,Toxic Chocolate,Kali,ATLANTIC GROUP,ATLG,2,,,14,7377,,,1,962,10892272,,2023.06.22
3,AMAR,BigXthaPlug, INDEPENDENT LABEL SUBMISSION,INDI,1,2,3,19,6941,-2.9,7146,52,362,10031394,,2023.06.22
4,Blacktop,Corey Kent,RCA NASHVILLE,RCNA,2,4,2,3,6327,-4.7,6639,53,747,8261025,,2023.06.22
5,The Death Of Peace Of Mind,Bad Omens, SUMERIAN RECORDS,SUME,1,6,4,69,5798,-0.4,5819,286,1799,7240619,,2023.06.22
6,Hood Hottest Princess,Sexyy Red, INDEPENDENT LABEL SUBMISSION,INDI,3,3,,2,5318,-20.6,6701,29,1038,7771109,,2023.06.22
7,Easy On My Eyes,Stephen Sanchez,MERCURY / REPUBLIC RECORDS,R-MR,1,9,5,44,4647,-5.2,4901,60,1068,6566244,,2023.06.22
8,717 Tapes The Album,Warren Zeiders, WARNER Records,WAR,3,10,7,38,4467,-2.4,4579,125,599,5693707,,2023.06.22
9,Everyone's An Outlaw,Bryan Martin,AVERAGE JOES ENTERTAINMENT,AVJE,9,,,1,4453,,,143,923,6052383,,2023.06.22
10,Boy Alone,Omah Lay,SIRE,SIR,8,46,54,49,4376,157.9,1697,16,252,5872918,,2023.06.22
11,Split Decision,"Dave, Central Cee",UMGRI INTERSCOPE,INT,6,7,6,3,4361,-24.3,5762,24,103,5902814,,2023.06.22
12,Five Seconds Flat,Lizzy McAlpine,,AWAL,2,11,8,63,3618,-6.0,3849,123,200,4718403,,2023.06.22
13,Exiit,Kanii, WARNER Records,WAR,13,,,1,3482,,,9,138,5894111,,2023.06.22
14,FLOWER SHOPS (THE ALBUM),Ernest,Big Loud,BGL,1,14,11,67,3470,-1.3,3516,38,193,4709719,,2023.06.22
15,Drowning,Jessie Murph,Columbia Records,COL ,1,12,10,19,3466,-3.7,3599,38,217,4848521,,2023.06.22
16,Come Get Your Memory,Chase Matthew, WARNER Records,WAR ,8,8,,2,3457,-31.6,5057,109,572,4417010,,2023.06.22
17,We Were Cowboys,Kameron Marlowe,CLNV,CLNV,1,13,14,43,3410,-3.5,3534,36,299,4588292,,2023.06.22
18,We Eat The Most,Skilla Baby,INTERSCOPE/GEFFEN/A&M,INT ,18,,,1,3301,,,7,36,4921244,,2023.06.22
19,Cross Country,Breland,ATLANTIC GROUP,ATLG,1,16,13,41,3273,-3.7,3398,23,226,4165244,,2023.06.22
20,What I Didn't Tell You,Coco Jones,DEF JAM/DEF SOUL,DEF,6,17,12,33,3229,-2.1,3298,43,480,4706909,,2023.06.22
21,Genesis,Peso Pluma,THE ORCHARD,ORCH,21,,,1,3140,,,197,299,4266677,,2023.06.22
22,Geezyworld 2,Ohgeesy,ATLANTIC GROUP,ATLG,2,18,15,7,3057,-2.2,3126,35,173,4337468,,2023.06.22
23,Texas Boy,Mike Dimes,EPIC,EPIC,23,,,1,2854,,,14,74,3714228,,2023.06.22
24,Beezy,Doe Boy,EPIC,EPIC,5,5,,2,2847,-56.5,6549,13,59,3759052,,2023.06.22
25,Where The Shooters Be,Sleazyworld Go,ISLAND,ISL ,1,19,18,32,2687,-3.4,2781,3,57,4294715,,2023.06.22
26,Bohunk,Ghostluvme, INDEPENDENT LABEL SUBMISSION,INDI,26,,,1,2471,,,1979,16,658127,,2023.06.22
27,Junkie Mode,Deebaby,CREATE MUSIC GROUP,CTMG,13,23,22,10,2299,-4.9,2418,4,24,3508184,,2023.06.22
28,Bridges,Steve Lukather, INDEPENDENT LABEL SUBMISSION,INDI,28,,,1,2264,,,2193,116,76982,,2023.06.22
29,Raised,Hailey Whitters,Big Loud,BGL,9,28,27,66,2248,-2.7,2310,64,558,2799309,,2023.06.22
30,White Buffalo,Ian Munsick, WARNER Records,WAR ,5,27,24,11,2226,-4.4,2329,43,195,2912413,,2023.06.22
31,Pretty Little Poison (Sampler),Warren Zeiders,WARNER RECORDS,WAR ,21,26,26,8,2224,-4.5,2330,2,627,2939907,,2023.06.22
32,Walk Me Home...,Benson Boone,WARNER RECORDS,WAR ,3,31,29,47,2161,2.0,2118,29,301,2999653,,2023.06.22
33,My Vision,Luh Tyler,ATLANTIC GROUP,ATLG,2,25,23,12,2050,-14.0,2385,0,23,3213820,,2023.06.22
34,4god Ii,Rob49,INTERSCOPE/GEFFEN/A&M,INT ,15,15,,2,1982,-42.4,3443,5,13,2778063,,2023.06.22
35,Pineapple Sunrise,Beach Weather,Arista,ARIS,20,36,30,14,1967,-1.2,1991,9,165,2896850,,2023.06.22
36,Sleez,ThxSoMch,ATLANTIC GROUP,ATLG,15,34,28,5,1954,-4.1,2038,3,35,3026409,,2023.06.22
37,Public Displays Of Affection: The Album,Muni Long,DEF JAM,DEF,5,37,32,38,1943,-2.1,1984,38,118,2803799,,2023.06.22
38,Newjeans 1st Ep 'New Jeans',Newjeans,INTERSCOPE/GEFFEN/A&M,INT ,7,42,34,47,1870,0.4,1862,19,64,2754354,,2023.06.22
39,No Thank You,Little Simz, AWAL,AWAL,39,,,5,1852,,,1672,53,259632,,2023.06.22
40,Freddie's Inferno,Freddie Dredd, RCA,RCA ,6,40,33,45,1852,-3.6,1921,1,39,2889782,,2023.06.22
41,5lbs Of Pressure - Ep,Superstar Pride, INDEPENDENT LABEL SUBMISSION,INDI,3,39,31,16,1833,-5.2,1934,1,116,2674244,,2023.06.22
42,Beatopia (Cd),Beabadoobee,DIRTY HIT,DRHI,2,38,35,49,1792,-8.6,1961,281,55,2196600,,2023.06.22
43,Footprints I Found,David Kushner,DAVID KUSHNER,DVK,18,43,39,40,1788,2.7,1741,15,133,2486129,,2023.06.22
44,Trick City,Bigwalkdog, ATLANTIC,ATL,1,50,47,36,1780,6.4,1673,2,35,2717141,,2023.06.22
45,Everything I Know About Love,Laufey,,AWAL,14,41,41,42,1754,-6.2,1869,188,39,2303759,,2023.06.22
46,Greenbroke,Jackson Dean,BIG MACHINE,BGMA,8,21,16,56,1727,-33.6,2600,119,223,2061563,,2023.06.22
47,A Study Of The Human Experience Volume One,Gayle,ATLANTIC GROUP,ATLG,1,44,36,66,1710,-1.2,1731,1,230,2313622,,2023.06.22
48,Jamie,Montell Fish,"LORD'S CHILD, INC. ",LCH,16,47,48,48,1689,0.2,1685,1,39,2522186,,2023.06.22
49,P.S.,Kylie Morgan,EMI NASHVILLE,ENAS,31,65,49,45,1676,18.9,1409,10,124,2332121,,2023.06.22
50,Spin The Globe,Connor Price, INDEPENDENT LABEL SUBMISSION,INDI,26,53,45,16,1649,-0.1,1650,35,249,2241390,,2023.06.22
51,Nonsense And Mexican Shit,That Mexican OT,INTERSCOPE/GEFFEN/A&M,INT ,51,55,75,7,1640,-0.1,1641,16,89,2275955,,2023.06.22
52,No Love,Byron Messia,INTERSCOPE/GEFFEN/A&M,INT ,52,54,52,4,1639,-0.4,1645,5,209,2299700,,2023.06.22
53,Donde Quiero Estar,Quevedo, WARNER Records,WAR,4,49,44,22,1638,-2.2,1674,1,19,2445094,,2023.06.22
54,Twenty Something: Messing It Up,Alana Springsteen,Columbia Records,COL ,54,76,67,10,1611,27.1,1268,15,152,2116593,,2023.06.22
55,Road To Casablanco.,Armani White,DEF JAM,DEF,20,45,37,7,1601,-6.3,1709,2,200,2190882,,2023.06.22
56,Excuse The Mess,Ella Langley,Columbia Records,COL ,19,52,46,5,1588,-4.2,1657,40,474,1976731,,2023.06.22
57,It Was Fun While It Lasted,Sueco The Child,ATLANTIC GROUP,ATLG,1,57,50,68,1584,-0.9,1598,7,52,2144340,,2023.06.22
58,X,Ken Carson,INTERSCOPE/GEFFEN/A&M,INT ,1,58,53,50,1521,-2.8,1565,81,18,2119072,,2023.06.22
59,Egg In The Backseat,Em Beihold,REPUBLIC RECORDS,R-RR,7,68,42,48,1511,7.6,1404,26,177,2033552,,2023.06.22
60,The Hutson Sessions,Wyatt Flores,Empire,EMPR,53,66,64,20,1506,7.0,1408,15,70,2015985,,2023.06.22
61,Seven,Brooke Ligertwood,SPARROW RECORDS,SPAR,16,63,57,65,1471,-1.5,1493,25,292,1905917,,2023.06.22
62,Life Upside Down - Ep,Morgan Evans,Warner Music Nashville,WNS,22,60,43,9,1462,-3.5,1515,5,158,1957681,,2023.06.22
63,The Winding Way,Teskey Brothers,THE ORCHARD,ORCH,63,,,1,1459,,,1102,159,441917,,2023.06.22
64,Wellerman - The Album,Nathan Evans,EVERYTHING 2 EVERYONE (CENTRAL),UME,39,64,59,23,1456,0.8,1445,69,634,1925242,,2023.06.22
65,I've IVE,IVE,THE ORCHARD,ORCH,8,61,51,11,1433,-5.0,1508,18,122,2063813,,2023.06.22
66,Kx5,Kx5,AWAL,AWAL,11,62,61,14,1393,-6.9,1496,20,368,1737993,,2023.06.22
67,Mundo,Santa Fe Klan,THE ORCHARD,ORCH,5,74,72,44,1393,6.1,1313,3,49,2250686,,2023.06.22
68,Underrated,Big Boogie,INTERSCOPE/GEFFEN/A&M,INT ,9,67,62,78,1385,-1.6,1407,2,48,2241158,,2023.06.22
69,Boundless Domain,Creeping Death,MNRK,MNRK,69,,,1,1365,,,1254,39,136315,,2023.06.22
70,Middle Of God Knows Where,Noah Thompson,WHEELHOUSE RECO,WR2 ,56,56,,2,1340,-18.1,1637,27,255,1756994,,2023.06.22
71,Fountain Baby,Amaarae,INTERSCOPE/GEFFEN/A&M,INT ,33,33,,2,1320,-36.0,2062,44,92,1638391,,2023.06.22
72,Blood Shore Season 3,Xavier Wulf, EMPIRE DISTRIBUTION,EMPI,30,71,70,36,1320,-4.9,1388,1,11,1860285,,2023.06.22
73,Sembrando,Peso Pluma,THE ORCHARD,ORCH,25,69,56,13,1303,-7.1,1403,5,23,2042497,,2023.06.22
74,Live At The Ryman,Jackson Dean,BIG MACHINE,BGMA,48,,,7,1300,,,244,557,1330302,,2023.06.22
75,Intermission,Mariah The Scientist, RCA,RCA ,17,72,69,41,1297,-5.1,1366,1,17,1904186,,2023.06.22
76,Everything To Everyone,Reneé Rapp,UMGRI INTERSCOPE,INT,11,79,92,32,1276,6.8,1195,103,63,1525925,,2023.06.22
77,Only Built 4 Diamond Links,Peezy,Empire,EMPR,1,75,66,45,1276,-1.8,1300,0,42,1983605,,2023.06.22
78,Breathe,Chad Lawson,DECCA,DECU,44,73,71,25,1251,-7.1,1347,6,3,1569948,,2023.06.22
79,Who Hurt You?,Ali Gatie,Warner Records,WAR,10,148,81,38,1230,75.0,703,1,91,1788788,,2023.06.22
80,Bloom,Kimberly Perry,Columbia Records,COL ,22,22,,2,1229,-49.7,2443,97,285,1419720,,2023.06.22
81,Linger Awhile,Samara Joy,VERVE,VERV,1,81,55,29,1218,3.0,1183,845,106,467606,,2023.06.22
82,Welcome To The Block Party,Priscilla Block,UMG NASHVILLE,UMGN,4,77,78,71,1172,-5.7,1243,12,142,1558026,,2023.06.22
83,Down To Earth,Taeyang,INTERSCOPE/GEFFEN/A&M,INT ,32,59,82,9,1150,-26.3,1560,266,110,1333072,,2023.06.22
84,God Is Good!,Cody Carnes,SPARROW RECORDS,SPAR,69,82,76,31,1149,-2.0,1172,13,252,1438016,,2023.06.22
85,Underwater,Ludovico Einaudi,DECCA INTERNATIONAL,DECC,10,90,74,74,1134,3.4,1097,12,13,1423622,,2023.06.22
86,Perfect Storm,Yatta Bandz,Empire,EMPR,40,84,77,59,1119,-3.5,1159,2,27,1727553,,2023.06.22
87,Thee Sacred Souls,Thee Sacred Souls,PELOTONRECORDS,PEDS,4,107,120,43,1118,17.6,951,348,64,1027686,,2023.06.22
88,Too Late To Die Young - Ep,Sonder, INDEPENDENT LABEL SUBMISSION,INDI,2,91,87,35,1079,-0.7,1087,1,13,1481460,,2023.06.22
89,Muna,Muna,Dead Oceans,DOC,2,96,94,32,1071,3.1,1039,415,47,837410,,2023.06.22
90,Bright New Disease,Boris & Uniform,Sacred Bones Records,SBR,90,,,1,1067,,,1035,2,41150,,2023.06.22
91,Cupido,Tini,5020 Records,5020,31,87,80,18,1067,-4.3,1115,0,37,1680960,,2023.06.22
92,Every Little Detail,Forest Blakk,ATLANTIC GROUP,ATLG,45,88,79,34,1067,-4.1,1113,9,217,1422622,,2023.06.22
93,Something To Dance To,Willie Jones,RCA NASHVILLE,RCNA,93,,,1,1066,,,95,468,1204675,,2023.06.22
94,The Man From Waco,Charley Crockett,RED INK,RDIK,3,97,91,41,1052,1.7,1034,435,115,790622,,2023.06.22
95,Proof Of Life,Joy Oladokun,VERVE,VERV,19,92,89,8,1020,-3.8,1060,230,200,995329,,2023.06.22
96,Teenage Dixie,Muscadine Bloodline,STANCASTER MUSI,STCR,14,103,101,17,1003,2.0,983,75,77,1208478,,2023.06.22
97,Milk Teeth,Suki Waterhouse, SUB POP,SUBP,67,100,93,33,1002,0.6,996,81,28,1334413,,2023.06.22
98,Why Would I Watch,Hot Mulligan, INDEPENDENT LABEL SUBMISSION,INDI,2,86,73,6,1000,-12.3,1140,328,25,854065,,2023.06.22
99,Preacher’s Daughter,Ethel Cain,,AWAL,60,101,96,30,999,0.4,995,11,38,1279363,,2023.06.22
100,Her Love Still Haunts Me Like A Ghost,Montell Fish,"LORD'S CHILD, INC. ",LCH,11,106,105,34,993,2.7,967,1,27,1413461,,2023.06.22
101,Walk Down World,Lil Double 0,Vydia,VYD,1,94,85,33,974,-6.6,1043,0,7,1406599,,2023.06.22
102,Megatron,BabyTron, EMPIRE DISTRIBUTION,EMPI,4,95,83,68,974,-6.4,1041,0,6,1415757,,2023.06.22
103,Onnafriday,Charlieonnafriday,ISLAND,ISL ,15,104,103,49,972,-0.4,976,2,50,1386726,,2023.06.22
104,When I Hear Your Name,MAETA,ROC NATION,R0CN,29,29,,2,960,-55.8,2171,126,210,1103609,,2023.06.22
105,Born For This,Chase Matthew, INDEPENDENT LABEL SUBMISSION,INDI,2,108,88,71,944,-0.7,951,7,55,1312833,,2023.06.22
106,Dark Sun,Dayseeker,SpineFarm,SFMU,13,102,95,33,943,-4.9,992,86,185,1120603,,2023.06.22
107,22,Hunxho,300 ENTERTAINME,300E,12,99,90,13,923,-7.5,998,1,13,1410029,,2023.06.22
108,Who's Loving You?,Ambre',ROC NATION,R0CN,108,,,1,922,,,70,92,1081939,,2023.06.22
109,Dolls Ep,Bella Poarch,WARNER RECORDS,WAR ,8,105,102,45,918,-5.6,972,32,77,1400065,,2023.06.22
110,Fortune Favors The Bold,49 Winchester,"NEWWESTRECORDS,LLC",NELC,26,114,97,30,917,4.3,879,53,60,1154381,,2023.06.22
111,Forward,Jordan Ward,INTERSCOPE/GEFFEN/A&M,INT ,69,93,149,13,907,-13.2,1045,9,20,1183092,,2023.06.22
112,Versions Of Me,Anitta,WARNER RECORDS,WAR ,2,111,110,63,882,-0.9,890,0,82,1280199,,2023.06.22
113,Thrive,SLANDER, INDEPENDENT LABEL SUBMISSION,INDI,54,116,107,39,868,0.9,860,0,141,1214726,,2023.06.22
114,Pulse,Benson Boone,Warner Records,WAR,29,113,100,7,855,-2.8,880,49,42,1082272,,2023.06.22
115,Amelia,Mimi Webb,EPIC,EPIC,14,120,115,16,853,-0.5,857,31,97,1094563,,2023.06.22
116,I Can'T Wait,TiaCorine,SOUTH COAST MUSIC GROUP,SCG,49,110,98,31,846,-6.2,902,0,35,1241621,,2023.06.22
117,Mood Swings,Avery Anna,Warner Music Nashville,WNS,51,129,117,37,845,4.8,806,17,99,1089689,,2023.06.22
118,Don'T Get Too Cozy,Phabo,THE ORCHARD,ORCH,118,,,1,840,,,33,38,1030184,,2023.06.22
119,Between Death And Dreams,Brand Of Sacrifice,,,119,,,1,823,,,823,0,0,,2023.06.22
120,Tekkno,Electric Callboy,THE ORCHARD,ORCH,16,126,111,19,818,0.2,816,118,189,958602,,2023.06.22
121,Actual Life 3 (January 1 - September 9,Fred Again..,ATLANTIC GROUP,ATLG,1,149,127,34,817,16.5,701,240,126,727755,,2023.06.22
122,Orange Blood,Mt. Joy,ISLAND,ISL ,2,125,122,50,809,-1.5,821,106,31,899085,,2023.06.22
123,O Monolith,Squid,WARP RECORDS,WARP,35,35,,2,808,-59.9,2014,665,7,188717,,2023.06.22
124,Gifted,Koffee, RCA,RCA ,11,127,,45,797,-2.2,815,2,93,1134480,,2023.06.22
125,My Soft Machine,Arlo Parks,TRANSGRESSIVE R,TRA9,11,98,68,4,785,-21.7,1003,276,59,639717,,2023.06.22
126,Masego,Masego,CAPITOL RECORDS,CAP,9,128,116,16,781,-3.9,813,19,30,1000640,,2023.06.22
127,A Beautiful Life (Music From The Netflix,Christopher,INTERNATIONAL R,IRI,83,83,133,3,774,-33.8,1169,273,1215,515351,,2023.06.22
128,Lost At Sea,Rob Grant,INTERSCOPE/GEFFEN/A&M,INT ,30,30,,2,774,-63.5,2119,255,67,674979,,2023.06.22
129,Girl With Fish,Feeble Little Horse,SADDLECREEK,SAEK,112,112,,2,773,-13.0,889,445,26,411615,,2023.06.22
130,First Things First,Consumed By Fire,Red Street Records,RDST,76,136,125,13,770,0.1,769,55,632,879293,,2023.06.22
131,Waiting To Spill,Backseat Lovers,CAPITOL MUSIC GROUP,CAP ,2,123,104,34,770,-7.1,829,159,22,795456,,2023.06.22
132,Alma,Nicki Nicole,SONY MUSIC LATIN,SML ,114,122,118,5,767,-7.6,830,0,24,1176434,,2023.06.22
133,Usb - Ep,Fred Again..,ATLANTIC GROUP,ATLG,35,132,121,19,749,-3.9,779,4,287,940135,,2023.06.22
134,Trench Baby 3,Lil Zay Osama,WARNER RECORDS,WAR ,3,137,124,45,743,-3.0,766,0,8,1287022,,2023.06.22
135,"PARANOÏA, ANGELS, TRUE LOVE",Christine And The Queens,BECAUSE MUSIC SAS,BECU,24,24,,2,731,-69.6,2403,399,84,410512,,2023.06.22
136,4th Wall,Ruel, RCA,RCA ,22,135,132,10,724,-6.2,772,10,16,948452,,2023.06.22
137,"It's Not You, It's Me",Chase Shakur,DEF JAM,DEF,137,,,1,719,,,15,22,917818,,2023.06.22
138,The Most Magical Album On Earth,Peyton Parrish, INDEPENDENT LABEL SUBMISSION,INDI,4,133,131,17,718,-7.5,776,83,310,853037,,2023.06.22
139,Product Of A Small Town,Sean Stemaly,Big Loud,BGL,44,145,142,58,715,-0.1,716,2,27,977492,,2023.06.22
140,Darkfighter,Rival Sons,ATLANTIC GROUP,ATLG,9,20,9,3,712,-72.9,2630,568,79,175344,,2023.06.22
141,6,Kenny Mason, RCA,RCA ,85,85,126,3,709,-37.9,1142,12,41,930993,,2023.06.22
142,Ryan Ellis,Ryan Ellis,PROVIDENT/RED,PROV,80,143,144,39,708,-2.1,723,26,291,873723,,2023.06.22
143,A Brief Nirvana,Khamari, RCA,RCA ,121,121,,3,704,-16.3,841,8,38,890819,,2023.06.22
144,Homixide Lifestyle,Homixide Gang, INDEPENDENT LABEL SUBMISSION,INDI,16,139,129,31,698,-6.6,747,0,2,1002275,,2023.06.22
145,"Afrobeats To The World, Vol. 2 (Dj Mix)",Dj Mynor,INGROOVES,INGV,145,,,1,697,,,0,54,1038104,,2023.06.22
146,Lucky For You,Bully, SUB POP,SUBP,17,109,17,3,696,-26.3,944,524,43,218785,,2023.06.22
147,When Angels Kill,Fifth Angel,NUCLEAR BLAST,NUB,147,,,1,695,,,672,48,24180,,2023.06.22
148,Hypochondriac,brakence,Columbia Records,COL ,13,147,140,29,689,-2.3,705,1,14,928986,,2023.06.22
149,Dreams 2 Reality,Realestk,Columbia Records,COL ,29,146,139,34,688,-3.6,714,0,10,1010235,,2023.06.22
150,Ain’t Through Honky Tonkin’ Yet,Brennen Leigh,SIGNATURESOUNDSRECORDINGS,SIGS,150,,,1,687,,,609,211,73769,,2023.06.22
Copyright (c) 2023 MRC Data LLC. Confidential and Proprietary.,,,,,,,,,,,,,,,,2023.06.22
Rank,Album,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TW Total Activity,% CHG,LW Total Activity,TW Album Sales,TW Song Sales,TW Streaming Activity,ATD,2023.06.29
1,Ganger,Veeze, INDEPENDENT LABEL SUBMISSION,INDI,1,,,1,8666,,,41,57,11739709,,2023.06.29
2,Petals To Thorns,D4vd,INTERSCOPE/GEFFEN/A&M,INT,1,1,1,5,7182,-4.5,7518,11,207,10946138,,2023.06.29
3,AMAR,BigXthaPlug, INDEPENDENT LABEL SUBMISSION,INDI,1,2,2,20,6958,0.2,6941,33,449,10070312,,2023.06.29
4,The Good Witch,Maisie Peters,NEW ELEKTRA,NELK,4,,,1,6580,,,3311,710,4112206,,2023.06.29
5,The Death Of Peace Of Mind,Bad Omens, SUMERIAN RECORDS,SUME,1,4,6,70,6515,12.4,5798,302,2448,8097039,,2023.06.29
6,Blacktop,Corey Kent,RCA NASHVILLE,RCNA,2,3,4,4,6190,-2.2,6327,34,727,8084028,,2023.06.29
7,Hood Hottest Princess,Sexyy Red, INDEPENDENT LABEL SUBMISSION,INDI,3,5,3,3,5984,12.5,5318,14,551,8781797,,2023.06.29
8,"Half Man, Half Vamp",Lil Poppa,INTERSCOPE/GEFFEN/A&M,INT ,8,,,1,5599,,,22,66,7969247,,2023.06.29
9,Easy On My Eyes,Stephen Sanchez,MERCURY / REPUBLIC RECORDS,R-MR,1,6,9,45,4537,-2.4,4647,42,1037,6427763,,2023.06.29
10,717 Tapes The Album,Warren Zeiders, WARNER Records,WAR,3,7,10,39,4491,0.5,4467,150,623,5684735,,2023.06.29
11,Pecos & The Rooftops,Pecos & The Rooftops,WARNER RECORDS,WAR ,11,,,1,4419,,,350,420,5518872,,2023.06.29
12,Split Decision,"Dave, Central Cee",UMGRI INTERSCOPE,INT,6,9,7,4,3925,-10.0,4361,25,123,5316933,,2023.06.29
13,Boy Alone,Omah Lay,SIRE,SIR,8,8,46,50,3777,-13.7,4376,5,145,5119701,,2023.06.29
14,What I Didn't Tell You,Coco Jones,DEF JAM/DEF SOUL,DEF,6,18,17,34,3601,11.5,3229,89,896,5062663,,2023.06.29
15,FLOWER SHOPS (THE ALBUM),Ernest,Big Loud,BGL,1,12,14,68,3590,3.5,3470,48,232,4830643,,2023.06.29
16,Drowning,Jessie Murph,Columbia Records,COL ,1,13,12,20,3519,1.5,3466,42,293,4902104,,2023.06.29
17,Five Seconds Flat,Lizzy McAlpine,,AWAL,2,10,11,64,3411,-5.7,3618,112,156,4433594,,2023.06.29
18,Cross Country,Breland,ATLANTIC GROUP,ATLG,1,17,16,42,3326,1.6,3273,19,259,4175278,,2023.06.29
19,Come Get Your Memory,Chase Matthew, WARNER Records,WAR ,8,14,8,3,3232,-6.5,3457,81,458,4177639,,2023.06.29
20,Exiit,Kanii, WARNER Records,WAR,11,11,,2,3173,-8.9,3482,4,60,5484867,,2023.06.29
21,We Were Cowboys,Kameron Marlowe,CLNV,CLNV,1,15,13,44,3037,-10.9,3410,69,320,3990303,,2023.06.29
22,Life Under The Gun,Militarie Gun,LOMA VISTA,LVR ,22,,,1,2992,,,2547,45,560898,,2023.06.29
23,Geezyworld 2,Ohgeesy,ATLANTIC GROUP,ATLG,2,20,18,8,2768,-9.5,3057,6,181,3966789,,2023.06.29
24,Greenbroke,Jackson Dean,BIG MACHINE,BGMA,8,44,21,57,2765,60.1,1727,141,830,3337075,,2023.06.29
25,Ynos 2,Baby Money,QUALITY CONTROL MUSIC (CAROLINE),QLC ,25,,,1,2697,,,12,44,3590852,,2023.06.29
26,Where The Shooters Be,Sleazyworld Go,ISLAND,ISL ,1,23,19,33,2693,0.2,2687,3,40,4335255,,2023.06.29
27,Public Displays Of Affection: The Album,Muni Long,DEF JAM,DEF,5,35,37,39,2614,34.5,1943,32,367,3669739,,2023.06.29
28,Poets & Old Souls,Bryan Martin,AVERAGE JOES ENTERTAINMENT,AVJE,17,,,11,2482,,,27,380,3446336,,2023.06.29
29,We Eat The Most,Skilla Baby,INTERSCOPE/GEFFEN/A&M,INT ,16,16,,2,2454,-25.7,3301,2,30,3726834,,2023.06.29
30,Pretty Little Poison (Sampler),Warren Zeiders,WARNER RECORDS,WAR ,21,29,26,9,2372,6.7,2224,2,856,3101764,,2023.06.29
31,Junkie Mode,Deebaby,CREATE MUSIC GROUP,CTMG,13,25,23,11,2338,1.7,2299,2,35,3648284,,2023.06.29
32,White Buffalo,Ian Munsick, WARNER Records,WAR ,5,28,27,12,2212,-0.6,2226,47,247,2885634,,2023.06.29
33,Walk Me Home...,Benson Boone,WARNER RECORDS,WAR ,3,30,31,48,2191,1.4,2161,33,296,3053546,,2023.06.29
34,Raised,Hailey Whitters,Big Loud,BGL,9,27,28,67,2189,-2.6,2248,38,547,2764592,,2023.06.29
35,Loving You,"Amanda Shires, Bobbie Nelson","ATO RECORDS, L.L.C.",ATO ,35,,,1,2159,,,2066,94,108547,,2023.06.29
36,My Vision,Luh Tyler,ATLANTIC GROUP,ATLG,2,31,25,13,2065,0.7,2050,3,45,3193790,,2023.06.29
37,Freddie's Inferno,Freddie Dredd, RCA,RCA ,6,38,40,46,2019,9.0,1852,218,43,2803894,,2023.06.29
38,Pineapple Sunrise,Beach Weather,Arista,ARIS,20,33,36,15,1956,-0.6,1967,13,204,2859558,,2023.06.29
39,Newjeans 1st Ep 'New Jeans',Newjeans,INTERSCOPE/GEFFEN/A&M,INT ,7,36,42,48,1944,4.0,1870,21,81,2859716,,2023.06.29
40,Sleez,ThxSoMch,ATLANTIC GROUP,ATLG,15,34,34,6,1906,-2.5,1954,0,41,2966336,,2023.06.29
41,Hard - The 8th Album,Shinee,SM ENTERTAINMENT,SMET,41,,,1,1891,,,781,660,1468607,,2023.06.29
42,Footprints I Found,David Kushner,DAVID KUSHNER,DVK,18,41,43,41,1850,3.5,1788,25,128,2562591,,2023.06.29
43,Beatopia (Cd),Beabadoobee,DIRTY HIT,DRHI,2,40,38,50,1819,1.5,1792,315,69,2182757,,2023.06.29
44,Everything I Know About Love,Laufey,,AWAL,14,43,41,43,1794,2.3,1754,229,28,2318600,,2023.06.29
45,Beezy,Doe Boy,EPIC,EPIC,5,22,5,3,1784,-37.3,2847,6,62,2369105,,2023.06.29
46,Excuse The Mess,Ella Langley,Columbia Records,COL ,19,54,52,6,1736,9.3,1588,41,611,2150352,,2023.06.29
47,Trick City,Bigwalkdog, ATLANTIC,ATL,1,42,50,37,1719,-3.4,1780,3,23,2643121,,2023.06.29
48,5lbs Of Pressure - Ep,Superstar Pride, INDEPENDENT LABEL SUBMISSION,INDI,3,39,39,17,1715,-6.4,1833,0,98,2506912,,2023.06.29
49,A Study Of The Human Experience Volume One,Gayle,ATLANTIC GROUP,ATLG,1,45,44,67,1703,-0.4,1710,6,211,2298327,,2023.06.29
50,Antes De Ameri,Duki,THE ORCHARD,ORCH,50,,,1,1697,,,9,41,2412124,,2023.06.29
51,Middle Of God Knows Where,Noah Thompson,WHEELHOUSE RECO,WR2 ,51,68,56,3,1689,26.0,1340,18,212,2216043,,2023.06.29
52,Donde Quiero Estar,Quevedo, WARNER Records,WAR,4,51,49,23,1675,2.3,1638,0,22,2499829,,2023.06.29
53,Road To Casablanco.,Armani White,DEF JAM,DEF,20,53,45,8,1668,4.2,1601,1,216,2268152,,2023.06.29
