US_Chart - Rock On-Demand Overall Streaming (weekly),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,week_of
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2023.06.22
107,Enter Sandman,Metallica,WARNER RECORDS,WAR ,31,87,102,397,3017778,-4.6,3162613,2729316,288462,79838972,857960429,2023.07.06
108,Seven Nation Army,White Stripes,03397,XLXR,31,88,90,397,3008579,-4.2,3139043,2858524,150055,81992770,826732844,2023.07.06
109,Island in the Sun,Weezer,INTERSCOPE/GEFFEN/A&M,INT ,69,119,125,146,2992473,9.0,2746381,2691894,300579,59512782,542849632,2023.07.06
110,Freaks,Surf Curse,ATLANTIC GROUP,ATLG,8,89,93,116,2983602,-4.6,3126537,1882617,1100985,87429170,438757486,2023.07.06
111,The Joker,Steve Miller Band,CAPITOL MUSIC GROUP,CAP ,28,124,126,222,2975494,10.7,2688402,2822917,152577,62133367,606366047,2023.07.06
112,The Less I Know The Better,Tame Impala,INTERSCOPE/GEFFEN/A&M,INT ,1,102,89,330,2954680,-2.4,3026811,2770392,184288,80316013,933554535,2023.07.06
113,Let Her Go,Passenger,NOW,NOW ,4,78,57,397,2953612,-10.6,3305558,1889462,1064150,82625157,1227693415,2023.07.06
114,IN THIS SHIRT,Irrepressibles,DECCA INTERNATIONAL,DECC,40,66,69,13,2937470,-16.7,3527278,298312,2639158,56657135,163774986,2023.07.06
115,House Of The Rising Sun,Animals,ABKCO,ABK ,45,118,132,372,2924133,5.6,2770265,2331447,592686,72750773,718561709,2023.07.06
116,Waste,Kxllswxtch,,,22,85,104,26,2902701,-9.3,3199200,1310230,1592471,80510489,104951038,2023.07.06
117,Another One Bites The Dust,Queen,HOLLYWOOD RECORDS,HOL ,6,111,109,304,2886190,1.3,2849339,2855573,30617,72722062,957267007,2023.07.06
118,Greek Tragedy,Wombats,BRA,BRA,19,166,0,27,2879333,24.3,2315933,391818,2487515,55963962,222340548,2023.07.06
119,Rocket Man,Elton John,ISLAND,ISL ,12,123,118,324,2878959,6.6,2701837,2746411,132548,73432766,815704597,2023.07.06
120,Fast Car,Tracy Chapman,SHTF,SHTF,59,137,124,72,2863348,10.8,2585010,2382934,480414,55468149,480642111,2023.07.06
121,Numb,Linkin Park,WARNER RECORDS,WAR ,2,98,100,397,2844988,-7.2,3066186,2409057,435931,82323055,940428636,2023.07.06
122,King For A Day,Pierce The Veil,FEARLESS RECORD,FEAR,29,68,85,46,2843308,-19.1,3512817,1792507,1050801,61461744,327036742,2023.07.06
123,Just Pretend,Bad Omens, SUMERIAN RECORDS,SUME,90,94,145,37,2839752,-8.5,3102571,2494158,345594,64438522,98151717,2023.07.06
124,POUR SOME SUGAR ON ME,Def Leppard,ISLAND,ISL ,37,134,128,243,2834855,8.8,2604576,2584921,249934,64373386,573416408,2023.07.06
125,Under The Bridge,Red Hot Chili Peppers,CAPITOL MUSIC GROUP,CAP ,47,106,101,397,2831376,-2.5,2903538,2570383,260993,71539058,785713773,2023.07.06
126,Come As You Are,Nirvana,INTERSCOPE/GEFFEN/A&M,INT ,52,116,114,381,2829422,1.7,2781283,2602879,226543,74157988,672363097,2023.07.06
127,Jack and Diane,John Cougar,ISLAND,ISL ,66,0,0,77,2822053,45.7,1936321,2765902,56151,42957662,444615060,2023.07.06
128,Dog Days Are Over,Florence + The Machine,REPUBLIC RECORDS,R-RR,27,100,79,54,2815815,-7.7,3051227,2602049,213766,65258531,487006078,2023.07.06
129,Walking on a Dream,Empire Of The Sun,ASTRALWERKS,ASTW,17,115,80,270,2806306,0.3,2798916,2380866,425440,62154590,600617317,2023.07.06
130,Go Your Own Way,Fleetwood Mac,WARNER RECORDS,WAR ,47,148,136,179,2799314,14.3,2449813,2747539,51775,60522607,541350116,2023.07.06
131,Dancing in the Moonlight,King Harvest,THE ORCHARD,ORCH,109,159,162,130,2756260,15.7,2382260,2621757,134503,57610961,464590521,2023.07.06
132,All The Small Things,Blink-182,INTERSCOPE/GEFFEN/A&M,INT ,65,114,105,395,2749472,-1.8,2800113,2616223,133249,64417576,646658448,2023.07.06
133,In the End,Linkin Park,WARNER RECORDS,WAR ,3,108,108,397,2741754,-4.8,2879476,2634911,106843,84587064,1003112379,2023.07.06
134,Heart To Heart,Mac DeMarco,"MAC DEMARCO, LLC",MCMD,15,105,106,30,2709464,-7.1,2917245,2431877,277587,122486244,150771404,2023.07.06
135,I Love You So,Walters, WARNER Records,WAR ,4,101,67,91,2708469,-11.1,3047117,2047744,660725,86331258,464234963,2023.07.06
136,For What It's Worth,Buffalo Springfield,ATLANTIC GROUP,ATLG,49,147,147,146,2694610,10.0,2450166,2413505,281105,58385937,535274321,2023.07.06
137,"Sex, Drugs, Etc.",Beach Weather,Arista,ARI,33,120,116,47,2685489,-2.0,2740402,2465757,219732,90779311,188808402,2023.07.06
138,Under Pressure,Queen & David Bowie,SONY/COLUMBIA,COL,3,140,130,361,2667635,3.6,2573731,2579674,87961,65060778,806938001,2023.07.06
139,Green Green Grass,George Ezra,Columbia Records,COL ,7,131,66,25,2657282,1.8,2609432,807463,1849819,119959947,131161564,2023.07.06
140,Tek It,Cafune,NEW ELEKTRA,NELK,6,129,166,65,2631240,0.1,2629526,1985165,646075,76516230,244335235,2023.07.06
141,Hold The Line,Toto,Columbia Records,COL ,4,107,4,4,2625760,-8.9,2882514,1621611,1004149,51675666,347495109,2023.07.06
142,Don't Stop Me Now,Queen,HOLLYWOOD RECORDS,HOL ,8,133,117,386,2618528,0.5,2604931,2093288,525240,64602884,861993080,2023.07.06
143,Need 2,Pinegrove,,,78,90,78,4,2609177,-16.5,3126225,2602769,6408,14819689,19770632,2023.07.06
144,Welcome To The Jungle,Guns N' Roses,INTERSCOPE/GEFFEN/A&M,INT ,26,139,131,397,2604886,1.0,2578016,2387432,217454,66556265,771674195,2023.07.06
145,Ho Hey,Lumineers,CAPITOL MUSIC GROUP,CAP ,37,125,137,383,2599442,-3.1,2683460,2190151,409291,72972622,715491234,2023.07.06
146,Radioactive,Imagine Dragons,THE ORCHARD,ORCH,3,117,119,397,2595477,-6.4,2771549,2208486,386991,77044349,1428254060,2023.07.06
147,NOTION,Rare Occasions,ATLANTIC GROUP,ATLG,9,138,111,84,2584191,0.2,2578989,1414043,1170148,66746245,272596705,2023.07.06
148,Heaven,Los Lonely Boys,EPIC,EPIC,28,28,127,5,2580689,-46.3,4805398,469122,2111567,35934759,141140565,2023.07.06
149,In The Air Tonight,Phil Collins,ATLANTIC GROUP,ATLG,4,143,141,397,2580540,2.7,2513585,2308632,271908,65758587,786933069,2023.07.06
150,Everywhere,Fleetwood Mac,WARNER RECORDS,WAR ,83,135,140,39,2578687,-0.7,2597474,2363267,215420,64345597,337792598,2023.07.06
151,Chamber Of Reflection,Mac DeMarco, INDEPENDENT LABEL SUBMISSION,INDI,37,160,155,106,2570059,8.0,2379496,1964059,606000,84207206,451274224,2023.07.06
152,Scar Tissue,Red Hot Chili Peppers,WARNER RECORDS,WAR ,97,132,138,223,2569755,-1.4,2607008,2369306,200449,64458079,565481731,2023.07.06
153,Night Moves,Bob Seger & The Silver Bullet Band,CAPITOL MUSIC GROUP,CAP ,116,182,189,121,2566685,15.2,2227497,2363055,203630,53420681,436256983,2023.07.06
154,Old Time Rock & Roll,Bob Seger & The Silver Bullet Band,CAPITOL MUSIC GROUP,CAP ,39,91,39,47,2546870,-18.1,3110703,2185000,361870,54775409,403561513,2023.07.06
155,Highway To Hell,AC/DC,Columbia Records,COL ,12,141,149,397,2521413,-0.5,2534855,2347485,173928,61272992,767480313,2023.07.06
156,Do I Wanna Know?,Arctic Monkeys,DOMINO,DOMI,24,130,133,397,2510436,-4.1,2618590,2194157,316279,74530024,832574798,2023.07.06
157,Piano Man,Billy Joel,Columbia Records,COL ,5,168,163,397,2503376,8.5,2306681,2216614,286762,62018783,855487578,2023.07.06
158,Safe and Sound,Capital Cities,CAPITOL MUSIC GROUP,CAP ,17,149,175,216,2498166,2.3,2442848,1915694,582472,68055059,596507460,2023.07.06
159,We Didn't Start the Fire,Billy Joel,Columbia Records,COL ,10,0,0,14,2493616,45.7,1711455,2268007,225609,39551264,440912807,2023.07.06
160,I Won'T Back Down,Tom Petty,INTERSCOPE/GEFFEN/A&M,INT ,6,198,0,29,2490855,16.4,2140117,2427603,63252,49637042,446645595,2023.07.06
161,September (We Got Fire),Sparky Deathcap,,,84,0,0,3,2484486,149.5,995848,476205,2008281,32021865,32533698,2023.07.06
162,"Sugar, We're Goin Down",Fall Out Boy,ISLAND,ISL,79,150,171,397,2451362,1.1,2423561,2281753,169609,61985707,680111680,2023.07.06
163,Eyes Without A Face,Billy Idol,CAPITOL MUSIC GROUP,CAP ,143,152,143,7,2447579,1.2,2417959,1746238,701341,43152141,190923859,2023.07.06
164,Misery Business,Paramore,FUELED BY RAMEN,FUER,24,128,123,177,2442723,-7.4,2637180,2232675,210048,66828388,593367337,2023.07.06
165,Mr. Jones,Counting Crows,CAPITOL MUSIC GROUP,CAP ,124,190,190,213,2430882,11.4,2181305,2166441,264441,52162905,554404187,2023.07.06
166,You’re Gonna Go Far,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,35,127,112,4,2425354,-8.3,2644729,2379736,45618,12297336,12297336,2023.07.06
167,Zombie,Cranberries,ISLAND,ISL,4,161,153,271,2412806,2.1,2363725,1931680,481126,57534924,612067957,2023.07.06
168,Feel It Still,Portugal. The Man,ATLANTIC GROUP,ATLG,2,178,167,321,2403248,7.1,2243934,2258442,144806,60575524,1226758027,2023.07.06
169,What's Up,4 Non Blondes,THE ORCHARD,ORCH,60,165,172,303,2393411,2.8,2329020,1692483,700928,56197379,594666611,2023.07.06
170,Still Into You,Paramore,FUELED BY RAMEN,FUER,25,154,0,130,2376824,-1.3,2407224,2041052,335772,55621462,524203922,2023.07.06
171,Paradise City,Guns N' Roses,INTERSCOPE/GEFFEN/A&M,INT ,45,199,199,337,2353318,10.0,2138413,2125577,227741,53090553,613533574,2023.07.06
172,What I Got,Sublime,INTERSCOPE/GEFFEN/A&M,INT ,106,0,0,153,2347116,14.1,2057067,2253610,93506,48436657,536388518,2023.07.06
173,Walk Of Life,Dire Straits,WARNER RECORDS,WAR ,76,76,0,5,2346506,-29.7,3338845,943132,1403374,38318920,237169265,2023.07.06
174,Don't Fear The Reaper,Blue Oyster Cult,SONY/COLUMBIA,COL,13,193,0,241,2342944,8.1,2166600,2107295,235649,55468109,581614688,2023.07.06
175,We Will Rock You,Queen,HOLLYWOOD RECORDS,HOL ,8,163,160,395,2342521,-0.1,2345815,2098372,244149,58787072,850395159,2023.07.06
176,Mary Jane's Last Dance,Tom Petty & The Heartbreakers,INTERSCOPE/GEFFEN/A&M,INT ,8,0,192,118,2339314,10.7,2113460,2174707,164607,52061987,495243977,2023.07.06
177,Wonderwall,Oasis,Columbia Records,COL ,36,169,164,392,2330440,1.2,2302263,2205942,124498,61200619,720213573,2023.07.06
178,Electric Love,BORNS,INTERSCOPE/GEFFEN/A&M,INT ,1,146,146,341,2325701,-5.7,2466779,2113149,212552,63611860,816768500,2023.07.06
179,We Are Young,fun. Feat. Janelle Monae,FUELED BY RAMEN,FUER,35,174,169,378,2315087,2.3,2263387,2067195,247892,58669498,779975191,2023.07.06
180,How You Remind Me,Nickelback,ROADRUNNER RECORDS,ROAD,101,156,150,273,2300094,-4.2,2400834,2053361,246733,60701334,576916206,2023.07.06
181,Can'T You See,Marshall Tucker Band,RAMBLIN' RECORD,RBLN,99,0,0,153,2297441,13.9,2017581,1976680,320761,52352565,498923463,2023.07.06
182,Cigarette Daydreams,Cage The Elephant, RCA,RCA,43,157,156,186,2296628,-3.9,2388735,2235579,61049,62034137,602082741,2023.07.06
183,Life Goes On,Oliver Tree,ATLANTIC GROUP,ATLG,3,153,65,85,2292742,-5.2,2417583,596568,1696174,67443162,356467564,2023.07.06
184,Don'T You (Forget About Me),Simple Minds,A&M RECORDS,AAM ,136,192,182,40,2290974,5.1,2179567,2083876,207098,52704897,476798743,2023.07.06
185,Immigrant Song,Led Zeppelin,ATLANTIC GROUP,ATLG,43,0,0,180,2280182,8.6,2098783,1786566,493616,50670110,513045011,2023.07.06
186,I Wanna Be Your Slave,Maneskin, RCA,RCA,3,74,41,97,2276978,-32.8,3388028,756583,1520395,69365785,361358876,2023.07.06
187,Sultans Of Swing,Dire Straits,WARNER RECORDS,WAR ,130,0,0,53,2272836,12.4,2021938,1973324,299512,50098415,495528135,2023.07.06
188,Kickstart My Heart,Motley Crue,MOTLEY RECORDS,MTLY,28,180,157,133,2271175,1.7,2233739,2006150,265025,57285202,507770061,2023.07.06
189,Sweet Emotion,Aerosmith,Columbia Records,COL ,85,0,0,125,2263414,8.4,2088630,2187211,76203,48252684,521965978,2023.07.06
190,Rhiannon,Fleetwood Mac,WARNER RECORDS,WAR ,14,194,180,164,2256098,4.2,2165151,2107095,149003,58274534,549500791,2023.07.06
191,TV,Billie Eilish,INTERSCOPE/GEFFEN/A&M,INT ,7,151,151,50,2252576,-7.0,2422075,1902273,350303,94471284,184826819,2023.07.06
192,Crazy Train,Ozzy Osbourne,EPIC,EPIC,78,196,194,197,2248986,4.3,2157016,2107374,141612,58381384,568203746,2023.07.06
193,I'm Yours,Jason Mraz,ATLANTIC GROUP,ATLG,13,183,184,394,2246700,1.1,2223281,2088642,158058,59436321,981481596,2023.07.06
194,Last Resort,Papa Roach,DGC/INTERSCOPE,DGCI,35,164,191,375,2245726,-3.7,2333170,2042976,202750,56627601,667860967,2023.07.06
195,Keep The Wolves Away,Uncle Lucius, E1 MUSIC ENT,EOM,167,0,0,49,2243291,5.2,2131777,1887311,355980,54602017,387572890,2023.07.06
196,Can You Feel My Heart,Bring Me The Horizon,EPITAPH,EPI ,6,0,0,81,2232945,20.0,1860214,1062817,1170128,54807166,423326272,2023.07.06
197,Heathens,Twenty One Pilots,ATLANTIC GROUP,ATLG,1,155,173,367,2230551,-7.1,2401281,1622178,608373,71789891,1653137166,2023.07.06
198,Why'd You Only Call Me When You're High?,Arctic Monkeys,DOMINO,DOMI,10,181,179,141,2210820,-0.9,2230786,2092545,118275,64817114,497659457,2023.07.06
199,"Hey, Soul Sister",Train,SONY/COLUMBIA,COL,52,175,188,356,2208394,-1.8,2248270,2038636,169758,54150153,728840828,2023.07.06
200,Best Day Of My Life,American Authors,ISLAND,ISL,58,167,152,195,2204262,-4.7,2312704,1634092,570170,56252798,577072466,2023.07.06
Copyright (c) 2023 MRC Data LLC. Confidential and Proprietary.,,,,,,,,,,,,,,,,2023.07.06
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2023.07.13
1,Everybody Wants To Rule The World,Tears For Fears,ISLAND,ISL ,1,1,2,288,10779772,-4.9,11340146,4697576,6082196,178184772,901724834,2023.07.13
2,Heat Waves,Glass Animals,REPUBLIC RECORDS,R-RR,1,4,4,127,8026675,-0.9,8100595,5667993,2358682,238753034,1625761972,2023.07.13
3,Until I Found You,Stephen Sanchez,MERCURY / REPUBLIC RECORDS,R-MR,1,6,5,62,7668123,-1.9,7818391,5240659,2427464,285087972,509456154,2023.07.13
4,Sweater Weather,Neighbourhood,Columbia Records,COL ,1,7,12,398,7632686,-0.3,7656459,4726159,2906527,250972538,1667289196,2023.07.13
5,Bones,Imagine Dragons,INTERSCOPE/GEFFEN/A&M,INT ,1,8,6,70,7449310,-2.0,7599669,2703178,4746132,262804711,523703374,2023.07.13
6,The Perfect Girl,Mareux, WARNER Records,WAR ,2,14,10,56,6945745,10.6,6280664,1270512,5675233,209588684,374174939,2023.07.13
7,Dream On,Aerosmith,Columbia Records,COL ,1,12,19,393,6553418,3.3,6347045,3078711,3474707,215994421,982030996,2023.07.13
8,Riptide,Vance Joy,ATLANTIC GROUP,ATLG,3,3,13,398,6469443,-22.6,8360078,3687769,2781674,162106704,1284838622,2023.07.13
9,Believer,Imagine Dragons,INTERSCOPE/GEFFEN/A&M,INT ,1,11,9,336,6381839,-0.7,6428652,3504624,2877215,177844036,2754038461,2023.07.13
10,Viva La Vida,Coldplay,ATLANTIC GROUP,ATLG,3,5,8,398,6328447,-21.1,8022445,3486796,2841651,194932114,982047921,2023.07.13
11,Dreams,Fleetwood Mac,WARNER RECORDS,WAR ,1,9,17,376,6287495,-10.3,7008670,5698516,588979,166183158,1331440004,2023.07.13
12,Past Lives,BORNS,INTERSCOPE/GEFFEN/A&M,INT ,12,70,32,8,5825005,62.4,3587260,1018484,4806521,56633869,149847899,2023.07.13
13,Son Of A Sinner,Jelly Roll,BROKEN BOW RECO,BB2 ,7,16,18,63,5768789,-4.0,6008404,5048471,720318,163113625,375270328,2023.07.13
14,House of Memories,Panic! At The Disco,FUELED BY RAMEN,FUER,2,28,22,93,5512219,15.3,4781569,1372368,4139851,209706153,780119703,2023.07.13
15,Space Song,Beach House, SUB POP,SUBP,1,17,16,122,5427672,-9.3,5984439,2839426,2588246,173743915,614677421,2023.07.13
16,Blade Runner 2049,Synthwave Goose,,,16,23,35,25,5359637,4.3,5137640,25746,5333891,82189778,162396859,2023.07.13
17,Romantic Homicide,D4vd,,,1,30,24,49,5137424,8.3,4745463,4095909,1041515,208870116,411489969,2023.07.13
18,Don't Stop Believin',Journey,Columbia Records,COL ,2,18,25,398,5047430,-14.2,5879870,4968627,78803,132476118,1412962139,2023.07.13
19,Everybody Talks,Neon Trees,ISLAND,ISL ,4,22,11,204,5026896,-3.8,5227196,1828759,3198137,107541222,728650427,2023.07.13
20,Somebody That I Used To Know,Gotye Feat. Kimbra,REPUBLIC RECORDS,R-RR,1,38,31,398,4974970,13.1,4400058,2573704,2401266,155966914,1251612259,2023.07.13
21,Dial Drunk,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,3,27,20,5,4862363,-2.6,4993414,4842108,20255,31948945,31948945,2023.07.13
22,Hotel California,Eagles,ELEKTRA ENTERTA,EEG,6,21,29,398,4851805,-8.7,5314174,4110366,741439,128180973,1240047037,2023.07.13
23,Yellow,Coldplay,ATLANTIC GROUP,ATLG,1,2,1,339,4730881,-45.7,8705611,2911096,1819785,148663877,872036233,2023.07.13
24,Free Bird,Lynyrd Skynyrd,INTERSCOPE/GEFFEN/A&M,INT ,24,62,75,349,4700932,27.2,3695787,2308533,2392399,93908505,702830431,2023.07.13
25,Demons,Imagine Dragons,INTERSCOPE/GEFFEN/A&M,INT ,3,29,21,398,4692356,-1.8,4777756,2174042,2518314,122139719,1280396764,2023.07.13
26,Somewhere Only We Know,Keane,INTERSCOPE/GEFFEN/A&M,INT ,8,46,39,45,4522274,10.4,4096271,1892403,2629871,97759925,408496534,2023.07.13
27,Dawns,"Zach Bryan, Maggie Rogers", WARNER Records,WAR,3,33,26,24,4507477,-0.6,4532813,4401261,106216,140695475,140695475,2023.07.13
28,Mary On A Cross,Ghost,LOMA VISTA,LVR,6,55,48,48,4488534,12.1,4003678,1481648,3006886,149038536,289275249,2023.07.13
29,Take Me to Church,Hozier,Columbia Records,COL ,3,35,15,398,4457330,-0.5,4481793,3787817,669513,146047763,1430488288,2023.07.13
30,Thunder,Imagine Dragons,INTERSCOPE/GEFFEN/A&M,INT ,1,49,41,324,4362969,7.4,4063941,3564717,798252,103859092,1820180247,2023.07.13
31,Devochka S Kare,Mukka,,,3,13,3,36,4325556,-31.5,6315356,13582,4311974,94643081,173859320,2023.07.13
32,Everlong,Foo Fighters, RCA,RCA,15,43,38,360,4320674,1.7,4248384,3979364,341310,134431411,745010983,2023.07.13
33,Here With Me,D4vd,,,1,51,40,40,4306280,6.8,4031969,3401210,905070,197874133,258986182,2023.07.13
34,Fortunate Son,Creedence Clearwater Revival,SONY CLASSICS,SNYC,5,20,36,385,4209059,-21.2,5344785,3471392,737667,114750671,960140146,2023.07.13
35,Eye Of The Tiger,Survivor, RCA,RCA,9,37,56,398,4172353,-5.8,4430529,2623395,1548958,109793296,1176801047,2023.07.13
36,Just a Girl,No Doubt,INTERSCOPE/GEFFEN/A&M,INT ,1,47,23,16,4136538,1.2,4086706,1055578,3080960,119569899,335366030,2023.07.13
37,Have You Ever Seen The Rain?,Creedence Clearwater Revival,CRAFT RECORDINGS,CRFT,30,36,42,397,4130969,-6.9,4435141,3650539,480430,103348902,884214246,2023.07.13
38,Beggin,Maneskin,Sony Music Latin/Arista,ARML,1,67,65,107,4101672,13.2,3623261,1483139,2618533,136573440,842481486,2023.07.13
39,Hymn For The Weekend,Coldplay,NOW,NOW ,1,25,30,263,4099208,-18.4,5021197,1302524,2796684,143307686,1201623242,2023.07.13
40,Greek Tragedy,Wombats,BRA,BRA,19,118,166,28,4088112,42.0,2879333,395913,3692199,60052074,226428660,2023.07.13
41,Sweet Home Alabama,Lynyrd Skynyrd,INTERSCOPE/GEFFEN/A&M,INT ,5,19,46,397,4027081,-29.9,5742525,3772575,254506,100082503,1010581435,2023.07.13
42,Smells Like Teen Spirit,Nirvana,INTERSCOPE/GEFFEN/A&M,INT ,4,53,51,398,3955542,-1.8,4026785,3405682,549860,116582399,1213924105,2023.07.13
43,Mr. Brightside,Killers,ISLAND,ISL,9,42,45,398,3944806,-7.5,4266448,3734190,210616,112569469,1218811683,2023.07.13
44,Sweet Child O' Mine,Guns N' Roses,INTERSCOPE/GEFFEN/A&M,INT ,4,34,55,398,3865540,-14.2,4506865,3404196,461344,112357643,1169229933,2023.07.13
45,Every Breath You Take,Police,SME/LEGACY RECORDINGS,LEGC,26,45,43,398,3852342,-6.1,4102373,2621317,1231025,83611591,821514375,2023.07.13
46,I Know You,Faye Webster,,,46,,,1,3787905,283.9,986704,3561862,226043,10566909,12121936,2023.07.13
47,Livin' On A Prayer,Bon Jovi,ISLAND,ISL ,18,40,44,398,3768754,-12.7,4314937,3208125,560629,105961361,967318201,2023.07.13
48,The Night We Met,Lord Huron,INTERSCOPE/GEFFEN/A&M,INT ,2,65,62,328,3763794,3.5,3637889,3432710,331084,104216739,987099292,2023.07.13
49,Creep,Radiohead,XLR,XLR,17,60,52,347,3758954,1.5,3704611,3298226,460728,92558543,678715161,2023.07.13
50,Thunderstruck,AC/DC,Columbia Records,COL ,8,54,54,398,3754689,-6.5,4017593,3261496,493193,103915193,1117584187,2023.07.13
51,All Star,Smash Mouth,INTERSCOPE/GEFFEN/A&M,INT ,2,39,61,389,3746324,-13.4,4324083,1853451,1892873,105659365,1276161064,2023.07.13
52,505,Arctic Monkeys, WBR - PARLOPHONE,WBR,9,63,53,157,3742921,1.3,3693273,3330540,412381,123143778,621109164,2023.07.13
53,Bohemian Rhapsody,Queen,HOLLYWOOD RECORDS,HOL ,1,56,58,398,3676873,-6.5,3932249,3157642,519231,96465037,1563665304,2023.07.13
54,Enemy,"Imagine Dragons, JID & League Of Legends",INTERSCOPE/GEFFEN/A&M,INT ,1,75,50,89,3675038,4.3,3523610,2369925,1305113,144486608,837811104,2023.07.13
55,Bad Liar,Imagine Dragons,INTERSCOPE/GEFFEN/A&M,INT ,3,79,162,186,3644695,6.6,3418956,925709,2718986,67489622,624357241,2023.07.13
56,Brown Eyed Girl,Van Morrison,SONY/COLUMBIA,COL,4,41,73,325,3560289,-17.0,4290422,3398064,162225,80801544,807115891,2023.07.13
57,Ophelia,Lumineers,DUA,DUA,2,57,59,388,3523728,-8.7,3859057,2291762,1231966,107575641,1041785741,2023.07.13
58,Stressed Out,Twenty One Pilots,FUELED BY RAMEN,FUER,1,68,47,398,3518555,-2.3,3600765,2695172,823383,90792559,1697795217,2023.07.13
59,Stick Season,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,20,82,63,53,3498345,3.5,3381450,3424976,73369,80003420,165097523,2023.07.13
60,Take It Easy,Eagles,EEG,EEG,31,52,80,286,3460680,-14.1,4028071,3385140,75540,79054171,676741732,2023.07.13
61,Kryptonite,3 Doors Down,REPUBLIC RECORDS,R-RR,39,77,67,398,3457086,0.7,3432892,3095083,362003,93359920,892465248,2023.07.13
62,I Wanna Be Yours,Arctic Monkeys,DOMINO,DOMI,17,74,57,54,3447997,-2.7,3544280,2907585,540412,112213805,367253844,2023.07.13
63,IN THIS SHIRT,Irrepressibles,DECCA INTERNATIONAL,DECC,40,114,66,14,3397343,15.7,2937471,305646,3091697,60054479,167172330,2023.07.13
64,Running Up That Hill,Kate Bush,Warner Records,WAR,1,72,70,59,3395776,-4.7,3561955,2268020,1127756,125705045,654808603,2023.07.13
65,Centuries,Fall Out Boy,ISLAND,ISL ,3,48,33,398,3394974,-16.5,4064868,1896734,1498240,113371830,1257952397,2023.07.13
66,Run Boy Run,Woodkid,INTERSCOPE/GEFFEN/A&M,INT ,7,15,7,23,3390963,-44.2,6072989,318709,3072254,84017466,241620199,2023.07.13
67,The Chain,Fleetwood Mac,WARNER RECORDS,WAR ,8,69,49,325,3356915,-6.6,3593815,3110582,246333,104415990,843101456,2023.07.13
68,Iris,Goo Goo Dolls,WARNER RECORDS,WAR ,16,88,72,398,3333097,2.6,3248538,2999015,334082,97573485,823581572,2023.07.13
69,Mr. Blue Sky,Electric Light Orchestra,EPIC,EPIC,7,78,34,324,3292386,-3.8,3421322,1987490,1304896,97459617,953155744,2023.07.13
70,Way Down We Go,Kaleo,NEW ELEKTRA,NELK,20,94,79,247,3260845,4.6,3117151,1741024,1519821,60825480,582551870,2023.07.13
71,Let Her Go,Passenger,NOW,NOW ,4,113,78,398,3257281,10.3,2953636,1988193,1269088,85882462,1230950720,2023.07.13
72,Ceilings,Lizzy Mcalpine,,,1,80,60,26,3251908,-4.7,3412011,2750054,501854,164388177,180418890,2023.07.13
73,Apocalypse,Cigarettes After Sex,PTKF,PTK ,24,91,71,88,3250569,1.7,3196082,2839158,411411,106238511,395773531,2023.07.13
74,Santeria,Sublime,INTERSCOPE/GEFFEN/A&M,INT ,35,64,77,398,3231934,-11.2,3639089,3192203,39731,84371033,819353439,2023.07.13
75,Je Te Laisserai Des Mots,Patrick Watson,SECRET CITY RECS,CTY ,19,50,64,87,3166003,-21.9,4054620,1285715,1880288,84744569,258374887,2023.07.13
76,Bring Me To Life,Evanescence,BICYCLE MUSIC,BIKE,8,97,84,393,3148547,1.6,3098456,2389607,758940,80886168,1037869402,2023.07.13
77,Your Love,Outfield,SONY/COLUMBIA,COL,31,81,93,302,3127364,-7.8,3391772,2559324,568040,77527182,644485728,2023.07.13
78,Simple Man,Lynyrd Skynyrd,INTERSCOPE/GEFFEN/A&M,INT ,7,83,92,398,3124983,-6.9,3358234,2641161,483822,79369643,940089910,2023.07.13
79,Chop Suey!,System Of A Down,Columbia Records,COL ,6,90,99,398,3100830,-3.1,3199176,2683902,416928,83117595,853993878,2023.07.13
80,We Didn't Start The Fire,Fall Out Boy,FUELED BY RAMEN,FUER,32,32,0,2,3099634,-32.5,4592419,2810795,288839,8479477,8479477,2023.07.13
81,Here Comes The Sun,Beatles,CAPITOL MUSIC GROUP,CAP ,23,87,95,323,3079570,-5.3,3252133,2981334,98236,76463283,723472972,2023.07.13
82,Lovers Rock,TV Girl,,,45,106,97,61,3076600,1.8,3022418,2952419,124181,91582541,267346939,2023.07.13
83,Shut Up and Dance,Walk The Moon, RCA,RCA,3,85,86,391,3031358,-7.3,3269176,2827461,203897,81225633,1092936975,2023.07.13
84,"Paint It, Black",Rolling Stones,ABKCO,ABK ,43,105,112,383,3029247,-0.4,3040724,2502863,526384,78586143,686573578,2023.07.13
