Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,week_of
38,Our Song,Taylor Swift,BIG MACHINE,BGMA,24,28,24,35,4421311,-17.1,5334507,2719764,1701547,59107541,329233742,2023.06.22
39,Oklahoma Smokeshow,Zach Bryan,Warner Records,WAR,13,37,39,49,4417389,-1.9,4503656,4160490,256899,94302589,181008735,2023.06.22
40,Everything I Love,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,6,38,35,21,4368454,-2.1,4464399,4258757,109697,152948403,152948403,2023.06.22
41,It Matters To Her,Scotty McCreery,THE ORCHARD,ORCH,34,40,34,28,4339433,-0.8,4376132,4289879,49554,60706795,74071475,2023.06.22
42,I Wrote The Book,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,6,36,38,21,4334370,-3.9,4508206,4136857,197513,154780435,154780435,2023.06.22
43,7 Summers,Morgan Wallen,BIG LOUD / REPUBLIC RECORDS,R-RR,1,42,57,149,4333597,1.0,4289844,4162666,170931,89111873,641774353,2023.06.22
44,Sand In My Boots,Morgan Wallen,BIG LOUD / REPUBLIC RECORDS,R-RR,1,48,44,128,4263952,1.3,4208485,4078378,185574,106439644,635304841,2023.06.22
45,Forever After All,Luke Combs,COLUMBIA NASHVILLE,CLNV,1,39,50,139,4189389,-4.5,4387691,3845816,343573,101486708,820920790,2023.06.22
46,All Your'N,Tyler Childers, RCA,RCA,21,46,60,176,4169192,-1.4,4228683,3974653,194539,92283472,375145717,2023.06.22
47,Heading South,Zach Bryan, WARNER Records,WAR ,24,45,46,26,4164830,-2.0,4247911,4023140,141690,97481310,337513443,2023.06.22
48,Man Made A Bar,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,8,43,43,16,4155006,-3.0,4285294,4037153,117853,112800182,112800182,2023.06.22
49,Feathered Indians,Tyler Childers,HICKMAN HOLLER RECORDS,HICK,31,51,54,204,4139101,-0.7,4169244,4011596,127505,91528216,559790315,2023.06.22
50,She Got the Best of Me,Luke Combs,COLUMBIA NASHVILLE,CLNV,3,50,56,264,4134091,-1.3,4188771,3945947,188144,89709033,1037271770,2023.06.22
51,Bury Me In Georgia,Kane Brown,RCA NASHVILLE,RCNA,51,54,61,12,4113589,4.1,3952639,3972727,140862,40461464,44314240,2023.06.22
52,All Too Well (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,1,49,47,84,4110257,-2.1,4197126,3857949,252308,92594606,439939544,2023.06.22
53,Cover Me Up,Morgan Wallen,BIG LOUD / REPUBLIC RECORDS,R-RR,7,52,59,213,4108971,-0.2,4118434,3777398,331573,105461726,801072795,2023.06.22
54,"Going, Going, Gone",Luke Combs,COLUMBIA NASHVILLE,CLNV,7,53,52,38,4079728,1.1,4035191,3923484,156244,155332982,216189819,2023.06.22
55,Chicken Fried,Zac Brown Band,Universal Music Enterprises,UME ,14,57,55,395,4046542,4.8,3862339,3790290,256252,78298646,919443774,2023.06.22
56,Fancy Like,Walker Hayes,MONU,MONU,1,64,49,105,4016291,11.5,3601450,3622341,393950,93263919,735650145,2023.06.22
57,Til You Can't,Cody Johnson,Warner Music Nashville,WNS,1,59,51,103,4006599,5.4,3800922,3697453,309146,97693503,444216457,2023.06.22
58,"Burn, Burn, Burn",Zach Bryan,Warner Records,WAR,14,55,62,41,3980073,1.8,3910212,3841962,138111,84718240,139233718,2023.06.22
59,Sunrise,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,12,44,42,16,3964487,-7.3,4275819,3719059,245428,100203706,100203706,2023.06.22
60,One Of Them Girls,Lee Brice,CURB,CURB,2,58,67,167,3951591,3.5,3819772,3690755,260836,78988424,640046867,2023.06.22
61,Body Like A Back Road,Sam Hunt,MCA NASHVILLE,MCAN,1,68,48,334,3845969,10.2,3490555,3669621,176348,84239555,1473182963,2023.06.22
62,5 Foot 9,Tyler Hubbard,MCA NASHVILLE,MCAN,6,71,65,57,3722104,9.0,3415230,3545973,176131,105582188,287995165,2023.06.22
63,Hurricane,Luke Combs,COLUMBIA NASHVILLE,CLNV,2,62,69,373,3707315,0.3,3695585,3426004,281311,81735590,1293442512,2023.06.22
64,What My World Spins Around,Jordan Davis,MCA NASHVILLE,MCAN,9,63,64,56,3706080,0.7,3681797,3511244,194836,108930006,246206552,2023.06.22
65,You Make It Easy,Jason Aldean,BROKEN BOW RECORDS,BB2,3,66,68,282,3691752,4.6,3530630,3617200,74552,83400702,1022042368,2023.06.22
66,'98 Braves,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,10,61,63,16,3676588,-1.0,3714125,3561933,114655,93843832,93843832,2023.06.22
67,Wagon Wheel,Darius Rucker,CAPITOL NASHVILLE,CAPN,20,60,53,395,3620113,-3.3,3744582,3180111,440002,85676875,1049707417,2023.06.22
68,Starting Over,Chris Stapleton,MERCURY NASHVILLE,MERN,1,65,75,147,3546002,0.2,3538966,3268811,277191,81861728,593594123,2023.06.22
69,Beer Never Broke My Heart,Luke Combs,COLUMBIA NASHVILLE,CLNV,1,72,71,216,3516919,3.8,3389218,3369375,147544,75432211,883552106,2023.06.22
70,Sun To Me,Zach Bryan,Warner Records,WAR,45,67,77,43,3488591,-0.4,3502671,3410589,78002,74057313,128688800,2023.06.22
71,Your Heart Or Mine,Jon Pardi,CAPITOL NASHVILLE,CAPN,69,69,86,33,3450683,0.9,3420462,3345230,105453,64918683,85153654,2023.06.22
72,Whiskey On You,Nate Smith,RCA NASHVILLE,RCNA,10,76,72,59,3382072,3.3,3273158,3308450,73622,103660394,268662568,2023.06.22
73,Handle On You,Parker Mccollum,MCA NASHVILLE,MCAN,20,75,58,46,3359308,0.8,3333902,3212594,146714,112098817,161707970,2023.06.22
74,Love Story (Taylor’s Version),Taylor Swift,REPUBLIC RECORDS,R-RR,1,77,81,100,3290409,1.5,3242357,2822049,468360,63583499,251354356,2023.06.22
75,Before He Cheats,Carrie Underwood,RCA LABEL GROUP SMG,RLSG,45,79,78,395,3214880,0.9,3185622,2918147,296733,77152237,672255864,2023.06.22
