Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,week_of
42,Why Not,Ghostface Playa,,,6,45,37,50,1982514,3.3,1918458,448010,1534504,58763948,116191846,2023.06.22
43,Rave,Dxrk,THE ORCHARD,ORCH,1,61,70,63,1952858,29.0,1513408,731127,1221731,27344459,125048207,2023.06.22
44,Midnight City,M83,CAPITOL MUSIC GROUP,CAP ,14,44,44,395,1934881,-2.0,1974907,1547352,387529,40411726,606117777,2023.06.22
45,Hurts Me,Santea2,,,45,,,1,1924082,458.2,344713,1909468,14614,2268795,2268795,2023.06.22
46,Happier,Marshmello & Bastille,ASTRALWERKS,ASTW,1,47,43,253,1889783,-0.3,1895623,1844465,45318,55826526,1730698145,2023.06.22
47,Silence,Marshmello Feat. Khalid, SONY MUSIC ENTERTAINMENT INC.,SMEI,1,51,54,306,1868656,5.9,1765322,1486963,381693,47991386,1041001468,2023.06.22
48,Where You Are,John Summit & Hayla, INDEPENDENT LABEL SUBMISSION,INDI,36,43,36,16,1835569,-10.6,2052115,1790334,45235,23405977,23405977,2023.06.22
49,Solitude (Felsmann + Tiley Reinterpretation),M83, MUTE,MTE ,3,20,38,47,1805364,-40.4,3027316,240348,1565016,59335996,107387723,2023.06.22
50,Lean On,Major Lazer & DJ Snake Feat. M0,THE ORCHARD,ORCH,1,52,45,395,1805340,3.1,1750477,1519701,285639,37551763,1183233761,2023.06.22
51,Waiting For Love,Avicii,ISLAND,ISL ,6,60,94,395,1795685,16.8,1537538,859492,936193,30033990,374064961,2023.06.22
52,Safari,Serena,,,32,140,154,33,1786109,122.0,804616,30345,1755764,21305200,51747274,2023.06.22
53,Fearless Pt. Ii,"Lost Sky, Chris Linton",,,53,65,140,8,1749868,21.1,1445555,185729,1564139,10422222,56850702,2023.06.22
54,I Am A Gummy Bear,Gummibar,RAD,RAD,2,49,46,395,1747841,-3.2,1805522,738691,1009150,40657793,1168117264,2023.06.22
55,Latch,Disclosure Feat. Sam Smith,INTERSCOPE/GEFFEN/A&M,INT ,15,50,47,395,1709758,-4.8,1795507,1542831,166927,43029401,582014746,2023.06.22
56,Smoke It Off! (Feat. Jnhygs),Lumi Athena,Vydia,VYD,32,54,53,9,1664738,0.1,1663243,1363883,300855,40179501,40797233,2023.06.22
57,Feel So Close,Calvin Harris,CAPITOL MUSIC GROUP,CAP ,10,53,56,395,1632241,-2.3,1671315,1578571,53670,36954362,443411395,2023.06.22
58,The Motto,Tiesto & Ava Max,ATLANTIC GROUP,ATLG,1,55,49,85,1581085,-4.8,1659990,1489377,91708,45784687,244389571,2023.06.22
59,Hands Up!,"6arelyhuman,Kets4eki",,,52,57,52,13,1577949,-1.1,1595749,1338534,239415,21960995,22049461,2023.06.22
60,Outside,Calvin Harris Feat. Ellie Goulding,Columbia Records,COL ,19,64,58,395,1505560,4.0,1448253,967291,538269,31116873,383344088,2023.06.22
61,Lily,"Alan Walker , K-391 & Emelie Hollow",SME/LEGACY RECORDINGS,LEGC,6,102,113,220,1503148,43.8,1044999,243691,1259457,19467633,253553300,2023.06.22
62,Neon Blade,Moondeity,THE ORCHARD,ORCH,4,59,48,52,1489902,-4.3,1556748,519358,970544,30580174,102452698,2023.06.22
