Rank,Song,Artist,TP Spins,+/- Chg. Spins,LP Spins,Stations,Adds,TP Audience,+/- Chg. Audience,LP Audience,TP Stream,week_of
1,Last Night,Morgan Wallen,7890,-48,7938,145,0,32868800,-87900,32956700,30828403,2023.06.22
2,Fast Car,Luke Combs,7706,1281,6425,145,0,31100200,4838800,26261400,21482246,2023.06.22
3,Next Thing You Know,Jordan Davis,7927,723,7204,145,0,30817400,3326900,27490500,8445921,2023.06.22
4,Dancin' In The Country,Tyler Hubbard,6372,-57,6429,145,0,28307500,-488400,28795900,6553301,2023.06.22
5,Memory Lane,Old Dominion,6239,180,6059,145,0,23874200,831800,23042400,7134368,2023.06.22
6,"You, Me, And Whiskey",Justin Moore & Priscilla Block,5582,437,5145,145,0,20380700,1577400,18803300,3187414,2023.06.22
7,Tennessee Orange,Megan Moroney,5133,-2246,7379,145,0,19586700,-7310700,26897400,7124193,2023.06.22
8,Need A Favor,Jelly Roll,5515,599,4916,144,0,19579500,2045400,17534100,11042808,2023.06.22
9,Your Heart Or Mine,Jon Pardi,5118,251,4867,145,0,18304200,959000,17345200,3978215,2023.06.22
10,Love You Anyway,Luke Combs,4815,661,4154,145,0,17430600,1874200,15556400,7385560,2023.06.22
11,Bury Me In Georgia,Kane Brown,4191,425,3766,144,0,16286900,1822700,14464200,4697955,2023.06.22
12,Angels,Thomas Rhett,4133,267,3866,145,0,14784600,1685100,13099500,1950752,2023.06.22
13,Girl In Mine,Parmalee,3774,215,3559,144,0,12962100,1360000,11602100,3445334,2023.06.22
14,Religiously,Bailey Zimmerman,3224,598,2626,145,0,11826100,2523600,9302500,9861075,2023.06.22
15,Drinkaby,Cole Swindell,3397,361,3036,145,0,10939900,1534700,9405200,2698126,2023.06.22
16,Standing Room Only,Tim McGraw,3183,220,2963,145,0,9809500,923300,8886200,2598681,2023.06.22
17,Everything She Ain't,Hailey Whitters,3035,9,3026,145,0,9243900,36000,9207900,2812212,2023.06.22
18,Looking For You,Chris Young,2901,212,2689,145,0,8926100,992700,7933400,2786134,2023.06.22
19,But I Got A Beer In My Hand,Luke Bryan,2453,513,1940,142,0,8727600,1914000,6813600,2817617,2023.06.22
20,Can'T Have Mine,Dylan Scott,2531,137,2394,144,0,7025100,578600,6446500,3095051,2023.06.22
21,God Gave Me A Girl,Russell Dickerson,2217,267,1950,139,0,6853200,1230500,5622700,1531904,2023.06.22
22,Something In The Orange,Zach Bryan,2280,46,2234,135,0,6789000,-42700,6831700,15804904,2023.06.22
23,Watermelon Moonshine,Lainey Wilson,1946,450,1496,141,0,6630100,1442800,5187300,3251108,2023.06.22
24,We Don'T Fight Anymore,Carly Pearce,1428,1422,6,106,0,6190400,6178600,11800,3205449,2023.06.22
25,If You Go Down (I'M Going Down Too),Kelsea Ballerini,2416,390,2026,145,0,6101700,1194500,4907200,2480053,2023.06.22
26,Try That In A Small Town,Jason Aldean,1504,62,1442,125,0,5195900,612400,4583500,1755871,2023.06.22
27,All I Need Is You,Chris Janson,2060,160,1900,137,0,4832200,587800,4244400,1265762,2023.06.22
28,We Got History,Mitchell Tenpenny,1626,173,1453,133,0,4787300,702900,4084400,2243559,2023.06.22
29,Stars Like Confetti,Dustin Lynch,1826,93,1733,137,0,4623500,173300,4450200,1674189,2023.06.22
30,Light On In The Kitchen,Ashley McBryde,1698,146,1552,141,0,3972500,442300,3530200,1141129,2023.06.22
31,Nobody's Nobody,Brothers Osborne,1271,-51,1322,134,0,3218900,32700,3186200,1691009,2023.06.22
32,Mind On You,George Birge,1288,57,1231,135,0,3146500,337900,2808600,199277,2023.06.22
33,23,Chayce Beckham,1256,152,1104,104,0,2975800,116900,2858900,2674022,2023.06.22
34,Creek Will Rise,Conner Smith,1509,205,1304,141,0,2917700,219100,2698600,1047691,2023.06.22
35,Fearless,Jackson Dean,1424,86,1338,141,0,2870200,65800,2804400,1033252,2023.06.22
36,Different 'Round Here,Riley Green,967,48,919,98,0,2728900,174900,2554000,1707123,2023.06.22
37,Heaven By Then,Brantley Gilbert & Blake Shelton Feat. Vince Gill,1285,100,1185,137,0,2454400,-7900,2462300,729820,2023.06.22
38,Glory Days,Gabby Barrett,830,-143,973,98,0,2408100,-1859000,4267100,1358907,2023.06.22
39,Fires Don'T Start Themselves,Darius Rucker,882,60,822,94,0,2360200,160000,2200200,985997,2023.06.22
40,If He Wanted To He Would,Kylie Morgan,1201,28,1173,130,0,2344200,-172800,2517000,2326585,2023.06.22
41,See You Next Summer,Brian Kelley,811,60,751,87,0,2067900,-165100,2233000,388674,2023.06.22
42,Truck Bed,Hardy,770,65,705,72,0,1908900,455400,1453500,5856994,2023.06.22
43,On The Boat Again,Jake Owen,626,93,533,87,0,1742000,313500,1428500,634810,2023.06.22
44,Over For You,Morgan Evans,729,38,691,69,0,1649500,-32700,1682200,2153748,2023.06.22
45,Thinkin' Bout Me,Morgan Wallen,484,89,395,24,0,1601700,308500,1293200,14580912,2023.06.22
46,Save Me (With Lainey Wilson),Jelly Roll,379,-20,399,33,0,1455400,219000,1236400,5701194,2023.06.22
47,Drive You Out Of My Mind,Kassi Ashton,711,37,674,74,0,1445000,157700,1287300,1159312,2023.06.22
48,Everything I Love,Morgan Wallen,339,243,96,32,0,1432500,959700,472800,4747908,2023.06.22
49,Out Of That Truck,Carrie Underwood,509,75,434,54,0,1387400,261500,1125900,3032809,2023.06.22
50,Giving Up On That,Dalton Dover,722,-12,734,81,0,1345600,54900,1290700,1613338,2023.06.22
51,Shoot Tequila,Tigirlily Gold,557,37,520,63,0,1113300,138100,975200,307694,2023.06.22
52,Bout Damn Time,Neon Union,613,24,589,65,0,956400,60700,895700,51306,2023.06.22
53,Burn It Down,Parker Mccollum,269,139,130,49,0,939900,384400,555500,3137210,2023.06.22
54,World On Fire,Nate Smith,502,65,437,61,0,917300,179400,737900,2888934,2023.06.22
55,Somebody Else's Whiskey,Frank Ray,537,26,511,61,0,913800,67800,846000,29668,2023.06.22
56,Bad Day To Be A Cold Beer,Chase Rice,477,23,454,55,0,871100,34900,836200,303358,2023.06.22
57,Marry That Girl,Easton Corbin,496,34,462,62,0,847500,32000,815500,163879,2023.06.22
58,If I Die Young (Pt. 2),Kimberly Perry,431,1,430,81,0,804500,-4600,809100,1701257,2023.06.22
59,Love You Again,Chase Matthew,337,-1,338,49,0,649000,5900,643100,2848726,2023.06.22
60,Jealous Of Myself,Tenille Arts,377,33,344,53,0,586900,69000,517900,60600,2023.06.22
61,'98 Braves,Morgan Wallen,93,2,91,3,0,578000,7100,570900,3763748,2023.06.22
62,Without You,Thompson Square,399,33,366,61,0,577900,111600,466300,23181,2023.06.22
63,Along For The Ride,Jordan Harvey,276,-25,301,48,0,315100,-9900,325000,66836,2023.06.22
64,Lawless,Caroline Jones,57,12,45,56,0,304700,204400,100300,56027,2023.06.22
65,Life Goes On,Ed Sheeran,43,-6,49,3,0,301000,-15000,316000,2403362,2023.06.22
66,Save The Roses,Lee Brice,168,6,162,26,0,269500,73400,196100,873870,2023.06.22
67,I Just Killed A Man,Catie Offerman,232,23,209,31,0,265500,-1000,266500,102173,2023.06.22
68,Buy A Bar,Tim Dugger,134,-22,156,21,0,263700,-34700,298400,24367,2023.06.22
69,Heart To Break,Ryan Griffin,218,9,209,28,0,214200,-26400,240600,194764,2023.06.22
70,Trouble,Josh Ross,216,112,104,42,0,210000,122500,87500,1472905,2023.06.22
71,So Will I,Phillip Phillips,37,,,37,0,175200,,,114304,2023.06.22
72,How Is She,Cole Swindell,27,0,27,2,0,171300,-21400,192700,93312,2023.06.22
73,Wine Country,Hannah Ellis,72,63,9,28,0,146600,120200,26400,55291,2023.06.22
74,Drink One For Me,Hardy,14,-1,15,1,0,137800,7300,130500,197971,2023.06.22
75,Brokenhearted,Joe Nichols,71,53,18,13,0,136700,86100,50600,14270,2023.06.22
76,Make You Mine,Marynn Taylor,183,-5,188,31,0,136000,-7700,143700,69581,2023.06.22
77,Lovin You Gets In The Way,Ben Gallaher,93,-5,98,16,0,130300,-1800,132100,9635,2023.06.22
78,5 Leaf Clover,Luke Combs,21,1,20,3,0,118300,24700,93600,3541034,2023.06.22
79,Oklahoma Smokeshow,Zach Bryan,33,-5,38,2,0,115400,-34900,150300,4781240,2023.06.22
80,Psychopath,Morgan Wade,49,,,48,0,111600,,,307640,2023.06.22
81,Sun To Me,Zach Bryan,41,-6,47,4,0,107700,-41700,149400,4180900,2023.06.22
82,Colorado,Florida Georgia Line,18,4,14,2,0,107600,11800,95800,74316,2023.06.22
83,With You I Am,Cody Johnson,8,0,8,2,0,106500,34200,72300,1279376,2023.06.22
84,Anybody But You,Lauren Watkins,49,,,48,0,106300,,,40027,2023.06.22
85,Pretty Little Poison,Warren Zeiders,47,16,31,6,0,102700,44800,57900,3328266,2023.06.22
86,Wasting All These Tears,Austin Snell,13,0,13,2,0,101300,18600,82700,880689,2023.06.22
87,Fix A Drink (Live 2023),Chris Janson,46,,,46,0,89100,,,0,2023.06.22
87,Buy Me A Boat (Live 2023),Chris Janson,46,,,46,0,89100,,,0,2023.06.22
87,Every Day Of The Week,Chris Janson,46,,,46,0,89100,,,0,2023.06.22
87,Outlaw Side Of Me,Chris Janson,46,,,46,0,89100,,,0,2023.06.22
87,Good Vibes (Live 2023),Chris Janson,46,,,46,0,89100,,,0,2023.06.22
92,Grease,Lainey Wilson,23,-4,27,2,0,87600,-15500,103100,256872,2023.06.22
93,Thicc As Thieves,Lauren Alaina,35,21,14,9,0,81800,42600,39200,667161,2023.06.22
94,Damn Love,Kip Moore,139,-17,156,25,0,81400,-26900,108300,750197,2023.06.22
95,Best Of Me,David Nail,23,1,22,1,0,77800,5200,72600,13201,2023.06.22
96,One Of Us,Matt Stell,18,4,14,3,0,72100,42100,30000,771198,2023.06.22
97,Cowgirls,Morgan Wallen,28,21,7,16,0,63900,36600,27300,7110250,2023.06.22
98,Ain't That Some,Morgan Wallen,19,-3,22,3,0,63100,2900,60200,6369271,2023.06.22
99,A Walk In The Bar,Lauren Alaina,16,-8,24,1,0,61900,-61600,123500,692553,2023.06.22
100,Tulsa,Elle King,23,-1,24,2,0,59200,200,59000,74789,2023.06.22
101,Daylight Savings,Kidd G,31,-58,89,18,0,52100,-59100,111200,271448,2023.06.22
102,I'M Not For Everyone,Brothers Osborne,15,7,8,3,0,48200,7900,40300,530324,2023.06.22
103,Out Of Nowhere,Walker Montgomery,11,0,11,1,0,48000,3600,44400,15173,2023.06.22
104,Something Real,Dierks Bentley,20,15,5,6,0,47900,24400,23500,443800,2023.06.22
105,You In A Honky Tonk,Randall King,4,-1,5,2,0,47800,2400,45400,517611,2023.06.22
106,Drinkin' Problems,Dillon Carmichael,25,,,8,0,46300,,,191302,2023.06.22
107,A Special Place,Danielle Bradbery,36,-9,45,7,0,45700,-46900,92600,377487,2023.06.22
108,The Star-Spangled Banner,Chris Stapleton,13,-2,15,11,0,45500,-52200,97700,0,2023.06.22
109,Question The Universe,Teddy Robb,78,22,56,19,0,43600,11400,32200,8060,2023.06.22
110,I Hope Heaven,Karissa Ella,76,16,60,19,0,43200,10300,32900,0,2023.06.22
111,Firebird,Jordan Fletcher,76,1,75,19,0,43200,200,43000,5149,2023.06.22
112,"Love, Beer",Andrew Sevener,76,0,76,19,0,43200,0,43200,1590,2023.06.22
113,We Ain't The Only Ones,Randy Rogers & Wade Bowen,4,2,2,2,0,42900,22700,20200,0,2023.06.22
114,Sun Sets In Colorado,Dierks Bentley,15,-6,21,2,0,40200,-27400,67600,51820,2023.06.22
115,Holy Water,Michael Ray,10,1,9,2,0,37800,-7400,45200,326632,2023.06.22
116,Girl On Fire,Kameron Marlowe,2,0,2,1,0,36400,27400,9000,1000306,2023.06.22
117,Lovin' Where It's Goin',Josh Ward,2,,,1,0,33200,,,46063,2023.06.22
118,I'M Not Pretty,Megan Moroney,14,7,7,13,0,33000,13500,19500,2002448,2023.06.22
119,3 Tequila Floor,Josiah Siska,25,-14,39,6,0,33000,-11200,44200,13454,2023.06.22
120,Whatcha Looking At,Curves,54,13,41,14,0,32800,8400,24400,5244,2023.06.22
121,Too Much Of A Woman,Roberta Lea,58,24,34,19,0,32600,12000,20600,0,2023.06.22
122,Pretender,Sarah Darling,57,-4,61,19,0,32400,-700,33100,570,2023.06.22
123,In Her Shoes,Sophia Scott,57,-18,75,19,0,32400,-10300,42700,6209,2023.06.22
124,Sparkle,Harper Grace,56,-16,72,19,0,32200,-10200,42400,25093,2023.06.22
125,Dance With You,Brett Young,11,,,7,0,32200,,,1939183,2023.06.22
126,Giving You Up,Kameron Marlowe,7,1,6,2,0,31900,2500,29400,1079015,2023.06.22
127,Still,Luke Combs,12,4,8,1,0,31400,-600,32000,649596,2023.06.22
128,Neon You,Don Louis,3,-1,4,1,0,27200,-31900,59100,76341,2023.06.22
129,Heartfirst,Kelsea Ballerini,9,0,9,1,0,27100,-3500,30600,817525,2023.06.22
130,Star Spangled Banner,Abby Anderson,3,-2,5,3,0,26500,500,26000,0,2023.06.22
131,Man Made A Bar,Morgan Wallen,5,1,4,3,0,25700,13500,12200,4793694,2023.06.22
132,Feel For You,Boy Named Banjo,13,4,9,1,0,24900,8300,16600,45917,2023.06.22
133,How I Get High,Josh Kaiser,42,-9,51,14,0,24900,-6400,31300,0,2023.06.22
134,Wrong Side Of A Sunrise,Adam Doleac,10,,,1,0,24700,,,161129,2023.06.22
135,Settle Me Down,Josh Abbott Band,3,2,1,2,0,23300,17200,6100,547369,2023.06.22
136,Forever Bound,12/Oc,12,-1,13,1,0,22900,-6800,29700,7338,2023.06.22
137,For What It's Worth,Breland,12,-1,13,2,0,22700,4200,18500,2448669,2023.06.22
138,Granny's Got A Garden (For G'maw Jan),Kameron Marlowe,2,-1,3,1,0,22700,-4300,27000,0,2023.06.22
139,Feel Like This,Ingrid Andress,28,-45,73,4,0,22200,-40800,63000,1677061,2023.06.22
140,Those Boots (Deddy's Song),Lainey Wilson,4,,,4,0,22100,,,175377,2023.06.22
141,Loud and Heavy,Cody Jinks,8,-5,13,3,0,21900,8900,13000,2051943,2023.06.22
142,Seven Year Ache,Aaron Watson & Jenna Paulette,8,-2,10,2,0,19800,-17300,37100,0,2023.06.22
143,Young Man's Blues,Parker Mccollum,3,-1,4,1,0,19400,-5500,24900,501408,2023.06.22
144,Heart Of A Small Town,Tim Dugger,3,2,1,1,0,19100,10700,8400,21164,2023.06.22
145,More Than Me,Justin Moore,4,,,4,0,18900,,,78775,2023.06.22
146,Tuggin' On My Heartstrings,Randall King,2,-3,5,1,0,18800,-24000,42800,23541,2023.06.22
147,I Bet You Think About Me (Taylor's Version) (From The Vault),Taylor Swift Feat. Chris Stapleton,4,,,2,0,18700,,,1178881,2023.06.22
148,"Salt, Lime & Tequila",Ryan Griffin,2,0,2,1,0,18200,9500,8700,136796,2023.06.22
149,Wind It Down,Hayden Haddock,1,,,1,0,18200,,,304,2023.06.22
149,Misunderstood,Parker Mccollum,1,,,1,0,18200,,,279380,2023.06.22
151,Stop Coming Over,Chris Lane,7,1,6,6,0,17400,3100,14300,53715,2023.06.22
152,Heartless,Diplo & Julia Michaels Feat. Morgan Wallen,3,1,2,3,0,17300,7600,9700,6674750,2023.06.22
153,Songs We Used To Sing,Ernest,6,-6,12,1,0,16600,-8000,24600,87901,2023.06.22
154,Longneck Way To Go,Midland Feat. Jon Pardi,5,-5,10,1,0,16100,-34200,50300,193824,2023.06.22
155,Something's Gonna Kill Me,Corey Kent,3,,,2,0,15600,,,3802601,2023.06.22
156,Any Given Friday Night,Luke Combs,2,0,2,1,0,15200,0,15200,343093,2023.06.22
157,Me And Jack,Jon Pardi,2,,,1,0,15200,,,78620,2023.06.22
158,Am I The Only One,Aaron Lewis,3,0,3,3,0,14500,3700,10800,800316,2023.06.22
159,When Will I Be Loved,"Ashley McBryde, Caylee Hammack & Pillbox Patti",6,1,5,6,0,14300,3100,11200,43646,2023.06.22
160,Hungover You,Emily Brooke,6,0,6,6,0,14300,0,14300,831,2023.06.22
161,Halfway To Hell,Jelly Roll,6,,,6,0,14300,,,2664651,2023.06.22
161,Peaked In High School,Priscilla Block,6,,,6,0,14300,,,19174,2023.06.22
161,Every Single Summer,Marynn Taylor,6,,,6,0,14300,,,3328,2023.06.22
164,National Anthem From Battle At Bristol,Jennifer Nettles,4,0,4,4,0,13700,-9800,23500,0,2023.06.22
165,One Name,Jeff & Sheri Easter,2,0,2,2,0,13300,900,12400,20146,2023.06.22
166,Scars In Heaven,Nelons,2,1,1,2,0,12800,7500,5300,5514,2023.06.22
167,My Bar,Priscilla Block,3,-2,5,3,0,12800,-5200,18000,214219,2023.06.22
168,Can I Get A Witness,Sound,2,,,2,0,12800,,,2611,2023.06.22
169,Think About There,Greater Vision,2,1,1,2,0,12400,7500,4900,2633,2023.06.22
169,The Building,Emily Ann Roberts,2,1,1,2,0,12400,7500,4900,49257,2023.06.22
171,I Call It Home,Tribute Quartet,2,,,2,0,12400,,,1529,2023.06.22
172,The Night You Walked Away,Costello,2,1,1,1,0,12200,6100,6100,37,2023.06.22
173,"The Father, My Son, And The Holy Ghost",Craig Morgan,2,,,1,0,11600,,,61149,2023.06.22
174,I Wrote The Book,Morgan Wallen,2,,,2,0,11500,,,5521653,2023.06.22
175,White House Road,Tyler Childers & The Highwall,3,-1,4,1,0,11300,500,10800,3098505,2023.06.22
176,When It Comes To Loving You,Jon Langston,2,0,2,2,0,11000,-5800,16800,131233,2023.06.22
177,Waxahachie,Miranda Lambert,8,-2,10,1,0,10800,-1400,12200,83429,2023.06.22
178,Wild as You,Cody Johnson,3,0,3,3,0,10500,-5100,15600,1186141,2023.06.22
179,That Heavenly Home,Tribute Quartet,2,1,1,2,0,10200,4900,5300,1478,2023.06.22
180,Inside And Out,Tyler Hubbard,3,2,1,2,0,9900,6800,3100,112270,2023.06.22
181,You'Re Gonna Love Me,Tim Dugger,2,0,2,1,0,9700,7100,2600,10998,2023.06.22
182,Better Off,Trace Adkins,2,-1,3,1,0,9700,-3200,12900,16836,2023.06.22
183,Star Spangled Banner,Demi Lovato,1,0,1,1,0,9400,7900,1500,100,2023.06.22
184,Get To Gettin’ Gone,Bailey Zimmerman,3,0,3,1,0,9300,0,9300,1617690,2023.06.22
185,Cover Me Up,Morgan Wallen,2,-1,3,2,0,9300,1400,7900,4807257,2023.06.22
186,I'm Feelin' Good (Steve Miller Band),King Calaway,16,-5,21,1,0,9300,-11200,20500,2787,2023.06.22
187,The Man Who Loves You The Most,Zac Brown Band,1,,,1,0,9200,,,90630,2023.06.22
188,Nothin' On You,Cody Johnson,2,0,2,1,0,8800,0,8800,1287091,2023.06.22
189,BELLS,Rachelle Garniez,1,0,1,1,0,8700,0,8700,0,2023.06.22
190,Love Is Real,Morgan Evans,4,-1,5,1,0,8600,-4700,13300,64257,2023.06.22
191,Soundtrack To A Small Town Sundown,Tyler Farr,1,0,1,1,0,8400,7100,1300,14712,2023.06.22
192,Joy Unspeakable,Kim Hopper,1,0,1,1,0,8400,3500,4900,160,2023.06.22
193,Silverado For Sale,Morgan Wallen,1,,,1,0,8400,,,1564510,2023.06.22
193,Breakthrough,Browns,1,,,1,0,8400,,,9449,2023.06.22
193,I'Ll Fly Away,Randall King,1,,,1,0,8400,,,34121,2023.06.22
196,By The Mark In His Hands,Doyle Lawson & Quicksilver,1,,,1,0,8100,,,0,2023.06.22
197,Paradise To Me,Niko Moon,4,2,2,1,0,7600,3500,4100,671283,2023.06.22
198,Nervous,Maren Morris,1,,,1,0,7600,,,64852,2023.06.22
198,Workin' On It,Michael Ray,1,,,1,0,7600,,,169740,2023.06.22
200,God Only Knows,for King & Country,1,-2,3,1,0,7500,-10600,18100,1115319,2023.06.22
201,My Jesus,Anne Wilson,1,,,1,0,7500,,,1337149,2023.06.22
201,Chain Breaker,Triumphant Quartet,1,,,1,0,7500,,,0,2023.06.22
201,PEACE LIKE A RIVER,Master's Voice,1,,,1,0,7500,,,203,2023.06.22
201,Looks Like Jesus,Brian Free & Assurance,1,,,1,0,7500,,,2117,2023.06.22
201,Gettin' Ready To Breathe,Wes Hampton,1,,,1,0,7500,,,21390,2023.06.22
201,Give It To Jesus,3 Heath Brothers,1,,,1,0,7500,,,468,2023.06.22
1,Fast Car,Luke Combs,8251,545,7706,145,0,33355600,2255400,31100200,22551816,2023.06.29
2,Next Thing You Know,Jordan Davis,8405,478,7927,145,0,33111600,2294200,30817400,8923214,2023.06.29
3,Last Night,Morgan Wallen,7895,5,7890,145,0,32840700,-28100,32868800,30514107,2023.06.29
4,Dancin' In The Country,Tyler Hubbard,6226,-146,6372,145,0,28129100,-178400,28307500,6762504,2023.06.29
5,Memory Lane,Old Dominion,6550,311,6239,145,0,25332500,1458300,23874200,8637147,2023.06.29
6,"You, Me, And Whiskey",Justin Moore & Priscilla Block,6067,485,5582,145,0,22420000,2039300,20380700,3380023,2023.06.29
7,Need A Favor,Jelly Roll,6118,603,5515,144,0,22398000,2818500,19579500,11567413,2023.06.29
8,Your Heart Or Mine,Jon Pardi,5457,339,5118,145,0,19453600,1149400,18304200,4121301,2023.06.29
9,Love You Anyway,Luke Combs,5011,196,4815,145,0,18297700,867100,17430600,7296025,2023.06.29
10,Bury Me In Georgia,Kane Brown,4695,504,4191,145,0,18290800,2003900,16286900,6755697,2023.06.29
11,Angels,Thomas Rhett,4196,63,4133,145,0,15401400,616800,14784600,1981415,2023.06.29
12,Girl In Mine,Parmalee,3903,129,3774,144,0,13794000,831900,12962100,2934555,2023.06.29
13,Religiously,Bailey Zimmerman,3344,120,3224,145,0,12514300,688200,11826100,10748484,2023.06.29
14,Drinkaby,Cole Swindell,3431,34,3397,145,0,11350200,410300,10939900,2579915,2023.06.29
15,Standing Room Only,Tim McGraw,3270,87,3183,145,0,10350900,541400,9809500,3293934,2023.06.29
16,Looking For You,Chris Young,3193,292,2901,145,0,10195800,1269700,8926100,2407886,2023.06.29
17,But I Got A Beer In My Hand,Luke Bryan,2728,275,2453,143,0,9672200,944600,8727600,2660553,2023.06.29
18,Everything She Ain't,Hailey Whitters,3125,90,3035,145,0,9513300,269400,9243900,2762258,2023.06.29
19,God Gave Me A Girl,Russell Dickerson,2402,185,2217,140,0,8077500,1224300,6853200,1475555,2023.06.29
20,Can'T Have Mine,Dylan Scott,2699,168,2531,145,0,7983700,958600,7025100,3195557,2023.06.29
21,Watermelon Moonshine,Lainey Wilson,2251,305,1946,140,0,7336700,706600,6630100,4626585,2023.06.29
22,If You Go Down (I'M Going Down Too),Kelsea Ballerini,2630,214,2416,145,0,7156100,1054400,6101700,2521265,2023.06.29
23,Something In The Orange,Zach Bryan,2209,-71,2280,135,0,6818100,29100,6789000,16165734,2023.06.29
24,Try That In A Small Town,Jason Aldean,1597,93,1504,128,0,5268300,72400,5195900,1623295,2023.06.29
25,Stars Like Confetti,Dustin Lynch,1951,125,1826,138,0,5246700,623200,4623500,1683015,2023.06.29
26,We Got History,Mitchell Tenpenny,1669,43,1626,133,0,5157400,370100,4787300,2199237,2023.06.29
27,All I Need Is You,Chris Janson,2101,41,2060,138,0,5042700,210500,4832200,1118292,2023.06.29
28,Light On In The Kitchen,Ashley McBryde,1871,173,1698,142,0,4612700,640200,3972500,1215021,2023.06.29
29,Nobody's Nobody,Brothers Osborne,1402,131,1271,134,0,3526700,307800,3218900,1749840,2023.06.29
30,23,Chayce Beckham,1292,36,1256,110,0,3408200,432400,2975800,2745583,2023.06.29
31,Creek Will Rise,Conner Smith,1499,-10,1509,143,0,3290300,372600,2917700,1143130,2023.06.29
32,Everything I Love,Morgan Wallen,781,442,339,76,0,3213600,1781100,1432500,4798937,2023.06.29
33,Fearless,Jackson Dean,1527,103,1424,142,0,3110000,239800,2870200,1089008,2023.06.29
34,Mind On You,George Birge,1316,28,1288,135,0,3058100,-88400,3146500,197377,2023.06.29
35,Glory Days,Gabby Barrett,957,127,830,111,0,2962100,554000,2408100,2109375,2023.06.29
36,Different 'Round Here,Riley Green,972,5,967,94,0,2755100,26200,2728900,1764258,2023.06.29
37,Fires Don'T Start Themselves,Darius Rucker,925,43,882,98,0,2370500,10300,2360200,1071061,2023.06.29
38,See You Next Summer,Brian Kelley,879,68,811,94,0,2270700,202800,2067900,350347,2023.06.29
39,Heaven By Then,Brantley Gilbert & Blake Shelton Feat. Vince Gill,1113,-172,1285,136,0,2235000,-219400,2454400,708399,2023.06.29
40,Truck Bed,Hardy,816,46,770,77,0,2185800,276900,1908900,5639452,2023.06.29
41,On The Boat Again,Jake Owen,674,48,626,87,0,1866500,124500,1742000,823649,2023.06.29
42,Over For You,Morgan Evans,693,-36,729,69,0,1684200,34700,1649500,1791403,2023.06.29
43,Thinkin' Bout Me,Morgan Wallen,485,1,484,27,0,1614200,12500,1601700,15041387,2023.06.29
44,Out Of That Truck,Carrie Underwood,602,93,509,60,0,1588900,201500,1387400,3299299,2023.06.29
45,Drive You Out Of My Mind,Kassi Ashton,723,12,711,76,0,1501400,56400,1445000,1099155,2023.06.29
46,Save Me (With Lainey Wilson),Jelly Roll,372,-7,379,29,0,1390200,-65200,1455400,5435349,2023.06.29
47,Giving Up On That,Dalton Dover,733,11,722,80,0,1374300,28700,1345600,1069779,2023.06.29
48,World On Fire,Nate Smith,592,90,502,64,0,1360700,443400,917300,4218991,2023.06.29
49,Burn It Down,Parker Mccollum,444,175,269,53,0,1353900,414000,939900,3062796,2023.06.29
50,We Don'T Fight Anymore,Carly Pearce,561,-867,1428,82,0,1303800,-4886600,6190400,2737945,2023.06.29
51,Shoot Tequila,Tigirlily Gold,546,-11,557,64,0,1160200,46900,1113300,956031,2023.06.29
52,Bout Damn Time,Neon Union,634,21,613,74,0,1129000,172600,956400,50874,2023.06.29
53,Somebody Else's Whiskey,Frank Ray,544,7,537,63,0,945800,32000,913800,33954,2023.06.29
54,Marry That Girl,Easton Corbin,512,16,496,60,0,927100,79600,847500,166558,2023.06.29
55,Bad Day To Be A Cold Beer,Chase Rice,483,6,477,58,0,855400,-15700,871100,301207,2023.06.29
56,If I Die Young (Pt. 2),Kimberly Perry,425,-6,431,91,0,729100,-75400,804500,1440165,2023.06.29
57,Jealous Of Myself,Tenille Arts,401,24,377,51,0,700300,113400,586900,55931,2023.06.29
58,Love You Again,Chase Matthew,333,-4,337,38,0,676900,27900,649000,2910796,2023.06.29
59,Without You,Thompson Square,402,3,399,53,0,603800,25900,577900,24336,2023.06.29
60,'98 Braves,Morgan Wallen,90,-3,93,2,0,572500,-5500,578000,3955523,2023.06.29
61,Save The Roses,Lee Brice,213,45,168,34,0,511400,241900,269500,744483,2023.06.29
62,Make Me Wanna Smoke,Runaway June,57,,,56,0,302900,,,39418,2023.06.29
63,Buy A Bar,Tim Dugger,133,-1,134,20,0,279500,15800,263700,24253,2023.06.29
64,Along For The Ride,Jordan Harvey,247,-29,276,43,0,275800,-39300,315100,59333,2023.06.29
65,Trouble,Josh Ross,238,22,216,45,0,269400,59400,210000,1520503,2023.06.29
66,Heart To Break,Ryan Griffin,209,-9,218,42,0,267600,53400,214200,175965,2023.06.29
67,I Just Killed A Man,Catie Offerman,230,-2,232,40,0,255700,-9800,265500,104631,2023.06.29
68,Pretty Little Poison,Warren Zeiders,78,31,47,7,0,240600,137900,102700,3559930,2023.06.29
69,Wine Country,Hannah Ellis,172,100,72,43,0,237700,91100,146600,69266,2023.06.29
70,Brokenhearted,Joe Nichols,150,79,71,25,0,204300,67600,136700,11015,2023.06.29
71,Something Real,Dierks Bentley,104,84,20,32,0,198200,150300,47900,585999,2023.06.29
72,Lovin You Gets In The Way,Ben Gallaher,97,4,93,16,0,192900,62600,130300,11542,2023.06.29
73,Drink One For Me,Hardy,19,5,14,1,0,189500,51700,137800,193384,2023.06.29
74,Make You Mine,Marynn Taylor,218,35,183,40,0,175800,39800,136000,80771,2023.06.29
