Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,Genre,Release Date,TW Total Activity,% Chg Total Activity,LW Total Activity,TW Song Sales,TW On-Demand Audio Streams,TW On-Demand Video Streams,TW Total SES (Audio + Video),week_of
37,Bye,Peso Pluma,THE ORCHARD,ORCH,33,34,33,4,Latin,05/18/2023,62442,-2.2,63871,202,8260813,1480125,62240,2023.06.22
38,Rock And A Hard Place,Bailey Zimmerman,Warner Music Nashville,WNS,11,40,36,54,Country,06/10/2022,61693,2.4,60274,1326,7739629,754820,60367,2023.06.22
39,Thought You Should Know,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,9,41,40,59,Country,04/29/2022,61392,2.4,59981,1581,7584819,716803,59811,2023.06.22
40,Sure Thing,Miguel, RCA,RCA,12,39,38,35,R&B/Hip-Hop,07/30/2010,60296,-0.7,60714,1393,7849647,707444,58903,2023.06.22
41,Calling (Spider-Man: Across The Spider-Verse),"Metro Boomin, Swae Lee & Nav Feat. A Boogie Wit Da Hoodie",REPUBLIC RECORDS,R-RR,23,24,23,3,R&B/Hip-Hop,06/01/2023,59665,-18.4,73087,330,7853754,432686,59335,2023.06.22
42,Boy's A Liar,Pinkpantheress,NEW ELEKTRA,NELK,1,37,34,21,Pop,11/24/2022,58611,-5.1,61772,668,8175565,788134,57943,2023.06.22
43,Annihilate,"Metro Boomin, Swae Lee, Lil Wayne & Offset",REPUBLIC RECORDS,R-RR,25,26,25,3,R&B/Hip-Hop,06/02/2023,58143,-19.8,72519,503,7525318,743988,57640,2023.06.22
44,One Thing At A Time,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,9,42,37,29,Country,12/02/2022,57516,-1.6,58449,1204,7228745,272639,56312,2023.06.22
45,As It Was,Harry Styles,Columbia Records,COL ,1,48,46,64,Pop,03/30/2022,56695,4.1,54488,886,7359594,538222,55809,2023.06.22
46,Self Love,"Metro Boomin, Coi Leray",REPUBLIC RECORDS,R-RR,36,36,51,3,R&B/Hip-Hop,06/02/2023,56174,-10.5,62749,486,7337451,397018,55688,2023.06.22
47,Ca$h $hit,Gunna,300 ENTERTAINME,300E,47,,,1,R&B/Hip-Hop,06/16/2023,56066,,,112,7120143,280024,55954,2023.06.22
48,Creepin',"Metro Boomin, The Weeknd & 21 Savage",REPUBLIC RECORDS,R-RR,2,43,44,29,R&B/Hip-Hop,12/02/2022,55825,-2.7,57352,598,7406243,402866,55227,2023.06.22
49,Bottom,Gunna,300 ENTERTAINME,300E,49,,,1,R&B/Hip-Hop,06/16/2023,55496,,,109,7044438,286641,55387,2023.06.22
50,Daylight,David Kushner,DAVID KUSHNER,DVK,28,47,48,10,Pop,03/29/2023,54616,-0.3,54777,1409,6995398,654205,53207,2023.06.22
51,Am I Dreaming,"Metro Boomin, A$ap Rocky & Roisee",REPUBLIC RECORDS,R-RR,31,32,31,3,R&B/Hip-Hop,06/02/2023,53661,-17.5,65025,858,6802445,553509,52803,2023.06.22
52,Golden Hour,Jvke,AWAL,AWAL,10,52,52,44,Pop,08/05/2021,53469,3.4,51729,774,7084674,796049,52695,2023.06.22
