Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,Genre,Release Date,TW Total Activity,% Chg Total Activity,LW Total Activity,TW Song Sales,TW On-Demand Audio Streams,TW On-Demand Video Streams,TW Total SES (Audio + Video),week_of
55,Amped,Lil Uzi Vert,ATLANTIC GROUP,ATLG,55,,,1,R&B/Hip-Hop,06/30/2023,55765,,,284,7338016,243178,55481,2023.07.06
56,Area Codes,Kali,ATLANTIC GROUP,ATLG,17,38,29,9,R&B/Hip-Hop,03/17/2023,55362,-10.8,62079,668,7293511,870350,54694,2023.07.06
57,Memory Lane,Old Dominion,,,45,45,71,7,Country,12/08/2022,54673,-6.6,58511,1781,6842054,71041,52892,2023.07.06
58,Whiskey Glasses,Morgan Wallen,"BIG LOUD RECORDS, LLC",BGL ,16,63,66,230,Country,07/29/2016,54536,8.0,50500,1030,6982510,520740,53506,2023.07.06
59,Patience (Feat. Don Toliver),Lil Uzi Vert,ATLANTIC GROUP,ATLG,59,,,1,R&B/Hip-Hop,06/30/2023,54271,,,379,7001535,381993,53892,2023.07.06
60,Nakamura,Lil Uzi Vert,ATLANTIC GROUP,ATLG,60,,,1,R&B/Hip-Hop,06/30/2023,54139,,,446,6998542,298908,53693,2023.07.06
61,Sure Thing,Miguel, RCA,RCA,12,47,40,37,R&B/Hip-Hop,07/30/2010,53888,-6.9,57896,899,7102173,565453,52989,2023.07.06
62,The Kind Of Love We Make,Luke Combs,COLUMBIA NASHVILLE,CLNV,7,57,53,55,Country,04/22/2022,53754,0.9,53261,610,6854903,384694,53144,2023.07.06
63,One Thing At A Time,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,9,49,44,31,Country,12/02/2022,53753,-6.4,57442,1003,6791882,250735,52750,2023.07.06
64,BZRP Music Session #55,Peso Pluma & BZRP,THE ORCHARD,ORCH,16,48,27,5,Latin,03/22/2023,53563,-7.1,57672,215,7091089,749502,53348,2023.07.06
65,Boy's A Liar,Pinkpantheress,NEW ELEKTRA,NELK,1,51,42,23,Pop,11/24/2022,52342,-6.3,55882,398,7384479,553187,51944,2023.07.06
66,PRC,Peso Pluma X Natanael Cano,,,18,68,55,9,Latin,12/13/2022,52271,6.1,49281,126,6912386,1094194,52145,2023.07.06
67,Creepin',"Metro Boomin, The Weeknd & 21 Savage",REPUBLIC RECORDS,R-RR,2,55,48,31,R&B/Hip-Hop,12/02/2022,51430,-5.2,54261,494,6836970,376756,50936,2023.07.06
68,Rubicon,Peso Pluma,THE ORCHARD,ORCH,50,50,,2,Latin,06/22/2023,51329,-9.1,56491,409,5983618,2149156,50920,2023.07.06
69,I Ain't Worried,Onerepublic,INTERSCOPE/GEFFEN/A&M,INT ,9,69,64,57,Pop,05/12/2022,51096,4.4,48934,1280,6593970,245088,49816,2023.07.06
70,Chasin' You,Morgan Wallen,"BIG LOUD RECORDS, LLC",BGL ,24,66,68,170,Country,04/12/2018,51019,2.1,49988,654,6594002,384596,50365,2023.07.06
71,Dreams,Fleetwood Mac,WARNER RECORDS,WAR ,3,76,70,149,Rock,07/07/1977,50774,8.2,46913,631,6369643,412669,50143,2023.07.06
72,All Alone,Lil Uzi Vert,,,72,,,1,R&B/Hip-Hop,04/21/2022,50208,,,75,6600435,214875,50133,2023.07.06
73,Died And Came Back,Lil Uzi Vert,ATLANTIC GROUP,ATLG,73,,,1,R&B/Hip-Hop,06/30/2023,50086,,,75,6576893,193060,50011,2023.07.06
74,Next Thing You Know,Jordan Davis,MCA NASHVILLE,MCAN,47,56,61,25,Country,08/12/2022,50068,-6.2,53363,1801,6316477,309922,48267,2023.07.06
75,Daylight,David Kushner,DAVID KUSHNER,DVK,28,52,50,12,Pop,03/29/2023,49917,-9.6,55230,1131,6427516,646051,48786,2023.07.06
76,She Had Me At Heads Carolina,Cole Swindell,Warner Music Nashville,WNS,15,95,86,59,Country,04/08/2022,49906,13.0,44178,1609,6232805,244930,48297,2023.07.06
77,El Azul,Junior H & Peso Pluma, WEA LATINA,WEAL,33,70,60,15,Latin,02/10/2023,49612,2.3,48520,107,6896560,618810,49505,2023.07.06
78,Peaches & Eggplants,Young Nudy Feat. 21 Savage, RCA,RCA,61,61,75,7,R&B/Hip-Hop,02/28/2023,49530,-2.4,50732,352,6259813,1302657,49178,2023.07.06
79,Werewolf (Feat. Bring Me The H,Lil Uzi Vert,ATLANTIC GROUP,ATLG,79,,,1,Rock,06/30/2023,49267,,,623,6341671,282098,48644,2023.07.06
80,Por Las Noches,Peso Pluma,SONY MUSIC LATIN,SML,16,73,58,18,Latin,06/12/2021,49035,2.0,48086,127,6667628,1126186,48908,2023.07.06
81,Golden Hour,Jvke,AWAL,AWAL,10,58,52,46,Pop,08/05/2021,48765,-7.2,52564,564,6498981,680395,48201,2023.07.06
82,Heat Waves,Glass Animals,REPUBLIC RECORDS,R-RR,3,62,56,131,Rock,06/29/2020,48451,-4.1,50542,541,6212647,540456,47910,2023.07.06
83,Dancin' In The Country,Tyler Hubbard,MCA NASHVILLE,MCAN,37,92,87,14,Country,08/19/2022,48184,8.0,44607,1361,6090664,186249,46823,2023.07.06
84,Dance The Night,Dua Lipa,ATLANTIC GROUP,ATLG,51,82,88,6,Children,05/25/2023,47432,3.0,46060,5580,5395776,202457,41852,2023.07.06
85,Bury Me In Georgia,Kane Brown,RCA NASHVILLE,RCNA,74,74,157,6,Country,07/22/2022,47295,-0.8,47678,2410,5702248,153205,44885,2023.07.06
86,See You Again,"Tyler, The Creator", ODD FUTURE RECORDINGS,ODD ,24,65,54,25,R&B/Hip-Hop,07/06/2017,46831,-6.4,50022,99,6761556,508385,46732,2023.07.06
87,Tennessee Orange,Megan Moroney,ARISTA NASHVILLE,ARNV,33,64,73,41,Country,09/02/2022,46473,-7.3,50159,1122,5936927,313243,45351,2023.07.06
88,Wait For U,Future Feat. Drake & Tems,EPIC,EPIC,1,77,67,62,R&B/Hip-Hop,04/27/2022,46279,-1.0,46750,91,6109214,549517,46188,2023.07.06
89,Chicken Fried,Zac Brown Band,Universal Music Enterprises,UME ,84,,,12,Country,05/29/2006,45982,,,978,5824687,247124,45004,2023.07.06
90,Cowgirls,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,22,87,78,18,Country,03/01/2023,45852,1.5,45167,923,5769915,399049,44929,2023.07.06
91,Chemical,Post Malone,MERCURY / REPUBLIC RECORDS,R-MR,11,85,81,12,Pop,04/13/2023,45785,0.9,45358,1863,5585792,339591,43922,2023.07.06
92,No Role Modelz,J. Cole,Columbia Records,COL ,33,80,74,217,R&B/Hip-Hop,08/04/2015,45248,-1.9,46105,68,6196581,517874,45180,2023.07.06
93,Don't Stop Believin',Journey,Columbia Records,COL ,81,126,119,192,Rock,07/17/1981,45065,15.6,38972,851,5785319,83383,44214,2023.07.06
94,Zoom,Lil Uzi Vert,ATLANTIC GROUP,ATLG,94,,,1,R&B/Hip-Hop,07/26/2018,44958,,,121,5893071,182534,44837,2023.07.06
95,That Fiya,Lil Uzi Vert,ATLANTIC GROUP,ATLG,95,,,1,R&B/Hip-Hop,06/30/2023,44487,,,37,5691543,172126,44450,2023.07.06
96,Son Of A Sinner,Jelly Roll,BROKEN BOW RECO,BB2 ,31,84,62,54,Rock,09/15/2021,44285,-2.4,45384,2681,5238960,653313,41604,2023.07.06
97,Blank Space,Taylor Swift,BIG MACHINE,BGMA,82,102,91,17,Pop,08/23/2010,44192,2.8,42977,443,5703476,537490,43749,2023.07.06
98,Love You Anyway,Luke Combs,COLUMBIA NASHVILLE,CLNV,5,90,76,21,Country,01/23/2023,44132,-1.2,44650,1506,5363493,303460,42626,2023.07.06
99,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",REPUBLIC RECORDS,R-RR,4,81,69,31,R&B/Hip-Hop,12/02/2022,43823,-4.9,46092,266,5865322,342880,43557,2023.07.06
100,I'm Good (Blue),David Guetta & Bebe Rexha,WARNER RECORDS,WAR ,11,99,89,45,Dance/Electronic,08/23/2022,43476,0.7,43171,1483,5374349,425484,41993,2023.07.06
101,Freestyle,Lil Baby,QUALITY CONTROL MUSIC (CAROLINE),QLC ,32,96,72,57,R&B/Hip-Hop,12/01/2017,43392,-1.3,43980,34,5638274,541248,43358,2023.07.06
102,Thank God,Kane Brown w/ Katelyn Brown,RCA NASHVILLE,RCNA,8,88,95,43,Country,09/09/2022,43226,-3.8,44927,1465,5244031,477281,41761,2023.07.06
103,Sweet Home Alabama,Lynyrd Skynyrd,INTERSCOPE/GEFFEN/A&M,INT ,83,,,20,Rock,09/13/1976,42898,,,744,5437442,170804,42154,2023.07.06
104,When It Rains It Pours,Luke Combs,SME/LEGACY RECORDINGS,LEGC,65,144,124,132,Country,08/10/2016,42760,15.5,37015,463,5391850,552539,42297,2023.07.06
105,Jimmy Cooks,Drake Feat. 21 Savage,OVO / REPUBLIC RECORDS,R-RR,1,97,80,55,R&B/Hip-Hop,06/16/2022,42562,-2.7,43725,109,5695387,210719,42453,2023.07.06
106,Beautiful Crazy,Luke Combs,CLNV,CLNV,26,107,96,260,Country,05/24/2018,42187,1.2,41699,493,5389717,464684,41694,2023.07.06
107,We Didn't Start The Fire,Fall Out Boy,FUELED BY RAMEN,FUER,107,,,1,Rock,06/28/2023,42177,,,8726,4028764,551048,33451,2023.07.06
108,Ain't That Some,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,7,105,100,18,Country,01/28/2023,42051,-0.6,42285,569,5392668,242421,41482,2023.07.06
109,Lagunas,Peso Pluma,THE ORCHARD,ORCH,93,93,,2,Latin,06/22/2023,42025,-5.7,44575,75,5435864,600206,41950,2023.07.06
110,Attention,Doja Cat, RCA,RCA,15,59,15,3,R&B/Hip-Hop,06/15/2023,41945,-19.9,52364,593,5274138,411495,41352,2023.07.06
111,Princess Diana,Ice Spice,TENTHOUSAND PROJECTS/CAPITOL,10K,2,91,83,12,R&B/Hip-Hop,01/20/2023,41865,-6.2,44629,526,5256971,911327,41339,2023.07.06
112,Fall In Love,Bailey Zimmerman,Warner Music Nashville,WNS,22,112,101,68,Country,02/11/2022,41568,1.1,41110,434,5275982,469804,41134,2023.07.06
113,Buy Dirt,Jordan Davis Feat. Luke Bryan,MCA NASHVILLE,MCAN,24,121,147,88,Country,05/15/2021,41557,4.9,39618,498,5482456,138326,41059,2023.07.06
114,Rich Flex,Drake & 21 Savage,OVO / REPUBLIC RECORDS,R-RR,1,103,84,35,R&B/Hip-Hop,11/03/2022,41380,-2.7,42507,179,5587984,223451,41201,2023.07.06
115,Levitating,Dua Lipa Feat. Dababy,WARNER RECORDS,WAR ,3,118,114,144,Pop,03/25/2020,41255,3.0,40044,736,5223484,388565,40519,2023.07.06
116,Fragil,Yahritza Y Su Esencia & Grupo Frontera,SONY/COLUMBIA,COL,65,114,104,13,Latin,04/07/2023,41113,1.2,40629,417,5128470,1422951,40696,2023.07.06
117,Heartless,Diplo & Julia Michaels Feat. Morgan Wallen,BIG LOUD / REPUBLIC RECORDS,R-RR,20,117,107,191,Country,08/15/2019,41009,1.7,40314,360,5373513,272391,40649,2023.07.06
118,Money Trees,Kendrick Lamar Feat. Jay Rock,INTERSCOPE/GEFFEN/A&M,INT ,80,111,99,55,R&B/Hip-Hop,09/27/2012,40984,-0.4,41151,186,5376079,638255,40798,2023.07.06
119,Truck Bed,Hardy,Big Loud Records,"BLR
",112,132,112,6,Country,10/10/2022,40970,5.8,38729,1629,5110046,166035,39341,2023.07.06
120,Shake It Off,Taylor Swift,BIG MACHINE,BGMA,100,116,111,18,Pop,05/23/2011,40755,1.1,40328,607,5127533,357819,40148,2023.07.06
121,Back To The Moon,Gunna,300 ENTERTAINME,300E,9,54,9,3,R&B/Hip-Hop,06/16/2023,40645,-25.6,54614,92,5193288,556641,40553,2023.07.06
122,Fire Alarm,Lil Uzi Vert,ATLANTIC GROUP,ATLG,122,,,1,R&B/Hip-Hop,06/30/2023,40150,,,100,5304454,152360,40050,2023.07.06
123,Calling (Spider-Man: Across The Spider-Verse),"Metro Boomin, Swae Lee & Nav Feat. A Boogie Wit Da Hoodie",REPUBLIC RECORDS,R-RR,23,67,41,5,R&B/Hip-Hop,06/01/2023,40108,-19.0,49540,230,5330261,345904,39878,2023.07.06
124,Popular,"Madonna, Playboi Carti, The Weeknd",XO / REPUBLIC RECORDS,R-RR,26,129,123,5,R&B/Hip-Hop,05/29/2023,39904,2.7,38855,496,5153023,144381,39408,2023.07.06
125,Vvs,Peso Pluma,THE ORCHARD,ORCH,35,35,,2,Latin,02/10/2023,39702,-37.3,63353,102,5295863,323488,39600,2023.07.06
126,Wagon Wheel,Darius Rucker,CAPITOL NASHVILLE,CAPN,126,,,8,Country,11/15/2012,39684,,,612,4907189,536741,39072,2023.07.06
127,Amg,"Natanael Cano, Peso Pluma & Gabito Ballesteros", WEA LATINA,WEAL,23,119,94,25,Latin,11/22/2022,39577,-0.8,39879,95,5372933,608858,39482,2023.07.06
128,Thang For You (Feat. No Cap),Rylo Rodriguez,,,128,,,1,R&B/Hip-Hop,06/23/2023,39503,,,62,4854100,1031010,39441,2023.07.06
129,Dial Drunk,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,21,78,59,4,Rock,10/14/2022,39485,-15.1,46481,631,4972640,20607,38854,2023.07.06
130,wait in the truck,Hardy Feat. Lainey Wilson,Big Loud Records,BLR,21,136,128,45,Country,08/25/2022,39483,3.0,38332,1215,4623898,771841,38268,2023.07.06
131,Bebe Dame,Fuerza Regida & Grupo Frontera,SONY MUSIC LATIN,SML,9,123,106,28,Latin,12/15/2022,39447,0.4,39305,292,4920748,1178560,39155,2023.07.06
132,Style,Taylor Swift,BIG MACHINE,BGMA,115,138,129,15,Pop,10/11/2010,39297,4.0,37787,406,5165890,240829,38891,2023.07.06
133,Until I Found You,Stephen Sanchez,MERCURY / REPUBLIC RECORDS,R-MR,24,109,92,60,Rock,09/01/2021,39042,-5.9,41498,861,5279234,420856,38181,2023.07.06
134,Annihilate,"Metro Boomin, Swae Lee, Lil Wayne & Offset",REPUBLIC RECORDS,R-RR,25,72,43,5,R&B/Hip-Hop,06/02/2023,38929,-19.2,48170,274,5032274,593640,38655,2023.07.06
135,Everybody Wants To Rule The World,Tears For Fears,ISLAND,ISL ,82,125,118,54,Rock,03/11/1985,38850,-0.3,38982,873,4850796,719021,37977,2023.07.06
136,Titi Me Pregunto,Bad Bunny,Rimas Entertainment,RIMA,4,139,105,61,Latin,05/05/2022,38700,2.7,37695,301,4871935,632276,38399,2023.07.06
137,Bad Habit,Steve Lacy, RCA,RCA,1,115,82,53,R&B/Hip-Hop,06/29/2022,38625,-4.9,40619,172,5319698,340904,38453,2023.07.06
138,Spin Bout U,Drake & 21 Savage,OVO / REPUBLIC RECORDS,R-RR,5,134,103,35,R&B/Hip-Hop,11/04/2022,38379,-0.6,38617,122,4953593,579421,38257,2023.07.06
139,Heart Like A Truck,Lainey Wilson,BROKEN BOW RECO,BB2 ,29,135,110,35,Country,05/16/2022,38296,-0.7,38564,1457,4676205,445939,36839,2023.07.06
140,You Should Probably Leave,Chris Stapleton,MERCURY NASHVILLE,MERN,46,143,141,104,Country,10/13/2020,38160,3.0,37053,629,4852445,190030,37531,2023.07.06
141,Everything I Love,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,11,173,156,23,Country,01/30/2023,38142,12.7,33850,433,4848646,88206,37709,2023.07.06
142,Slut Me Out,Nle Choppa,Warner Records,WAR,14,108,77,21,R&B/Hip-Hop,04/01/2022,38126,-8.5,41649,196,5231736,663024,37930,2023.07.06
143,Blinding Lights,Weeknd,REPUBLIC RECORDS,R-RR,1,120,115,188,R&B/Hip-Hop,11/27/2019,37933,-4.4,39697,620,4795364,415671,37313,2023.07.06
144,More Than My Hometown,Morgan Wallen,BIG LOUD / REPUBLIC RECORDS,R-RR,20,159,148,140,Country,04/16/2020,37927,8.2,35066,498,4880950,260053,37429,2023.07.06
145,Lavender Haze,Taylor Swift,REPUBLIC RECORDS,R-RR,2,113,93,37,Pop,10/19/2022,37904,-6.9,40708,688,4862050,160946,37216,2023.07.06
146,Save Me (With Lainey Wilson),Jelly Roll,,,102,127,102,5,Country,05/12/2023,37696,-3.2,38951,3884,4255778,171614,33812,2023.07.06
147,7 Summers,Morgan Wallen,BIG LOUD / REPUBLIC RECORDS,R-RR,3,159,170,56,Country,08/13/2020,37444,6.8,35066,495,4819299,192839,36949,2023.07.06
148,Pound Town,Sexyy Red,Vydia,VYD,64,152,175,6,R&B/Hip-Hop,01/27/2023,37434,4.9,35701,338,4722597,799376,37096,2023.07.06
149,Unholy,Sam Smith & Kim Petras,CAPITOL RECORDS,CAP,1,124,127,41,Pop,09/22/2022,37401,-4.4,39115,569,4758935,422203,36832,2023.07.06
150,Cuff It,Beyonce,COLUMBIA,COL,4,142,121,49,R&B/Hip-Hop,07/28/2022,37372,0.8,37083,441,4711295,350312,36931,2023.07.06
151,Under The Influence,Chris Brown,RCA,RCA,5,122,98,49,R&B/Hip-Hop,06/28/2019,37146,-6.2,39602,389,4537612,969411,36757,2023.07.06
152,Me Porto Bonito,Bad Bunny & Chencho Corleone,THE ORCHARD,ORCH,2,145,120,61,Latin,05/05/2022,37120,1.3,36640,164,4841983,490710,36956,2023.07.06
153,Enchanted,Taylor Swift,BIG MACHINE,BGMA,26,155,159,17,Country,10/11/2010,37053,5.2,35216,421,4946566,77250,36632,2023.07.06
154,Am I Dreaming,"Metro Boomin, A$ap Rocky & Roisee",REPUBLIC RECORDS,R-RR,31,94,51,5,R&B/Hip-Hop,06/02/2023,36980,-17.0,44564,460,4780831,378499,36520,2023.07.06
155,Fortunate Son,Creedence Clearwater Revival,SONY CLASSICS,SNYC,130,,,3,Rock,11/02/1969,36927,,,713,4678149,225396,36214,2023.07.06
156,TQG,Karol G & Shakira,UNIVERSAL MUSIC LATIN,UMLE,5,141,109,19,Latin,02/15/2023,36852,-0.9,37194,468,4475728,1176366,36384,2023.07.06
157,Born In The U. S. A.,Bruce Springsteen,Columbia Records,COL ,124,,,4,Rock,06/01/1984,36716,,,2671,4360110,13059,34045,2023.07.06
158,Save Your Tears,Weeknd,REPUBLIC RECORDS,R-RR,2,137,108,135,Pop,03/20/2020,36562,-3.5,37907,487,4561223,743311,36075,2023.07.06
159,Cs,Lil Uzi Vert,ATLANTIC GROUP,ATLG,159,,,1,Rock,06/30/2023,36303,,,77,4699126,222350,36226,2023.07.06
160,Watermelon Moonshine,Lainey Wilson,BROKEN BOW RECO,BB2 ,160,170,,2,Country,08/12/2022,36282,6.5,34078,2549,4355754,118831,33733,2023.07.06
161,Shivers,Ed Sheeran,ATLANTIC GROUP,ATLG,5,147,136,92,Pop,01/12/2021,36219,-0.5,36387,883,4502959,282719,35336,2023.07.06
162,Hotel California,Eagles,ELEKTRA ENTERTA,EEG,53,183,165,144,Rock,07/11/1980,35994,10.9,32466,641,4287068,799240,35353,2023.07.06
163,"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith,DREAMWORKS NASHVILLE,DWNV,97,,,5,Country,07/23/2002,35986,,,2261,4172659,432229,33725,2023.07.06
164,Nueva Vida,Peso Pluma,THE ORCHARD,ORCH,86,86,,2,Latin,06/22/2023,35887,-20.9,45344,93,4384966,941975,35794,2023.07.06
165,Broadway Girls,Lil Durk Feat. Morgan Wallen,Alamo Records,ALAM,7,163,155,58,R&B/Hip-Hop,12/17/2021,35777,2.9,34769,432,4594188,438849,35345,2023.07.06
166,Lover,Taylor Swift Feat. Shawn Mendes,REPUBLIC RECORDS,R-RR,3,146,134,45,Pop,08/15/2019,35660,-2.7,36633,641,4635266,174068,35019,2023.07.06
167,Firework,Katy Perry,CAPITOL MUSIC GROUP,CAP ,144,,,2,Pop,07/15/2010,35635,,,1579,4275641,425039,34056,2023.07.06
168,Days Come And Go,Lil Uzi Vert,ATLANTIC GROUP,ATLG,168,,,1,R&B/Hip-Hop,06/30/2023,35568,,,73,4657589,152839,35495,2023.07.06
169,Moonlight,Kali Uchis,INTERSCOPE/GEFFEN/A&M,INT ,84,150,116,19,R&B/Hip-Hop,08/23/1996,35332,-2.3,36175,159,5057863,386874,35173,2023.07.06
170,The End (Feat. Babymetal),Lil Uzi Vert,ATLANTIC GROUP,ATLG,170,,,1,Rock,06/30/2023,35228,,,179,4690780,303764,35049,2023.07.06
171,Cardigan,Taylor Swift,UNIVERSAL MUSIC ENTERPRISES,UME ,1,158,143,28,Pop,07/23/2020,35213,0.2,35134,316,4694415,179433,34897,2023.07.06
172,Classy 101,Feid,UNIVERSAL MUSIC LATIN,UMLE,122,151,122,9,Latin,03/30/2023,35202,-2.5,36102,132,4477055,635237,35070,2023.07.06
173,Circles,Post Malone,REPUBLIC RECORDS,R-RR,1,166,161,195,Pop,08/30/2019,35153,2.0,34478,516,4419294,397093,34637,2023.07.06
174,Dawns,"Zach Bryan, Maggie Rogers", WARNER Records,WAR,18,128,,22,Rock,01/27/2023,34860,-10.3,38879,324,4425358,105264,34536,2023.07.06
175,Self Love,"Metro Boomin, Coi Leray",REPUBLIC RECORDS,R-RR,36,83,46,5,R&B/Hip-Hop,06/02/2023,34618,-24.5,45868,270,4556141,274594,34348,2023.07.06
176,Bread & Butter,Gunna,300 ENTERTAINME,300E,27,89,32,5,R&B/Hip-Hop,06/02/2023,34587,-22.7,44769,54,4365196,534444,34533,2023.07.06
177,Wild As Her,Corey Kent,RCA NASHVILLE,RCNA,51,176,154,53,Country,03/04/2022,34307,3.8,33047,297,4362338,205624,34010,2023.07.06
178,Players,Coi Leray,UPTOWN / REPUBLIC RECORDS,R-RR,24,131,113,27,R&B/Hip-Hop,11/25/2022,34292,-11.5,38745,1145,4285544,304482,33147,2023.07.06
179,Of Course,Lil Uzi Vert,,,179,,,1,R&B/Hip-Hop,05/17/2018,34267,,,83,4511118,122845,34184,2023.07.06
180,What It Is (Block Boy),Doechii & Kodak Black,,,180,185,185,3,R&B/Hip-Hop,03/17/2023,34193,5.5,32409,761,4395670,508748,33432,2023.07.06
181,Rodeo Dr,Gunna,300 ENTERTAINME,300E,21,79,21,3,R&B/Hip-Hop,06/16/2023,34151,-26.2,46248,44,4400133,133819,34107,2023.07.06
182,El Gordo Trae El Mando,Chino Pacas,,,41,149,135,21,Latin,01/24/2023,34139,-6.0,36310,80,4800116,494740,34059,2023.07.06
183,Sweater Weather,Neighbourhood,Columbia Records,COL ,27,165,138,143,Rock,04/30/2012,33987,-1.9,34645,124,4697409,410131,33863,2023.07.06
184,Oklahoma Smokeshow,Zach Bryan,Warner Records,WAR,79,172,153,24,Country,07/07/2022,33924,0.0,33914,1211,4203758,229973,32713,2023.07.06
185,Don't Blame Me,Taylor Swift,BIG MACHINE,BGMA,107,161,149,17,Pop,09/26/2011,33902,-2.9,34915,403,4522736,150666,33499,2023.07.06
186,PINK + WHITE,Frank Ocean, INDEPENDENT LABEL SUBMISSION,INDI,47,164,142,31,R&B/Hip-Hop,08/20/2016,33874,-2.2,34649,98,4599314,177768,33776,2023.07.06
187,Someone You Loved,Lewis Capaldi,CAPITOL MUSIC GROUP,CAP,5,147,,181,Pop,11/08/2018,33772,-7.2,36387,962,4148025,629547,32810,2023.07.06
188,Sunroof,Nicky Youre & Dazy,SONY/COLUMBIA,COL,23,177,151,55,Pop,11/26/2021,33746,2.3,32976,674,4370001,189435,33072,2023.07.06
189,Perfect,Ed Sheeran,ATLANTIC GROUP,ATLG,1,168,152,316,Pop,03/03/2017,33738,-1.7,34308,1081,4024256,702955,32657,2023.07.06
190,I Wrote The Book,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,13,175,163,23,Country,01/28/2023,33682,1.8,33094,655,4215347,182798,33027,2023.07.06
191,Body Like A Back Road,Sam Hunt,MCA NASHVILLE,MCAN,6,,,106,Country,02/02/2017,33629,,,176,4382252,160819,33453,2023.07.06
192,All Your'N,Tyler Childers, RCA,RCA,144,179,179,11,Country,02/09/2019,33614,2.1,32935,579,4275644,142272,33035,2023.07.06
193,Fancy Like,Walker Hayes,MONU,MONU,4,190,,77,Country,05/07/2021,33217,3.9,31970,596,4087627,345295,32621,2023.07.06
194,Doomsday (With Juice Wrld & Cordae),"Cordae, Juice Wrld, Lyrical Lemonade",DEF JAM/DEF SOUL,DEF,43,43,,2,R&B/Hip-Hop,06/23/2023,32934,-44.6,59453,213,4221236,495593,32721,2023.07.06
195,Igualito A Mi Apa,Fuerza Regida & Peso Pluma,SONY MUSIC LATIN,SML,76,188,150,13,Latin,12/20/2022,32923,1.8,32353,104,4307049,684609,32819,2023.07.06
196,Rehab,Lil Uzi Vert,ATLANTIC GROUP,ATLG,196,,,1,R&B/Hip-Hop,06/30/2023,32912,,,62,4337116,147145,32850,2023.07.06
197,Too Many Nights,Metro Boomin & Future Feat. Don Toliver,REPUBLIC RECORDS,R-RR,10,167,131,31,R&B/Hip-Hop,12/02/2022,32905,-4.5,34441,77,4390668,319123,32828,2023.07.06
198,Feathered Indians,Tyler Childers,HICKMAN HOLLER RECORDS,HICK,164,196,183,10,Country,06/01/2017,32837,4.6,31379,307,4239412,119063,32530,2023.07.06
199,Sand In My Boots,Morgan Wallen,BIG LOUD / REPUBLIC RECORDS,R-RR,6,184,181,120,Country,01/08/2021,32729,0.9,32445,589,4236626,172001,32140,2023.07.06
200,Heading South,Zach Bryan, WARNER Records,WAR ,142,187,190,9,Country,09/30/2019,32721,1.1,32380,175,4328121,111142,32546,2023.07.06
1,Last Night,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,1,2,1,24,Country,05/06/2022,185887,-5.2,196125,7042,22924253,2029821,178845,2023.07.13
2,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,REPUBLIC RECORDS,R-RR,2,,,1,Country,06/27/2023,179893,,,4410,21148184,3142581,175483,2023.07.13
3,Vampire,Olivia Rodrigo,INTERSCOPE/GEFFEN/A&M,INT ,1,1,,2,Pop,06/30/2023,178132,-32.1,262252,4671,22139561,1653893,173461,2023.07.13
4,Fukumean,Gunna,,,4,,,1,R&B/Hip-Hop,06/16/2023,176426,,,997,22805811,1862507,175429,2023.07.13
5,Fast Car,Luke Combs,COLUMBIA NASHVILLE,CLNV,2,3,2,16,Country,01/27/2023,149648,-2.4,153384,11037,17790404,981109,138611,2023.07.13
6,Mine (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,6,,,1,Country,07/07/2023,125647,,,1617,15737273,370638,124030,2023.07.13
7,Back To December (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,7,,,1,Country,07/07/2023,123577,,,2355,15340373,558031,121222,2023.07.13
8,Enchanted (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,8,,,1,Country,07/07/2023,121158,,,2976,14889830,769845,118182,2023.07.13
9,Cruel Summer,Taylor Swift,REPUBLIC RECORDS,R-RR,6,9,10,23,Pop,08/20/2019,111455,0.2,111238,3335,14362506,420454,108120,2023.07.13
10,Sparks Fly (Taylor’s Version),Taylor Swift,REPUBLIC RECORDS,R-RR,10,,,1,Country,07/07/2023,111427,,,1291,13952730,347267,110136,2023.07.13
11,Something In The Orange,Zach Bryan,Warner Records,WAR,3,10,8,64,Country,04/22/2022,104186,-2.6,106988,1907,13138085,873253,102279,2023.07.13
12,All My Life,Lil Durk Feat. J. Cole,Alamo Records,ALAM,2,8,6,9,R&B/Hip-Hop,05/05/2023,103153,-7.5,111565,2284,12715170,2429817,100869,2023.07.13
13,Ella Baila Sola,Eslabon Armado,DEL RECORDS,DLRI,1,7,5,17,Latin,02/16/2023,102699,-10.9,115261,965,13803209,1802678,101734,2023.07.13
